dataset_key,dataset_id,modality,suspension_type,threshold,author_cell_type,comparison_id,comparison,status,observed_donors,donors,spearman_rho,assays_collapsed_within_donor,interpretation
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,20,ActMac,apoptotic_signaling,primary_program_vs_apoptotic_signaling,evaluable_descriptive,8,4,0.6000000000000001,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,20,ActMac,ets2_log2_cpm1,primary_program_vs_ETS2_log2CPM1,evaluable_descriptive,8,4,1.0,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,20,ActMac,inflammation,primary_program_vs_inflammation,evaluable_descriptive,8,4,0.6000000000000001,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,20,ActMac,interferon_gamma,primary_program_vs_interferon_gamma,evaluable_descriptive,8,4,0.6000000000000001,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,20,ActMac,oxidative_stress,primary_program_vs_oxidative_stress,evaluable_descriptive,8,4,0.6000000000000001,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,50,ActMac,apoptotic_signaling,primary_program_vs_apoptotic_signaling,insufficient_donors,8,3,,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,50,ActMac,ets2_log2_cpm1,primary_program_vs_ETS2_log2CPM1,insufficient_donors,8,3,,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,50,ActMac,inflammation,primary_program_vs_inflammation,insufficient_donors,8,3,,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,50,ActMac,interferon_gamma,primary_program_vs_interferon_gamma,insufficient_donors,8,3,,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,50,ActMac,oxidative_stress,primary_program_vs_oxidative_stress,insufficient_donors,8,3,,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,20,Kupffer,apoptotic_signaling,primary_program_vs_apoptotic_signaling,evaluable_descriptive,8,8,0.3571428571428572,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,20,Kupffer,ets2_log2_cpm1,primary_program_vs_ETS2_log2CPM1,evaluable_descriptive,8,8,0.38095238095238104,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,20,Kupffer,inflammation,primary_program_vs_inflammation,evaluable_descriptive,8,8,0.3571428571428572,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,20,Kupffer,interferon_gamma,primary_program_vs_interferon_gamma,evaluable_descriptive,8,8,0.5000000000000001,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,20,Kupffer,oxidative_stress,primary_program_vs_oxidative_stress,evaluable_descriptive,8,8,0.2380952380952381,True,descriptive_small_n_no_p_value
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,50,Kupffer,apoptotic_signaling,primary_program_vs_apoptotic_signaling,evaluable_descriptive,8,6,0.5428571428571429,True,descriptive_small_n_no_p_value
