series,sample,title,donor_label_from_title,cohort_from_title,assay_from_title,chemistry_from_title,source_name,description,flags,source_url
GSE243977,GSM7802679,C41_NPC_SC_3pr,C41,Control label,single-cell,3-prime,Human liver,"3pr scRNA-seq, 10x Genomics",,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7802679
GSE243977,GSM7802680,C42_NPC_SC_3pr,C42,Control label,single-cell,3-prime,Human liver,"3pr scRNA-seq, 10x Genomics",,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7802680
GSE243977,GSM7802681,C43_NPC_SC_3pr,C43,Control label,single-cell,3-prime,Human liver,"3pr scRNA-seq, 10x Genomics",,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7802681
GSE243977,GSM7802682,C46_SC_3pr,C46,Control label,single-cell,3-prime,Human liver,"3pr scRNA-seq, 10x Genomics",,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7802682
GSE243977,GSM7802683,C48_SC_3pr,C48,Control label,single-cell,3-prime,Human liver,"3pr scRNA-seq, 10x Genomics",,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7802683
GSE243977,GSM7802684,C49_SC_3pr,C49,Control label,single-cell,3-prime,Human liver,"3pr scRNA-seq, 10x Genomics",,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7802684
GSE243977,GSM7802685,C50_SC_3pr,C50,Control label,single-cell,3-prime,Human liver,"3pr scRNA-seq, 10x Genomics",,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7802685
GSE243977,GSM7802686,C51_flush_SC_3pr,C51,Control label,single-cell,3-prime,Human liver,"3pr scRNA-seq, 10x Genomics",,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7802686
GSE243977,GSM7802687,C51_SC_3pr,C51,Control label,single-cell,3-prime,Human liver,"3pr scRNA-seq, 10x Genomics",,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7802687
GSE243977,GSM7802688,C52_SC_3pr,C52,Control label,single-cell,3-prime,Human liver,"3pr scRNA-seq, 10x Genomics",,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7802688
GSE243977,GSM7802689,C53_SC_3pr,C53,Control label,single-cell,3-prime,Human liver,"3pr scRNA-seq, 10x Genomics",,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7802689
GSE243977,GSM7802690,C54_SC_3pr,C54,Control label,single-cell,3-prime,Human liver,"3pr scRNA-seq, 10x Genomics",,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7802690
