"entrez_gene_id","contributing_probe_count"
"1",1
"10",1
"100",2
"1000",2
"10000",7
"100009676",2
"10001",3
"10002",2
"10003",5
"10004",2
"100048912",1
"100049716",2
"10005",2
"10006",3
"10007",1
"10008",3
"10009",2
"100093698",1
"1001",1
"10010",4
"100101266",1
"100101267",1
"100101467",5
"100101938",1
"10011",2
"100113403",1
"100113407",1
"100124700",1
"100125288",1
"100126784",3
"100126791",2
"100126793",2
"100127886",1
"100127888",1
"100127940",1
"100127950",1
"100127972",1
"100127974",1
"100127983",2
"100128025",2
"100128046",1
"100128071",2
"100128079",2
"100128081",1
"100128098",1
"100128108",1
"100128124",1
"100128126",1
"100128139",1
"100128164",1
"100128175",1
"100128176",2
"100128185",1
"100128191",1
"100128198",2
"100128236",1
"100128239",1
"100128252",1
"100128262",1
"100128281",2
"100128285",1
"100128288",1
"100128292",2
"100128298",1
"100128325",1
"100128327",1
"100128329",1
"100128343",1
"100128420",1
"100128496",1
"100128511",1
"100128554",1
"100128590",2
"100128594",1
"100128640",1
"100128644",1
"100128653",1
"100128731",1
"100128750",1
"100128751",1
"100128782",1
"100128788",1
"100128822",1
"100128830",1
"100128840",1
"100128881",1
"100128893",1
"100128922",1
"100128927",1
"100128946",1
"100128977",3
"100128988",1
"100128993",1
"100128998",1
"100129034",2
"100129069",1
"100129098",1
"100129112",1
"100129128",1
"100129129",2
"100129175",1
"100129195",3
"100129196",2
"100129198",1
"100129250",2
"100129271",2
"100129361",3
"100129380",1
"100129387",6
"100129406",1
"100129427",1
"100129447",1
"100129449",1
"100129455",1
"100129460",1
"100129461",1
"100129476",1
"100129482",3
"100129503",1
"100129516",1
"100129528",2
"100129550",1
"100129583",1
"100129597",1
"100129603",1
"100129620",1
"100129654",1
"100129662",1
"100129716",1
"100129722",2
"100129726",1
"100129792",2
"100129794",1
"100129827",1
"100129845",1
"100129858",2
"100129884",1
"100129917",1
"100129935",1
"100129961",1
"100129973",1
"10013",3
"100130078",1
"100130111",2
"100130155",3
"100130219",1
"100130232",1
"100130249",1
"100130264",1
"100130275",2
"100130278",1
"100130285",1
"100130322",1
"100130331",1
"100130348",1
"100130357",1
"100130370",2
"100130417",2
"100130418",1
"100130428",1
"100130429",1
"100130449",1
"100130452",1
"100130456",1
"100130458",1
"100130460",1
"100130476",1
"100130502",3
"100130519",2
"100130522",2
"100130548",1
"100130557",1
"100130581",2
"100130609",1
"100130613",1
"100130642",1
"100130654",1
"100130691",1
"100130700",1
"100130705",1
"100130717",1
"100130741",1
"100130742",1
"100130744",1
"100130776",1
"100130815",1
"100130855",1
"100130872",1
"100130889",1
"100130894",1
"100130933",1
"100130934",1
"100130938",1
"100130950",2
"100130958",2
"100130964",1
"100130967",1
"100130987",1
"100130992",1
"100131017",2
"100131043",1
"100131053",1
"100131067",2
"100131077",1
"100131096",3
"100131117",1
"100131138",1
"100131170",1
"100131176",1
"100131180",1
"100131187",1
"100131211",1
"100131213",4
"100131227",1
"100131262",1
"100131275",1
"100131303",1
"100131347",1
"100131366",1
"100131434",1
"100131454",1
"100131496",1
"100131508",1
"100131510",1
"100131532",1
"100131541",1
"100131551",1
"100131561",1
"100131564",2
"100131581",1
"100131655",1
"100131662",1
"100131691",1
"100131733",1
"100131755",5
"100131756",1
"100131763",1
"100131766",1
"100131801",1
"100131814",1
"100131816",1
"100131825",1
"100131827",2
"100131860",1
"100131864",1
"100131980",1
"100131998",1
"100132005",1
"100132057",2
"100132074",1
"100132077",1
"100132078",1
"100132101",2
"100132116",1
"100132167",1
"100132169",1
"100132207",1
"100132234",1
"100132285",1
"100132319",1
"100132341",3
"100132352",1
"100132354",1
"100132356",1
"100132386",1
"100132464",1
"100132476",1
"100132618",1
"100132661",1
"100132677",1
"100132686",1
"100132707",2
"100132708",1
"100132735",1
"100132815",4
"100132891",1
"100132911",1
"100132923",1
"100132987",1
"100133039",1
"100133089",1
"100133130",1
"100133131",1
"100133190",1
"100133205",1
"100133308",2
"100133311",1
"100133315",1
"100133319",1
"100133461",1
"100133612",2
"100133669",1
"100133790",2
"100133920",1
"100133941",6
"100133985",1
"100133991",1
"100134040",1
"100134229",1
"100134259",1
"100134368",1
"100134445",1
"100134713",1
"100134822",1
"100134937",1
"10014",2
"100141515",1
"100144596",1
"100144597",2
"100144602",1
"100144603",2
"100144604",1
"100144748",1
"100147773",1
"10015",2
"10016",3
"100169752",1
"100169890",1
"100169989",1
"10017",2
"100170229",1
"100170765",1
"100170841",1
"10018",7
"100188953",1
"100189589",1
"10019",1
"100190938",2
"100190939",5
"100190986",2
"100192378",2
"100192379",1
"100192386",1
"1002",4
"10020",1
"10021",2
"100216545",1
"100216546",3
"10022",1
"10023",1
"100233209",1
"10024",2
"100240728",2
"100240734",1
"10025",5
"10026",3
"100268168",1
"100270679",1
"100270680",1
"100270804",1
"100271715",1
"100271722",2
"100271832",1
"100271840",1
"100272147",2
"100272216",1
"100272217",2
"100272228",4
"100286844",2
"100286922",1
"100286925",1
"100286938",1
"100286989",1
"100287015",2
"100287098",1
"100287114",1
"100287177",2
"100287210",1
"100287216",1
"100287221",1
"100287227",1
"100287290",2
"100287366",1
"100287387",1
"100287482",1
"100287497",1
"100287525",1
"100287569",2
"100287590",1
"100287616",1
"100287704",1
"100287765",2
"100287808",1
"100287814",1
"100287877",1
"100287896",1
"100287902",1
"100287932",1
"100288079",1
"100288122",1
"100288123",1
"100288139",2
"100288142",2
"100288152",1
"100288175",1
"100288181",1
"100288198",2
"100288238",1
"100288310",1
"100288413",1
"100288432",2
"100288490",2
"100288570",1
"100288675",1
"100288721",1
"100288730",1
"100288797",2
"100288798",1
"100288805",1
"100288860",1
"100288893",1
"100288911",2
"100288966",1
"100289019",1
"100289045",1
"100289058",1
"100289061",1
"100289090",2
"100289092",1
"100289094",1
"100289098",1
"100289187",1
"100289211",1
"100289230",1
"100289255",2
"100289274",2
"100289283",1
"100289333",1
"100289341",1
"100289361",1
