"sample_accession","n_total","n_missing","n_nonfinite","n_nonfinite_including_missing","q0","q01","q25","q50","q75","q99","q100"
"GSM2228386",54675,0,0,0,2.0591616952081,2.41567625148576,3.78293390558907,5.20361631684825,7.13246214886639,12.3148658521909,14.9225540591203
"GSM2228387",54675,0,0,0,2.05241639611227,2.41708894297531,3.79903832613423,5.21488333829426,7.1194351460841,12.340509081048,14.9077045518669
"GSM2228388",54675,0,0,0,2.0174771470272,2.38614831034758,3.75332587372276,5.18910570715039,7.17913314466692,12.3419536642006,14.9225540591203
"GSM2228389",54675,0,0,0,2.09062027369441,2.44168640489483,3.82702731047778,5.206054674436,6.99677593556509,12.4138198255024,14.8927036610381
"GSM2228390",54675,0,0,0,1.98916409193738,2.41733797630438,3.82492912956639,5.22067753916645,7.01736459754766,12.4409663472101,14.9239265811924
"GSM2228391",54675,0,0,0,2.07030839614413,2.4503250178732,3.86767169190607,5.23992733170799,6.92673974161303,12.5010186909074,14.8840818282687
"GSM2228392",54675,0,0,0,2.06480225652511,2.42054512419549,3.80912821897318,5.22665695620298,7.09349839639422,12.3645495836591,14.8894833784908
"GSM2228393",54675,0,0,0,2.0533849385261,2.39159909427737,3.79011781385934,5.21297742561311,7.11985408723109,12.3305489412104,14.9069629892266
"GSM2228394",54675,0,0,0,1.9940852251407,2.3863662202998,3.78698182054974,5.20535842306487,7.08522526707578,12.4030860846316,14.8572998238627
"GSM2228395",54675,0,0,0,2.06390982957291,2.41249678144102,3.84013598206591,5.22437715483465,6.91840931377189,12.4574684262716,14.9115614734344
"GSM2228396",54675,0,0,0,2.04592559019862,2.43469552959344,3.85658155374305,5.23626907346057,6.94529621539933,12.443022448521,14.8083663177419
"GSM2228397",54675,0,0,0,2.04331309019366,2.4201555807203,3.80773734386845,5.20604111196343,6.96474431958452,12.4790968215893,14.9540120622295
"GSM2228398",54675,0,0,0,2.06051215858983,2.40094850758404,3.77192914966427,5.2075046830648,7.14112490628929,12.3547103750192,14.8648478105562
"GSM2228399",54675,0,0,0,2.05252178301654,2.39485034192125,3.75058063756349,5.18765264656062,7.19567780295912,12.3277384635945,14.8993873965706
"GSM2228400",54675,0,0,0,2.0663838432492,2.43439331909118,3.76878964623632,5.16319657370377,7.10018689620821,12.3331180498235,14.8840175946054
"GSM2228401",54675,0,0,0,2.08026861851969,2.42316052827008,3.85711887439355,5.21773885840229,6.89614429814084,12.4660060455902,14.9869696792631
"GSM2228402",54675,0,0,0,2.0591616952081,2.44563459053666,3.84434259658615,5.21650206598878,6.96468848579474,12.4308885757882,14.8075369223008
"GSM2228403",54675,0,0,0,1.99269602192658,2.44049635170843,3.84733393464595,5.22537677034575,6.9570247961795,12.4849698937461,14.9350293092512
"GSM2228404",54675,0,0,0,2.07026151917489,2.41708894297531,3.74652243965459,5.13441088646972,7.10708964578562,12.3461223851998,14.8514746132157
"GSM2228405",54675,0,0,0,2.08490411694417,2.3891565843014,3.7386798074166,5.1877484231971,7.2273354690094,12.3539426051498,14.8514622252855
"GSM2228406",54675,0,0,0,2.00942225494383,2.39298188611273,3.77257005572505,5.19114777719087,7.17353906779138,12.3523469429378,14.8889091842251
"GSM2228407",54675,0,0,0,1.9974544278799,2.40898170860205,3.8590021293198,5.22922717812737,6.91438633441958,12.4687925991174,15.007278448501
"GSM2228408",54675,0,0,0,2.0029552306478,2.44917212026937,3.80821109240712,5.15373250739749,6.9286198557857,12.4303370444699,14.8476930363629
"GSM2228409",54675,0,0,0,2.04691088316623,2.42668493284649,3.87796489924757,5.24548171295186,6.90973194474522,12.4589470614946,14.969892177983
"GSM2228410",54675,0,0,0,2.01001833083063,2.40651737174537,3.81275400395266,5.21688915202084,7.0917357836753,12.3329112605479,14.908310625046
"GSM2228411",54675,0,0,0,2.00895316549717,2.3857045531662,3.75805258128755,5.17702288416503,7.16202347573665,12.3370552159557,14.8645435332036
"GSM2228412",54675,0,0,0,2.05951357879062,2.41363429565603,3.78884018090571,5.201454512499,7.13303085279061,12.3347583645851,14.8972227923398
"GSM2228413",54675,0,0,0,2.00388478916189,2.46809415979754,3.90546792501591,5.24491061609528,6.81277441717465,12.4365857243126,15.0728948819659
"GSM2228414",54675,0,0,0,2.06312973905499,2.45134525791284,3.88736046487079,5.21510908701023,6.87470206814764,12.4986632090812,15.0545797365945
"GSM2228415",54675,0,0,0,2.06193138773183,2.48009762004791,3.94557150097193,5.23805181727025,6.70275307235034,12.509125624243,15.0989948217748
