"sample_accession","n_total","n_missing","n_nonfinite","n_nonfinite_including_missing","q0","q01","q25","q50","q75","q99","q100","n_negative","n_zero"
"GSM2228386",604258,0,0,0,33,46,72,119,276,7258.43000000005,41715,0,0
"GSM2228387",604258,0,0,0,27,39,63,103,237,6334.43000000005,38814,0,0
"GSM2228388",604258,0,0,0,29,41,69,118,283,7619.43000000005,43164,0,0
"GSM2228389",604258,0,0,0,30,42,66,103,222,7155.43000000005,38804,0,0
"GSM2228390",604258,0,0,0,29,44,69,113,243,7763,42250,0,0
"GSM2228391",604258,0,0,0,31,42,65,104,225,7775.43000000005,42617,0,0
"GSM2228392",604258,0,0,0,32,45,72,120,273,7096.29000000015,39277,0,0
"GSM2228393",604258,0,0,0,30,44,78,140,331,7756.43000000005,40300,0,0
"GSM2228394",604258,0,0,0,30,44,79,141,331,8208,39965,0,0
"GSM2228395",604258,0,0,0,34,46,76,128,276,9057.8600000001,43224,0,0
"GSM2228396",604258,0,0,0,28,40,64,103,222,6883.43000000005,34159,0,0
"GSM2228397",604258,0,0,0,32,46,73,117,248,8608.8600000001,39912,0,0
"GSM2228398",604258,0,0,0,31,44,72,121,288,7473,37605,0,0
"GSM2228399",604258,0,0,0,30,42,69,115,277,7302.29000000015,38690,0,0
"GSM2228400",604258,0,0,0,32,44,72,114,251,6013.43000000005,37039,0,0
"GSM2228401",604258,0,0,0,28,38,62,98,193,5857.8600000001,33897,0,0
"GSM2228402",604258,0,0,0,29,40,63,102,222,7871,42797,0,0
"GSM2228403",604258,0,0,0,31,42,66,104,213,7598.43000000005,44373,0,0
"GSM2228404",604258,0,0,0,33,44,72,116,254,5989.8600000001,34806,0,0
"GSM2228405",604258,0,0,0,30,41,65,108,265,7179.8600000001,40654,0,0
"GSM2228406",604258,0,0,0,31,42,66,103,215,4936,29667,0,0
"GSM2228407",604258,0,0,0,30,42,69,112,240,7155.29000000015,37363,0,0
"GSM2228408",604258,0,0,0,31,43,72,116,254,7447.58000000031,38517,0,0
"GSM2228409",604258,0,0,0,32,44,69,106,208,5988,33569,0,0
"GSM2228410",604258,0,0,0,33,44,70,111,230,5173.29000000015,31966,0,0
"GSM2228411",604258,0,0,0,28,39,62,99,225,5635,30703,0,0
"GSM2228412",604258,0,0,0,28,37,59,97,225,5638.43000000005,34723,0,0
"GSM2228413",604258,0,0,0,30,40,59,85,156,5000.8600000001,32985,0,0
"GSM2228414",604258,0,0,0,29,41,59,86,169,6509.43000000005,36497,0,0
"GSM2228415",604258,0,0,0,30,44,69,101,181,5121,34356,0,0
