"sample_accession","n_total","n_missing","n_nonfinite","n_nonfinite_including_missing","q0","q01","q25","q50","q75","q99","q100","rle_iqr"
"GSM2228386",54675,0,0,0,-5.05430418643015,-1.17335843657424,-0.141284796898057,-0.00206697402162703,0.154667095197613,1.16499710072533,4.59805610506651,0.29595189209567
"GSM2228387",54675,0,0,0,-5.30226105156952,-1.12423476677604,-0.11636262638132,0.00750762915403902,0.157981684156257,1.02241432458845,4.37018092300982,0.274344310537577
"GSM2228388",54675,0,0,0,-5.22384566177542,-1.15557462365693,-0.168545844471444,-0.0153964082120748,0.160028927064284,1.26441388815056,4.7717498869164,0.328574771535728
"GSM2228389",54675,0,0,0,-5.5312717398444,-1.47127927508741,-0.151318679488192,0.00937751750771376,0.176287247555131,1.65693195153141,6.08491620178802,0.327605927043323
"GSM2228390",54675,0,0,0,-6.3657410932691,-1.3825106641478,-0.159425187520951,0.0029258923713904,0.169441933562298,1.70058186671524,5.03044670773121,0.328867121083249
"GSM2228391",54675,0,0,0,-5.31179690892512,-1.55204985765308,-0.16327244570986,0.024170457674904,0.203944966912159,1.74609722774428,5.35334297877034,0.367217412622019
"GSM2228392",54675,0,0,0,-5.26526708446555,-1.23785038703972,-0.114939098097997,0.00620948876828731,0.148897868650875,1.21606196307095,5.04301720111289,0.263836966748872
"GSM2228393",54675,0,0,0,-5.28152102572212,-1.2772161588134,-0.129683107091962,-0.00317703596614649,0.140380127222672,1.27047046353571,4.59061126745809,0.270063234314634
"GSM2228394",54675,0,0,0,-5.13355884284724,-1.26392439336944,-0.125498202977764,-0.00387598883407847,0.125406741565547,1.24499464003421,4.86112963607584,0.250904944543311
"GSM2228395",54675,0,0,0,-5.06089810218812,-1.3249903045117,-0.184993678592737,0.00448582820141752,0.18399816524647,1.62240158318446,5.99245107119806,0.368991843839207
"GSM2228396",54675,0,0,0,-4.34096699525712,-0.953229670016166,-0.154420214476909,0.00579920156066205,0.157691275880729,1.38215960069149,6.30275995388036,0.312111490357638
"GSM2228397",54675,0,0,0,-4.47131209371708,-1.12248543957862,-0.201330429942579,-0.0089030686642122,0.168509998334424,1.62651661517856,5.88556407032812,0.369840428277003
"GSM2228398",54675,0,0,0,-8.07169551086786,-1.20503903782288,-0.138178781125866,-0.00651048710717816,0.146616363984478,1.21075545477058,8.28105772876567,0.284795145110344
"GSM2228399",54675,0,0,0,-7.94053057629695,-1.23205514838771,-0.175563832854808,-0.0179860954049333,0.174974985551953,1.27619894403945,8.40233888858107,0.350538818406761
"GSM2228400",54675,0,0,0,-7.64778040990438,-1.34342102578809,-0.171138161072003,-0.0099893154958508,0.152292706668494,1.21560235166306,8.48111306854138,0.323430867740497
"GSM2228401",54675,0,0,0,-7.37350601251861,-1.46857993683088,-0.192624021185742,0.0120259311035662,0.21903181256171,1.51285144265055,7.7465118043925,0.411655833747452
"GSM2228402",54675,0,0,0,-7.8432618574202,-1.12381960102968,-0.152573913586312,0.00376871912476773,0.16177138125245,1.3927972065647,7.83827768538909,0.314345294838762
"GSM2228403",54675,0,0,0,-7.77890700022819,-1.30979850644012,-0.177134113171208,0.0089246337484834,0.19311196888269,1.71729201158243,8.07022352857159,0.370246082053898
"GSM2228404",54675,0,0,0,-7.79541170272278,-1.19275260819968,-0.205721826235633,-0.0352531653713886,0.140005703163579,1.29024341249215,5.55546775260746,0.345727529399212
"GSM2228405",54675,0,0,0,-7.50175851793528,-1.05851681234088,-0.212033488821108,-0.0280379497305026,0.193361757797502,1.36651903807699,5.68719501052948,0.40539524661861
"GSM2228406",54675,0,0,0,-7.24909954375761,-1.25461553190044,-0.169980609398453,-0.00881992428204459,0.178247213213366,1.3548105605368,5.94709455034918,0.348227822611819
"GSM2228407",54675,0,0,0,-7.34523868647571,-1.4559455117635,-0.173507142547778,0.00421438952810593,0.174012081096617,1.70737686764261,6.3738969175122,0.347519223644395
"GSM2228408",54675,0,0,0,-7.84016586003474,-1.30077667000278,-0.227371811836713,-0.0339845605347406,0.129436577711585,1.61304118538262,6.41076594987789,0.356808389548298
"GSM2228409",54675,0,0,0,-7.30136535187698,-1.41682889246627,-0.168368952716967,0.0170101441950212,0.197226628117873,1.71689525727654,6.20463200634028,0.36559558083484
"GSM2228410",54675,0,0,0,-5.24772260584277,-1.22635309182699,-0.125414294417036,0.00654959486069817,0.163360951099057,1.14774727814498,4.12339707441954,0.288775245516093
"GSM2228411",54675,0,0,0,-5.18437865925503,-1.18798210458831,-0.190597687993673,-0.0264584747542997,0.161879643856455,1.38889026787508,3.60150618530617,0.352477331850128
"GSM2228412",54675,0,0,0,-5.29564543084136,-1.24658545693177,-0.155666482972878,-0.00380144289055329,0.166580645193348,1.27259926068746,3.81011249094315,0.322247128166226
"GSM2228413",54675,0,0,0,-5.82333824924366,-1.9036860270695,-0.231578073258052,0.0366402216969872,0.286673994836598,1.7462150334577,7.88821394957002,0.51825206809465
"GSM2228414",54675,0,0,0,-5.92817246228868,-1.7119076818047,-0.200270774442479,0.0259322353107532,0.237304886788949,1.74050410848358,7.30149577794868,0.437575661231428
"GSM2228415",54675,0,0,0,-5.08458942083941,-2.08762330643696,-0.285986240693287,0.0622556622709798,0.326123847238515,1.69985001732751,7.51973475149989,0.612110087931802
