"source_order","sample_accession","archive_member"
1,"GSM2228386","GSM2228386_34810_SPR938_HGU133P.CEL.gz"
2,"GSM2228387","GSM2228387_34811_SPR938_HGU133P.CEL.gz"
3,"GSM2228388","GSM2228388_34812_SPR938_HGU133P.CEL.gz"
4,"GSM2228389","GSM2228389_34813_SPR938_HGU133P.CEL.gz"
5,"GSM2228390","GSM2228390_34814_SPR938_HGU133P.CEL.gz"
6,"GSM2228391","GSM2228391_34815_SPR938_HGU133P.CEL.gz"
7,"GSM2228392","GSM2228392_34816_SPR938_HGU133P.CEL.gz"
8,"GSM2228393","GSM2228393_34817_SPR938_HGU133P.CEL.gz"
9,"GSM2228394","GSM2228394_34818_SPR938_HGU133P.CEL.gz"
10,"GSM2228395","GSM2228395_34819_SPR938_HGU133P.CEL.gz"
11,"GSM2228396","GSM2228396_34820_SPR938_HGU133P.CEL.gz"
12,"GSM2228397","GSM2228397_34821_SPR938_HGU133P.CEL.gz"
13,"GSM2228398","GSM2228398_34822_SPR938_HGU133P.CEL.gz"
14,"GSM2228399","GSM2228399_34823_SPR938_HGU133P.CEL.gz"
15,"GSM2228400","GSM2228400_34824_SPR938_HGU133P.CEL.gz"
16,"GSM2228401","GSM2228401_34825_SPR938_HGU133P.CEL.gz"
17,"GSM2228402","GSM2228402_34826_SPR938_HGU133P.CEL.gz"
18,"GSM2228403","GSM2228403_34827_SPR938_HGU133P.CEL.gz"
19,"GSM2228404","GSM2228404_34828_SPR938_HGU133P.CEL.gz"
20,"GSM2228405","GSM2228405_34829_SPR938_HGU133P.CEL.gz"
21,"GSM2228406","GSM2228406_34830_SPR938_HGU133P.CEL.gz"
22,"GSM2228407","GSM2228407_34831_SPR938_HGU133P.CEL.gz"
23,"GSM2228408","GSM2228408_34832_SPR938_HGU133P.CEL.gz"
24,"GSM2228409","GSM2228409_34833_SPR938_HGU133P.CEL.gz"
25,"GSM2228410","GSM2228410_34834_SPR938_HGU133P.CEL.gz"
26,"GSM2228411","GSM2228411_34835_SPR938_HGU133P.CEL.gz"
27,"GSM2228412","GSM2228412_34836_SPR938_HGU133P.CEL.gz"
28,"GSM2228413","GSM2228413_34837_SPR938_HGU133P.CEL.gz"
29,"GSM2228414","GSM2228414_34838_SPR938_HGU133P.CEL.gz"
30,"GSM2228415","GSM2228415_34839_SPR938_HGU133P.CEL.gz"
