gsm,archive_member,source_url,compressed_bytes,compressed_sha256,decompressed_bytes,decompressed_sha256,gzip_integrity,cel_magic,cel_version,columns,rows,intensity_cell_count,chip_header_match
GSM2228386,GSM2228386_34810_SPR938_HGU133P.CEL.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228386/suppl/GSM2228386_34810_SPR938_HGU133P.CEL.gz,4963009,c6411a9f9667c3113744b1d7be43aff2b17b86bbb09b6d967c4a4c4b3ac8067e,13550888,4563a8c572c4540c3ee5ae0ce25e1dba3fc41076f38757b0a6272a349287cec9,pass,64,4,1164,1164,1354896,HG-U133_Plus_2
GSM2228387,GSM2228387_34811_SPR938_HGU133P.CEL.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228387/suppl/GSM2228387_34811_SPR938_HGU133P.CEL.gz,4878254,4ea7b815c10f210190e6391e33d472b461ae502cb5bd372e14c9c4717bfaf65d,13551271,fafa47eeac53f0d3529e4d27eb5ef771948f10252009b70743cfdda63c0e3546,pass,64,4,1164,1164,1354896,HG-U133_Plus_2
GSM2228388,GSM2228388_34812_SPR938_HGU133P.CEL.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228388/suppl/GSM2228388_34812_SPR938_HGU133P.CEL.gz,5007492,85096c5276d927dc34f0026bf839704a5cfc90c70853c726bdeb5039f7ac3454,13551148,d33a9fd51366537ddbce7f89564fb31c07a4e7c8cde5e226df81028a9ccb7f7d,pass,64,4,1164,1164,1354896,HG-U133_Plus_2
GSM2228389,GSM2228389_34813_SPR938_HGU133P.CEL.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228389/suppl/GSM2228389_34813_SPR938_HGU133P.CEL.gz,4861899,6358a52c1245fbb2d0af79d51a6931868cab087752bac45575e029972345e763,13551007,b831868dae9da933765216e63dafeac11cef7ce072782ae8c78703b882cf61e1,pass,64,4,1164,1164,1354896,HG-U133_Plus_2
GSM2228390,GSM2228390_34814_SPR938_HGU133P.CEL.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228390/suppl/GSM2228390_34814_SPR938_HGU133P.CEL.gz,4921982,e98261bfbc1215de20ccbe15597de7f290a1ea1dd1e8e17fdfddeb9dd29ed748,13551116,04de2bfa3e6844cc38934018eab2ca67555ca051d9e4bc03f6ce09a7954491bb,pass,64,4,1164,1164,1354896,HG-U133_Plus_2
GSM2228391,GSM2228391_34815_SPR938_HGU133P.CEL.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228391/suppl/GSM2228391_34815_SPR938_HGU133P.CEL.gz,4870254,2c4026a037eb9623dd1839f889ed78a490b6b97a7f160cc97fad5953212aceb6,13551248,cfc2e522f05f21b20acafabbb84404f4344e2d9690a3383938fef09430385858,pass,64,4,1164,1164,1354896,HG-U133_Plus_2
GSM2228392,GSM2228392_34816_SPR938_HGU133P.CEL.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228392/suppl/GSM2228392_34816_SPR938_HGU133P.CEL.gz,4967237,2bd7d3e03e4968ba290ba6f1943d9ab2e58b8196379b89165aa27c50aa288cba,13550947,60761f6db234a026b5b4de3531f12031b34739755123961aa6e71131b9d97ea4,pass,64,4,1164,1164,1354896,HG-U133_Plus_2
GSM2228393,GSM2228393_34817_SPR938_HGU133P.CEL.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228393/suppl/GSM2228393_34817_SPR938_HGU133P.CEL.gz,5128538,ba4c8eeeca24d8f334fee1947e2f6fa2c8fff0b999ed07ad13090611469fedef,13550827,964ae24afef5a057a138db18f11fa5a3b5e6aa6bfe3ab0b965eff75a34615a18,pass,64,4,1164,1164,1354896,HG-U133_Plus_2
GSM2228394,GSM2228394_34818_SPR938_HGU133P.CEL.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228394/suppl/GSM2228394_34818_SPR938_HGU133P.CEL.gz,5129606,b7768a988347eb775eda10e5cc9ad076cb8626a984bff2624d32ceb2b446666f,13550767,1267c7bb820a080467e4d7e1de4b6889f8bf054ad80705e4e9d0b92592a2026f,pass,64,4,1164,1164,1354896,HG-U133_Plus_2
GSM2228395,GSM2228395_34819_SPR938_HGU133P.CEL.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228395/suppl/GSM2228395_34819_SPR938_HGU133P.CEL.gz,5030268,4992d272df15ea11a669f188845cda2d21bfaec4371d5901b44a085ed4c5c23e,13550848,96bbd8d3dc6f9f44ee028bbb553adfd496e9a59fb316fffb537ad0cc349364bb,pass,64,4,1164,1164,1354896,HG-U133_Plus_2
