sample_accession,source_order,source_title,source_name,series_memberships,primary_tissue,treatment_name,stimulation,compound,replicate_number,replicate_group_label,donor_identity_status,condition_key,control_condition_key,control_for_condition_keys,matched_control_accession,control_role,source_characteristics,assay_platform,quantity_label,processed_table_header,processed_table_row_count,processed_unique_id_count,processed_duplicate_id_count,processed_id_digest,processed_ids_match_all_samples,source_data_row_count,cel_available_route,cel_url,series_raw_archive_url
GSM2228386,1,Untreated 1,"Blood, Untreated",GSE84161;GSE84162,Blood,Untreated,Unstimulated,Vehicle,1,replicate_1,not provided at sample level; replicate number is not donor ID,untreated_unstim,,tpl2i_unstim;meki_unstim,,vehicle control for tpl2i_unstim and meki_unstim,primary tissue: Blood; treatment name: Untreated; stimulation: Unstimulated; compound: Vehicle; replicate number: 1,GPL570,RMA normalized signal intensity,ID_REF|VALUE,19944,19944,0,0d858fbba6c1dd6819cac2efe6834fb422c18fe0a2a534e396570228044bf9c4,true,19944,true,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228386/suppl/GSM2228386_34810_SPR938_HGU133P.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84161/suppl/GSE84161_RAW.tar
GSM2228387,2,Tpl-2 SMI 1,"Blood, Tpl-2 SMI",GSE84161;GSE84162,Blood,Tpl-2 SMI,Unstimulated,TPL2i,1,replicate_1,not provided at sample level; replicate number is not donor ID,tpl2i_unstim,untreated_unstim,,GSM2228386,treated arm matched to untreated_unstim,primary tissue: Blood; treatment name: Tpl-2 SMI; stimulation: Unstimulated; compound: TPL2i; replicate number: 1,GPL570,RMA normalized signal intensity,ID_REF|VALUE,19944,19944,0,0d858fbba6c1dd6819cac2efe6834fb422c18fe0a2a534e396570228044bf9c4,true,19944,true,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228387/suppl/GSM2228387_34811_SPR938_HGU133P.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84161/suppl/GSE84161_RAW.tar
GSM2228388,3,MEK SMI 1,"Blood, MEK SMI",GSE84161;GSE84162,Blood,MEK SMI,Unstimulated,MEKi,1,replicate_1,not provided at sample level; replicate number is not donor ID,meki_unstim,untreated_unstim,,GSM2228386,treated arm matched to untreated_unstim,primary tissue: Blood; treatment name: MEK SMI; stimulation: Unstimulated; compound: MEKi; replicate number: 1,GPL570,RMA normalized signal intensity,ID_REF|VALUE,19944,19944,0,0d858fbba6c1dd6819cac2efe6834fb422c18fe0a2a534e396570228044bf9c4,true,19944,true,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228388/suppl/GSM2228388_34812_SPR938_HGU133P.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84161/suppl/GSE84161_RAW.tar
GSM2228389,4,LPS 1,"Blood, LPS",GSE84161;GSE84162,Blood,LPS,LPS,Vehicle,1,replicate_1,not provided at sample level; replicate number is not donor ID,vehicle_lps,,tpl2i_lps;meki_lps,,vehicle control for tpl2i_lps and meki_lps,primary tissue: Blood; treatment name: LPS; stimulation: LPS; compound: Vehicle; replicate number: 1,GPL570,RMA normalized signal intensity,ID_REF|VALUE,19944,19944,0,0d858fbba6c1dd6819cac2efe6834fb422c18fe0a2a534e396570228044bf9c4,true,19944,true,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228389/suppl/GSM2228389_34813_SPR938_HGU133P.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84161/suppl/GSE84161_RAW.tar
GSM2228390,5,Tpl-2 SMI + LPS 1,"Blood, Tpl-2 SMI + LPS",GSE84161;GSE84162,Blood,Tpl-2 SMI + LPS,LPS,TPL2i,1,replicate_1,not provided at sample level; replicate number is not donor ID,tpl2i_lps,vehicle_lps,,GSM2228389,treated arm matched to vehicle_lps,primary tissue: Blood; treatment name: Tpl-2 SMI + LPS; stimulation: LPS; compound: TPL2i; replicate number: 1,GPL570,RMA normalized signal intensity,ID_REF|VALUE,19944,19944,0,0d858fbba6c1dd6819cac2efe6834fb422c18fe0a2a534e396570228044bf9c4,true,19944,true,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228390/suppl/GSM2228390_34814_SPR938_HGU133P.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84161/suppl/GSE84161_RAW.tar
GSM2228391,6,MEK SMI + LPS 1,"Blood, MEK SMI + LPS",GSE84161;GSE84162,Blood,MEK SMI + LPS,LPS,MEKi,1,replicate_1,not provided at sample level; replicate number is not donor ID,meki_lps,vehicle_lps,,GSM2228389,treated arm matched to vehicle_lps,primary tissue: Blood; treatment name: MEK SMI + LPS; stimulation: LPS; compound: MEKi; replicate number: 1,GPL570,RMA normalized signal intensity,ID_REF|VALUE,19944,19944,0,0d858fbba6c1dd6819cac2efe6834fb422c18fe0a2a534e396570228044bf9c4,true,19944,true,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228391/suppl/GSM2228391_34815_SPR938_HGU133P.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84161/suppl/GSE84161_RAW.tar
GSM2228392,7,Untreated 2,"Blood, Untreated",GSE84161;GSE84162,Blood,Untreated,Unstimulated,Vehicle,2,replicate_2,not provided at sample level; replicate number is not donor ID,untreated_unstim,,tpl2i_unstim;meki_unstim,,vehicle control for tpl2i_unstim and meki_unstim,primary tissue: Blood; treatment name: Untreated; stimulation: Unstimulated; compound: Vehicle; replicate number: 2,GPL570,RMA normalized signal intensity,ID_REF|VALUE,19944,19944,0,0d858fbba6c1dd6819cac2efe6834fb422c18fe0a2a534e396570228044bf9c4,true,19944,true,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228392/suppl/GSM2228392_34816_SPR938_HGU133P.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84161/suppl/GSE84161_RAW.tar
GSM2228393,8,Tpl-2 SMI 2,"Blood, Tpl-2 SMI",GSE84161;GSE84162,Blood,Tpl-2 SMI,Unstimulated,TPL2i,2,replicate_2,not provided at sample level; replicate number is not donor ID,tpl2i_unstim,untreated_unstim,,GSM2228392,treated arm matched to untreated_unstim,primary tissue: Blood; treatment name: Tpl-2 SMI; stimulation: Unstimulated; compound: TPL2i; replicate number: 2,GPL570,RMA normalized signal intensity,ID_REF|VALUE,19944,19944,0,0d858fbba6c1dd6819cac2efe6834fb422c18fe0a2a534e396570228044bf9c4,true,19944,true,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228393/suppl/GSM2228393_34817_SPR938_HGU133P.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84161/suppl/GSE84161_RAW.tar
GSM2228394,9,MEK SMI 2,"Blood, MEK SMI",GSE84161;GSE84162,Blood,MEK SMI,Unstimulated,MEKi,2,replicate_2,not provided at sample level; replicate number is not donor ID,meki_unstim,untreated_unstim,,GSM2228392,treated arm matched to untreated_unstim,primary tissue: Blood; treatment name: MEK SMI; stimulation: Unstimulated; compound: MEKi; replicate number: 2,GPL570,RMA normalized signal intensity,ID_REF|VALUE,19944,19944,0,0d858fbba6c1dd6819cac2efe6834fb422c18fe0a2a534e396570228044bf9c4,true,19944,true,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228394/suppl/GSM2228394_34818_SPR938_HGU133P.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84161/suppl/GSE84161_RAW.tar
GSM2228395,10,LPS 2,"Blood, LPS",GSE84161;GSE84162,Blood,LPS,LPS,Vehicle,2,replicate_2,not provided at sample level; replicate number is not donor ID,vehicle_lps,,tpl2i_lps;meki_lps,,vehicle control for tpl2i_lps and meki_lps,primary tissue: Blood; treatment name: LPS; stimulation: LPS; compound: Vehicle; replicate number: 2,GPL570,RMA normalized signal intensity,ID_REF|VALUE,19944,19944,0,0d858fbba6c1dd6819cac2efe6834fb422c18fe0a2a534e396570228044bf9c4,true,19944,true,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2228nnn/GSM2228395/suppl/GSM2228395_34819_SPR938_HGU133P.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84161/suppl/GSE84161_RAW.tar
