basename,members
Cis_eqtls_independent.tsv,251
Cis_eqtls_qval.tsv,252
cis_nominal1.cis_qtl_pairs.1.tsv,252
cis_nominal1.cis_qtl_pairs.10.tsv,252
cis_nominal1.cis_qtl_pairs.11.tsv,252
cis_nominal1.cis_qtl_pairs.12.tsv,252
cis_nominal1.cis_qtl_pairs.13.tsv,252
cis_nominal1.cis_qtl_pairs.14.tsv,252
cis_nominal1.cis_qtl_pairs.15.tsv,252
cis_nominal1.cis_qtl_pairs.16.tsv,252
cis_nominal1.cis_qtl_pairs.17.tsv,252
cis_nominal1.cis_qtl_pairs.18.tsv,252
cis_nominal1.cis_qtl_pairs.19.tsv,252
cis_nominal1.cis_qtl_pairs.2.tsv,252
cis_nominal1.cis_qtl_pairs.20.tsv,252
cis_nominal1.cis_qtl_pairs.21.tsv,252
cis_nominal1.cis_qtl_pairs.22.tsv,252
cis_nominal1.cis_qtl_pairs.3.tsv,252
cis_nominal1.cis_qtl_pairs.4.tsv,252
cis_nominal1.cis_qtl_pairs.5.tsv,252
cis_nominal1.cis_qtl_pairs.6.tsv,252
cis_nominal1.cis_qtl_pairs.7.tsv,252
cis_nominal1.cis_qtl_pairs.8.tsv,252
cis_nominal1.cis_qtl_pairs.9.tsv,252
