dataset_key,dataset_id,modality,suspension_type,assay,cohort,author_cell_type,ontology_cell_type,exclusion_reason,cell_count,retained_cell_count,excluded_cell_count,donor_count_observed,library_count_observed
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,ActMac,macrophage,,60,60,0,5,5
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,AntiB,plasma cell,,106,106,0,6,6
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,Arterial,endothelial cell of artery,,52,52,0,5,5
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,C-Hepato,centrilobular region hepatocyte,,1818,1818,0,6,6
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,C-Hepato2,centrilobular region hepatocyte,,82,82,0,3,3
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,CD3T-lrNK,hepatic pit cell,,46,46,0,3,3
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,CD4T,"CD4-positive, alpha-beta T cell",,141,141,0,5,5
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,CD4T--RBC-Doublet,unknown,cell_type_unknown;author_cell_type_doublet;author_cell_type_double_hyphen,1,0,1,1,1
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,CD8T,"CD8-positive, alpha-beta T cell",,249,249,0,5,5
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,CD8T-cNK,natural killer cell,,48,48,0,4,4
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,Chol,intrahepatic cholangiocyte,,316,316,0,6,6
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,CholMucus,intrahepatic cholangiocyte,,10,10,0,4,4
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,Fibroblast,fibroblast,,258,258,0,6,6
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,Hepato,hepatocyte,,430,430,0,6,6
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,Hepato--Mac,unknown,cell_type_unknown;author_cell_type_double_hyphen,49,0,49,3,3
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,I-Hepato,midzonal region hepatocyte,,1199,1199,0,6,6
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,Kupffer,Kupffer cell,,857,857,0,6,6
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,Kupffer--LSEC-Doublet,unknown,cell_type_unknown;author_cell_type_doublet;author_cell_type_double_hyphen,52,0,52,6,6
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,LAM-like,macrophage,,206,206,0,5,5
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,MHCII,macrophage,,109,109,0,6,6
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,Mac--B-Doublet,unknown,cell_type_unknown;author_cell_type_doublet;author_cell_type_double_hyphen,1,0,1,1,1
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,Mac--Fibro-Doublet,unknown,cell_type_unknown;author_cell_type_doublet;author_cell_type_double_hyphen,2,0,2,1,1
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,MatB,mature B cell,,201,201,0,5,5
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,Monocyte,monocyte,,324,324,0,6,6
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,NKT--Mac-Doublet,unknown,cell_type_unknown;author_cell_type_doublet;author_cell_type_double_hyphen,56,0,56,5,5
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,Neutrophil,neutrophil,,15,15,0,4,4
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,P-Hepato,periportal region hepatocyte,,9325,9325,0,6,6
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,P-Hepato2,periportal region hepatocyte,,3944,3944,0,6,6
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,Prolif,unknown,cell_type_unknown,84,0,84,6,6
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,RBC,erythrocyte,,1,1,0,1,1
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,Stellate,hepatic stellate cell,,636,636,0,5,5
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,Tcell,T cell,,846,846,0,6,6
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,cDC,conventional dendritic cell,,22,22,0,3,3
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,cNK,natural killer cell,,168,168,0,5,5
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,cvEndo,vein endothelial cell,,76,76,0,5,5
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,cvLSEC,endothelial cell of pericentral hepatic sinusoid,,1643,1643,0,6,6
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,cvLSEC--T-Doublet,unknown,cell_type_unknown;author_cell_type_doublet;author_cell_type_double_hyphen,122,0,122,5,5
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,lrNK,hepatic pit cell,,190,190,0,5,5
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,pDC,plasmacytoid dendritic cell,,324,324,0,6,6
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Control,ppLSEC,endothelial cell of periportal hepatic sinusoid,,172,172,0,6,6
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,PBC,ActMac,macrophage,,391,391,0,2,2
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,PBC,AntiB,plasma cell,,158,158,0,2,2
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,PBC,Arterial,endothelial cell of artery,,457,457,0,2,2
