gene,status,feature_index,feature_id,feature_name,match_count,dataset_key
ETS2,present,9998,ENSG00000157557,ETS2,1,sc
PRKD2,present,3049,ENSG00000105287,PRKD2,1,sc
UBASH3A,present,10308,ENSG00000160185,UBASH3A,1,sc
PFKFB3,present,12660,ENSG00000170525,PFKFB3,1,sc
BCL2L11,present,9512,ENSG00000153094,BCL2L11,1,sc
ETS2,present,9998,ENSG00000157557,ETS2,1,sn
PRKD2,present,3049,ENSG00000105287,PRKD2,1,sn
UBASH3A,present,10308,ENSG00000160185,UBASH3A,1,sn
PFKFB3,present,12660,ENSG00000170525,PFKFB3,1,sn
BCL2L11,present,9512,ENSG00000153094,BCL2L11,1,sn
