dataset_key,dataset_id,modality,suspension_type,assay,author_cell_type,cohort,gene,cell_threshold,status,gene_status,gene_feature_present,eligible_donors,observed_donors,retained_cells,observed_retained_cells,donors_with_gene_umis_gt0,donor_weighted_median_log2_cpm1,donor_weighted_median_cpm,donor_weighted_median_detection_fraction,observed_detection_fraction,minimum_log2_cpm1,maximum_log2_cpm1,all_feature_umis,positive_denominator_donors
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,ActMac,Control,BCL2L11,20,evaluable_descriptive,present,True,1,5,32,60,1,5.363674204917564,40.174356708113216,0.125,0.125,5.363674204917564,5.363674204917564,99566,1
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,ActMac,Control,ETS2,20,evaluable_descriptive,present,True,1,5,32,60,1,8.332684904324918,321.3948536649057,0.5625,0.5625,8.332684904324918,8.332684904324918,99566,1
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,ActMac,Control,PFKFB3,20,evaluable_descriptive,present,True,1,5,32,60,1,5.678577489159247,50.21794588514152,0.125,0.125,5.678577489159247,5.678577489159247,99566,1
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,ActMac,Control,PRKD2,20,evaluable_descriptive,present,True,1,5,32,60,0,0.0,0.0,0.0,0.0,0.0,0.0,99566,1
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,ActMac,Control,UBASH3A,20,evaluable_descriptive,present,True,1,5,32,60,0,0.0,0.0,0.0,0.0,0.0,0.0,99566,1
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,ActMac,Control,BCL2L11,50,no_eligible_donors,present,True,0,5,0,60,0,,,,,,,0,0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,ActMac,Control,ETS2,50,no_eligible_donors,present,True,0,5,0,60,0,,,,,,,0,0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,ActMac,Control,PFKFB3,50,no_eligible_donors,present,True,0,5,0,60,0,,,,,,,0,0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,ActMac,Control,PRKD2,50,no_eligible_donors,present,True,0,5,0,60,0,,,,,,,0,0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,ActMac,Control,UBASH3A,50,no_eligible_donors,present,True,0,5,0,60,0,,,,,,,0,0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,AntiB,Control,BCL2L11,20,evaluable_descriptive,present,True,2,6,69,106,2,4.524531686489096,23.0637235782076,0.08695652173913043,0.08695652173913043,4.09074211757505,4.958321255403144,349102,2
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,AntiB,Control,ETS2,20,evaluable_descriptive,present,True,2,6,69,106,2,5.6593629986092875,70.20170201300321,0.1847826086956522,0.14492753623188406,4.395635693245708,6.923090303972867,349102,2
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,AntiB,Control,PFKFB3,20,evaluable_descriptive,present,True,2,6,69,106,1,1.7316534512195434,5.0147936412416625,0.021739130434782608,0.014492753623188406,0.0,3.463306902439087,349102,2
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,AntiB,Control,PRKD2,20,evaluable_descriptive,present,True,2,6,69,106,2,4.878664048875997,30.077943918689854,0.15217391304347827,0.17391304347826086,4.396376984509911,5.360951113242083,349102,2
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,AntiB,Control,UBASH3A,20,evaluable_descriptive,present,True,2,6,69,106,0,0.0,0.0,0.0,0.0,0.0,0.0,349102,2
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,AntiB,Control,BCL2L11,50,no_eligible_donors,present,True,0,6,0,106,0,,,,,,,0,0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,AntiB,Control,ETS2,50,no_eligible_donors,present,True,0,6,0,106,0,,,,,,,0,0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,AntiB,Control,PFKFB3,50,no_eligible_donors,present,True,0,6,0,106,0,,,,,,,0,0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,AntiB,Control,PRKD2,50,no_eligible_donors,present,True,0,6,0,106,0,,,,,,,0,0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,AntiB,Control,UBASH3A,50,no_eligible_donors,present,True,0,6,0,106,0,,,,,,,0,0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Arterial,Control,BCL2L11,20,no_eligible_donors,present,True,0,5,0,52,0,,,,,,,0,0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v1,Arterial,Control,ETS2,20,no_eligible_donors,present,True,0,5,0,52,0,,,,,,,0,0
