experiment,assay_title,histone_mark,selected_group,search_audit_levels,status
ENCSR000ASI,Histone ChIP-seq,H2AFZ,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR000ASJ,Histone ChIP-seq,H3K27ac,H3K27ac,INTERNAL_ACTION;WARNING,selected by prespecified accession/metadata order
ENCSR000ASK,Histone ChIP-seq,H3K27me3,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR000ASL,Histone ChIP-seq,H3K36me3,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR000ASM,Histone ChIP-seq,H3K4me1,H3K4me1,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,selected by prespecified accession/metadata order
ENCSR000ASN,Histone ChIP-seq,H3K4me3,H3K4me3,INTERNAL_ACTION;WARNING,selected by prespecified accession/metadata order
ENCSR000ASO,Histone ChIP-seq,H3K79me2,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR000ASP,Histone ChIP-seq,H3K9me3,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR000ASQ,Histone ChIP-seq,H4K20me1,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR000ATE,Histone ChIP-seq,H3K4me2,,ERROR;INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR000ATF,Histone ChIP-seq,H3K9ac,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR000ATN,TF ChIP-seq,CTCF,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR000AUU,Control ChIP-seq,,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR000CKW,CAGE,,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR000CTY,polyA minus RNA-seq,,,INTERNAL_ACTION,outside prespecified assay/mark scope
ENCSR000CUC,polyA plus RNA-seq,,,INTERNAL_ACTION,outside prespecified assay/mark scope
ENCSR000CVN,small RNA-seq,,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR000DWK,Control ChIP-seq,,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR000DWL,Histone ChIP-seq,H3K4me3,H3K4me3,INTERNAL_ACTION;WARNING,selected by prespecified accession/metadata order
ENCSR000DWM,Histone ChIP-seq,H3K27me3,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR000ELE,DNase-seq,,DNase-seq,ERROR;INTERNAL_ACTION,experiment audit ERROR
ENCSR000EPK,DNase-seq,,DNase-seq,INTERNAL_ACTION,selected by prespecified accession/metadata order
ENCSR009WQK,snATAC-seq,,,INTERNAL_ACTION,outside prespecified assay/mark scope
ENCSR012PII,Histone ChIP-seq,H3K27ac,H3K27ac,INTERNAL_ACTION;WARNING,selected by prespecified accession/metadata order
ENCSR017BUL,WGBS,,,INTERNAL_ACTION;NOT_COMPLIANT;WARNING,outside prespecified assay/mark scope
ENCSR065SKV,Histone ChIP-seq,H3K27ac,H3K27ac,INTERNAL_ACTION;WARNING,later accession after two qualifying experiments
ENCSR071LSL,Mint-ChIP-seq,H3K4me1,,INTERNAL_ACTION;WARNING,outside prespecified assay/mark scope
ENCSR072WBA,total RNA-seq,,,INTERNAL_ACTION,outside prespecified assay/mark scope
ENCSR073CPU,DNase-seq,,DNase-seq,INTERNAL_ACTION,selected by prespecified accession/metadata order
