experiment,file_accession,assembly,file_status,file_format,output_type,file_size,audit_levels,eligible,reason,biological_replicates
ENCSR000ASJ,ENCFF000CEE,hg19,archived,bigBed,peaks,2246938,,False,file not released; file not GRCh38; not BED,
ENCSR000ASJ,ENCFF000CEF,hg19,archived,bam,alignments,1045097054,,False,file not released; file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASJ,ENCFF000CEG,hg19,archived,bam,alignments,923673505,,False,file not released; file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASJ,ENCFF000CEH,hg19,archived,bigWig,signal,313486090,,False,file not released; file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,
ENCSR000ASJ,ENCFF000CEN,,released,fastq,reads,977664702,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASJ,ENCFF000CEO,,released,fastq,reads,852314344,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASJ,ENCFF001TAO,hg19,archived,bed,peaks,1183619,,False,file not released; file not GRCh38,
ENCSR000ASJ,ENCFF014BCD,GRCh38,released,bam,alignments,877642366,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASJ,ENCFF552MVN,GRCh38,released,bigWig,signal p-value,1087209942,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1;2
ENCSR000ASJ,ENCFF184QLM,GRCh38,released,bigBed,pseudoreplicated peaks,3197787,,False,not BED; not an eligible peak output,1
ENCSR000ASJ,ENCFF541EYI,GRCh38,released,bam,unfiltered alignments,1183796670,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASJ,ENCFF055REK,GRCh38,released,bigWig,signal p-value,960342044,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASJ,ENCFF573JCY,GRCh38,released,bigWig,signal p-value,1006172817,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASJ,ENCFF037MPE,GRCh38,released,bed,pseudoreplicated peaks,1648675,,False,not an eligible peak output,1
ENCSR000ASJ,ENCFF471QGU,GRCh38,released,bed,pseudoreplicated peaks,2147653,,False,not an eligible peak output,1;2
ENCSR000ASJ,ENCFF013PCD,GRCh38,released,bigBed,pseudoreplicated peaks,3974778,,False,not BED; not an eligible peak output,1;2
ENCSR000ASJ,ENCFF108MNE,GRCh38,released,bigBed,pseudoreplicated peaks,3513487,,False,not BED; not an eligible peak output,2
ENCSR000ASJ,ENCFF495FGR,GRCh38,released,bigBed,replicated peaks,3945741,,False,not BED,1;2
ENCSR000ASJ,ENCFF356TSV,GRCh38,released,bam,unfiltered alignments,1058077889,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASJ,ENCFF760YJS,GRCh38,released,bam,unfiltered alignments,1206721228,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASJ,ENCFF329AXT,GRCh38,released,bam,alignments,824790496,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASJ,ENCFF835ZFV,GRCh38,released,bam,alignments,902859415,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASJ,ENCFF138WOV,GRCh38,released,bigBed,peaks,5840931,,False,not BED,2
ENCSR000ASJ,ENCFF766KYV,GRCh38,released,bed,peaks,2488488,,True,,1;2
ENCSR000ASJ,ENCFF068QTF,GRCh38,released,bigBed,peaks,5507300,,False,not BED,1
ENCSR000ASJ,ENCFF039XWV,GRCh38,released,bed,peaks,2120227,,True,,1
ENCSR000ASJ,ENCFF377OXS,GRCh38,released,bigBed,peaks,6334751,,False,not BED,1;2
ENCSR000ASJ,ENCFF381GZG,GRCh38,released,bigWig,signal p-value,534644895,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASJ,ENCFF526GZE,GRCh38,released,bigWig,fold change over control,653216814,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1;2
ENCSR000ASJ,ENCFF107BDD,GRCh38,released,bed,peaks,2216004,,True,,2
ENCSR000ASJ,ENCFF395ENI,GRCh38,released,bigWig,signal p-value,689031714,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1;2
ENCSR000ASJ,ENCFF560PQQ,GRCh38,released,bed,replicated peaks,2222727,,True,,1;2
ENCSR000ASJ,ENCFF239LOH,GRCh38,released,bigBed,replicated peaks,4174446,,False,not BED,1;2
ENCSR000ASJ,ENCFF612JMQ,GRCh38,released,bigWig,fold change over control,392289394,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASJ,ENCFF434ASF,GRCh38,released,bigWig,signal p-value,607700559,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASJ,ENCFF800NRR,GRCh38,released,bigWig,fold change over control,430844802,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASJ,ENCFF072KCY,hg19,archived,tagAlign,alignments,191906822,,False,file not released; file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,
ENCSR000ASJ,ENCFF840HBF,hg19,archived,bigWig,signal p-value,562372535,,False,file not released; file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,
ENCSR000ASJ,ENCFF806FPS,hg19,archived,bigWig,fold change over control,554929298,,False,file not released; file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,
ENCSR000ASJ,ENCFF626EZM,hg19,archived,bed,peaks,2546520,,False,file not released; file not GRCh38,
ENCSR000ASJ,ENCFF231RHP,hg19,released,bam,unfiltered alignments,1205315397,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASJ,ENCFF615XCI,hg19,released,bam,alignments,825167107,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASJ,ENCFF725BPA,hg19,released,bam,unfiltered alignments,1056819528,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASJ,ENCFF643HON,hg19,released,bam,alignments,903276965,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASJ,ENCFF035ZPH,hg19,released,bigBed,peaks,6411507,,False,file not GRCh38; not BED,1;2
ENCSR000ASJ,ENCFF688OAN,hg19,released,bigWig,signal p-value,788949549,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASJ,ENCFF842AUY,hg19,released,bed,peaks,2225956,,False,file not GRCh38,1
ENCSR000ASJ,ENCFF213TOG,hg19,released,bed,peaks,2285893,,False,file not GRCh38,2
ENCSR000ASJ,ENCFF258LKG,hg19,released,bigBed,peaks,5721046,,False,file not GRCh38; not BED,1
ENCSR000ASJ,ENCFF931PZJ,hg19,released,bigWig,fold change over control,847667453,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1;2
ENCSR000ASJ,ENCFF122ILD,hg19,released,bed,peaks,2554659,,False,file not GRCh38,1;2
ENCSR000ASJ,ENCFF500PMX,hg19,released,bigBed,peaks,5977111,,False,file not GRCh38; not BED,2
ENCSR000ASJ,ENCFF670GNZ,hg19,released,bigWig,signal p-value,786194277,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASJ,ENCFF195PCP,hg19,released,bigWig,signal p-value,1055284730,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1;2
ENCSR000ASJ,ENCFF177PWL,hg19,released,bigWig,fold change over control,568537157,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASJ,ENCFF468QFA,hg19,released,bigWig,fold change over control,531631071,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASJ,ENCFF221DZR,hg19,released,bed,replicated peaks,2242863,,False,file not GRCh38,1;2
ENCSR000ASJ,ENCFF954GIU,hg19,released,bigBed,replicated peaks,4171094,,False,file not GRCh38; not BED,1;2
ENCSR000ASJ,ENCFF078DZN,GRCh38,released,bigWig,fold change over control,584069004,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASJ,ENCFF892OTG,GRCh38,released,bed,pseudoreplicated peaks,1781118,,False,not an eligible peak output,2
ENCSR000ASJ,ENCFF840NSV,GRCh38,released,bed,replicated peaks,2130842,,True,,1;2
ENCSR000ASJ,ENCFF068YQE,GRCh38,released,bam,unfiltered alignments,1037885305,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000ASJ,ENCFF872QFO,GRCh38,released,bam,alignments,961474733,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASJ,ENCFF948MET,GRCh38,released,bigWig,fold change over control,640680663,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000ASJ,ENCFF184NWF,GRCh38,released,bigWig,fold change over control,937676936,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1;2
