experiment,biosample,library,donor,biological_replicate,technical_replicate,organism,sample_summary,treatment
ENCSR000ASJ,ENCBS865RXK,ENCLB695ACJ,ENCDO265AAA,1,1,Homo sapiens,Homo sapiens female CD14-positive monocyte primary cell,[]
ENCSR000ASJ,ENCBS188BKX,ENCLB695ACK,ENCDO265AAA,2,1,Homo sapiens,Homo sapiens female CD14-positive monocyte primary cell,[]
ENCSR000ASM,ENCBS188BKX,ENCLB695AQI,ENCDO265AAA,2,1,Homo sapiens,Homo sapiens female CD14-positive monocyte primary cell,[]
ENCSR000ASM,ENCBS865RXK,ENCLB695AQJ,ENCDO265AAA,1,1,Homo sapiens,Homo sapiens female CD14-positive monocyte primary cell,[]
ENCSR000ASN,ENCBS865RXK,ENCLB695ABT,ENCDO265AAA,1,1,Homo sapiens,Homo sapiens female CD14-positive monocyte primary cell,[]
ENCSR000ASN,ENCBS188BKX,ENCLB695ABU,ENCDO265AAA,2,1,Homo sapiens,Homo sapiens female CD14-positive monocyte primary cell,[]
ENCSR000ASN,ENCBS865RXK,ENCLB373HTG,ENCDO265AAA,1,2,Homo sapiens,Homo sapiens female CD14-positive monocyte primary cell,[]
ENCSR000DWL,ENCBS609ENC,ENCLB222YOW,ENCDO265AAA,1,1,Homo sapiens,Homo sapiens female CD14-positive monocyte primary cell,[]
ENCSR000EPK,ENCBS477CHZ,ENCLB556ZZZ,ENCDO265AAA,2,1,Homo sapiens,Homo sapiens female CD14-positive monocyte primary cell,[]
ENCSR012PII,ENCBS945EIT,ENCLB510SUZ,ENCDO190HXC,1,2,Homo sapiens,Homo sapiens male adult (21 years) CD14-positive monocyte primary cell,[]
ENCSR073CPU,ENCBS122AWE,ENCLB379VPL,ENCDO550JMB,1,1,Homo sapiens,"Homo sapiens male adult (24 years) CD14-positive monocyte primary cell treated with 0.1% dmso for 4.5 hours, 100 ng/mL lipopolysaccharide for 4 hours","[{""@id"": ""/treatments/0cb2d1c2-6b91-4953-aaba-504aa23b0642/"", ""@type"": [""Treatment"", ""Item""], ""aliases"": [], ""amount"": 0.1, ""amount_units"": ""percent"", ""antibodies_used"": [], ""biosamples_used"": [], ""date_created"": ""2024-02-23T01:41:01.405231+00:00"", ""dbxrefs"": [], ""documents"": [], ""duration"": 4.5, ""duration_units"": ""hour"", ""purpose"": ""control"", ""schema_version"": ""12"", ""status"": ""released"", ""submitted_by"": ""/users/8be3a346-1440-4bd6-85e8-3236ae469c0c/"", ""treatment_term_id"": ""CHEBI:28262"", ""treatment_term_name"": ""dmso"", ""treatment_type"": ""chemical"", ""uuid"": ""0cb2d1c2-6b91-4953-aaba-504aa23b0642""}, {""@id"": ""/treatments/d08a420f-f0fe-48b9-b6d9-6fbc2b868fd7/"", ""@type"": [""Treatment"", ""Item""], ""aliases"": [""manuel-garber:LPS_4h""], ""amount"": 100, ""amount_units"": ""ng/mL"", ""antibodies_used"": [], ""biosamples_used"": [], ""date_created"": ""2016-02-06T04:24:41.685516+00:00"", ""dbxrefs"": [], ""documents"": [], ""duration"": 4, ""duration_units"": ""hour"", ""purpose"": ""stimulation"", ""schema_version"": ""12"", ""status"": ""released"", ""submitted_by"": ""/users/b28a80d7-28ef-40c0-8060-25686893f642/"", ""treatment_term_id"": ""CHEBI:16412"", ""treatment_term_name"": ""lipopolysaccharide"", ""treatment_type"": ""chemical"", ""uuid"": ""d08a420f-f0fe-48b9-b6d9-6fbc2b868fd7""}]"
ENCSR073CPU,ENCBS440HXN,ENCLB152MTH,ENCDO550JMB,2,1,Homo sapiens,"Homo sapiens male adult (24 years) CD14-positive monocyte primary cell treated with 100 ng/mL lipopolysaccharide for 4 hours, 0.1% dmso for 4.5 hours","[{""@id"": ""/treatments/d08a420f-f0fe-48b9-b6d9-6fbc2b868fd7/"", ""@type"": [""Treatment"", ""Item""], ""aliases"": [""manuel-garber:LPS_4h""], ""amount"": 100, ""amount_units"": ""ng/mL"", ""antibodies_used"": [], ""biosamples_used"": [], ""date_created"": ""2016-02-06T04:24:41.685516+00:00"", ""dbxrefs"": [], ""documents"": [], ""duration"": 4, ""duration_units"": ""hour"", ""purpose"": ""stimulation"", ""schema_version"": ""12"", ""status"": ""released"", ""submitted_by"": ""/users/b28a80d7-28ef-40c0-8060-25686893f642/"", ""treatment_term_id"": ""CHEBI:16412"", ""treatment_term_name"": ""lipopolysaccharide"", ""treatment_type"": ""chemical"", ""uuid"": ""d08a420f-f0fe-48b9-b6d9-6fbc2b868fd7""}, {""@id"": ""/treatments/0cb2d1c2-6b91-4953-aaba-504aa23b0642/"", ""@type"": [""Treatment"", ""Item""], ""aliases"": [], ""amount"": 0.1, ""amount_units"": ""percent"", ""antibodies_used"": [], ""biosamples_used"": [], ""date_created"": ""2024-02-23T01:41:01.405231+00:00"", ""dbxrefs"": [], ""documents"": [], ""duration"": 4.5, ""duration_units"": ""hour"", ""purpose"": ""control"", ""schema_version"": ""12"", ""status"": ""released"", ""submitted_by"": ""/users/8be3a346-1440-4bd6-85e8-3236ae469c0c/"", ""treatment_term_id"": ""CHEBI:28262"", ""treatment_term_name"": ""dmso"", ""treatment_type"": ""chemical"", ""uuid"": ""0cb2d1c2-6b91-4953-aaba-504aa23b0642""}]"
ENCSR400VWA,ENCBS945EIT,ENCLB146TEI,ENCDO190HXC,1,3,Homo sapiens,Homo sapiens male adult (21 years) CD14-positive monocyte primary cell,[]
