workbook_row_1based,organism,output_type,name,strand,track_index,Assay title,File assembly,data_source,Target label,ontology_curie,biosample_name,biosample_type,gtex_tissue,gtex_tissue_group,is_treated,is_fractional,genetically_modified,genetic_modification,ontology_type,audit_flag_priority,endedness,biosample_life_stage,Experiment accession,File accession,frip,nonzero_mean,4dn_enzyme,4dn_dataset,4dn_condition
205,human,CAGE,hCAGE CL:0000576,+,36,hCAGE,hg38,fantom,,CL:0000576,monocyte,primary_cell,,,0.0,0.0,,,CL,,,,,"CD142b20Monocytes2c20donor1.CNhs10852.11224-116B9,CD142b20Monocytes2c20donor2.CNhs11954.11305-117B9,CD142b20Monocytes2c20donor3.CNhs11997.11381-118B4,CD142b20monocyte20derived20endothelial20progenitor20cells2c20donor1.CNhs10858.11229-116C5,CD142b20monocyte20derived20endothelial20progenitor20cells2c20donor2.CNhs11897.11310-117C5,CD142b20monocyte20derived20endothelial20progenitor20cells2c20donor3.CNhs11904.11386-118B9",,15.8241901654391,,,
478,human,CAGE,hCAGE CL:0000576,-,309,hCAGE,hg38,fantom,,CL:0000576,monocyte,primary_cell,,,0.0,0.0,,,CL,,,,,"CD142b20Monocytes2c20donor1.CNhs10852.11224-116B9,CD142b20Monocytes2c20donor2.CNhs11954.11305-117B9,CD142b20Monocytes2c20donor3.CNhs11997.11381-118B4,CD142b20monocyte20derived20endothelial20progenitor20cells2c20donor1.CNhs10858.11229-116C5,CD142b20monocyte20derived20endothelial20progenitor20cells2c20donor2.CNhs11897.11310-117C5,CD142b20monocyte20derived20endothelial20progenitor20cells2c20donor3.CNhs11904.11386-118B9",,15.8241901654391,,,
758,human,DNASE,CL:0001054 DNase-seq,.,43,DNase-seq,hg38,encode,,CL:0001054,CD14-positive monocyte,primary_cell,,,0.0,0.0,0.0,,CL,PASS,paired,adult,"ENCSR452DCM,ENCSR464ETX","ENCFF527BCW,ENCFF418GQQ",0.503549999999999,0.383249643555794,,,
1061,human,RNA_SEQ,CL:0001054 polyA plus RNA-seq,+,41,polyA plus RNA-seq,hg38,encode,,CL:0001054,CD14-positive monocyte,primary_cell,,,0.0,0.0,0.0,,CL,PASS,paired,adult,ENCSR905LVO,"ENCFF445VCH,",,0.136089323799494,,,
1332,human,RNA_SEQ,CL:0001054 polyA plus RNA-seq,-,312,polyA plus RNA-seq,hg38,encode,,CL:0001054,CD14-positive monocyte,primary_cell,,,0.0,0.0,0.0,,CL,PASS,paired,adult,ENCSR905LVO,"ENCFF533DHJ,",,0.136089323799494,,,
1580,human,RNA_SEQ,CL:0001054 polyA plus RNA-seq,.,560,polyA plus RNA-seq,hg38,encode,,CL:0001054,CD14-positive monocyte,primary_cell,,,0.0,0.0,0.0,,CL,PASS,paired,unknown,"ENCSR264LON,ENCSR968ACN","ENCFF946ZPT,ENCFF623LHV",,0.661586888269852,,,
1882,human,CHIP_HISTONE,CL:0001054 Histone ChIP-seq H2AFZ,.,195,Histone ChIP-seq,hg38,encode,H2AFZ,CL:0001054,CD14-positive monocyte,primary_cell,,,0.0,0.0,0.0,,CL,NOT_COMPLIANT,single,unknown,ENCSR000ASI,"ENCFF876PLU,",0.218234709203238,1.27262671133347,,,
1883,human,CHIP_HISTONE,CL:0001054 Histone ChIP-seq H3K27ac,.,196,Histone ChIP-seq,hg38,encode,H3K27ac,CL:0001054,CD14-positive monocyte,primary_cell,,,0.0,0.0,0.0,,CL,WARNING,single,adult,ENCSR012PII,"ENCFF116NCG,",0.453400878510101,1.36649246045307,,,
1884,human,CHIP_HISTONE,CL:0001054 Histone ChIP-seq H3K27me3,.,197,Histone ChIP-seq,hg38,encode,H3K27me3,CL:0001054,CD14-positive monocyte,primary_cell,,,0.0,0.0,0.0,,CL,NOT_COMPLIANT,single,adult,ENCSR080XUB,"ENCFF394PKR,",0.247018665374296,1.25226728359201,,,
1885,human,CHIP_HISTONE,CL:0001054 Histone ChIP-seq H3K36me3,.,198,Histone ChIP-seq,hg38,encode,H3K36me3,CL:0001054,CD14-positive monocyte,primary_cell,,,0.0,0.0,0.0,,CL,NOT_COMPLIANT,single,adult,ENCSR244XWL,"ENCFF132TOW,",0.505061829917424,1.88121283301121,,,
