modality,ontology,available_tracks
atac,CL:0001054,0
atac,CL:0000576,0
atac,CL:0000624,1
atac,CL:0000236,1
cage,CL:0001054,0
cage,CL:0000576,2
cage,CL:0000624,0
cage,CL:0000236,0
dnase,CL:0001054,1
dnase,CL:0000576,0
dnase,CL:0000624,1
dnase,CL:0000236,1
rna_seq,CL:0001054,1
rna_seq,CL:0000576,0
rna_seq,CL:0000624,2
rna_seq,CL:0000236,2
chip_histone,CL:0001054,3
chip_histone,CL:0000576,0
chip_histone,CL:0000624,3
chip_histone,CL:0000236,3
chip_tf,CL:0001054,1
chip_tf,CL:0000576,0
chip_tf,CL:0000624,1
chip_tf,CL:0000236,1
splice_site_usage,CL:0001054,1
splice_site_usage,CL:0000576,0
splice_site_usage,CL:0000624,2
splice_site_usage,CL:0000236,2
splice_junctions,CL:0001054,1
splice_junctions,CL:0000576,0
splice_junctions,CL:0000624,2
splice_junctions,CL:0000236,2
contact_maps,CL:0001054,0
contact_maps,CL:0000576,0
contact_maps,CL:0000624,0
contact_maps,CL:0000236,0
procap,CL:0001054,0
procap,CL:0000576,0
procap,CL:0000624,0
procap,CL:0000236,0
