filename,uncompressed_bytes,compressed_bytes,compression_method,local_header_offset,crc32
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.3.tsv,264598413,87440445,8,0,2924754798
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.15.tsv,151635242,50445614,8,87440587,3843262421
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.16.tsv,220950908,74469368,8,137886344,1705932773
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.4.tsv,205361740,67634229,8,212355855,3396412153
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.21.tsv,53506803,17806856,8,279990226,1498646233
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.7.tsv,241147321,80285482,8,297797225,1159935530
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.22.tsv,105985634,35338765,8,378082849,3365269555
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.11.tsv,268827018,88797711,8,413421757,874409883
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.6.tsv,337650725,106200826,8,502219611,3264248271
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.2.tsv,313489974,104198634,8,608420579,3732044836
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.17.tsv,273606298,91263728,8,712619355,2028776334
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/Cis_eqtls_qval.tsv,2977456,1278259,8,803883226,2509583372
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.5.tsv,211251373,69994491,8,805161613,1244912720
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.9.tsv,196009169,65681182,8,875156246,1844597799
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.19.tsv,371461818,123933647,8,940837570,2202406635
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.10.tsv,193940023,63544867,8,1064771360,3183989050
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.8.tsv,168148476,56040707,8,1128316370,3513864981
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.14.tsv,183378997,60659956,8,1184357219,2248010946
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.1.tsv,438151092,145294250,8,1245017318,1611878432
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.20.tsv,132982256,44320833,8,1390311710,1085157047
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/Cis_eqtls_independent.tsv,224464,92618,8,1434632686,2134319280
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.12.tsv,248104939,81488512,8,1434725439,2521335011
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.18.tsv,74614086,24795314,8,1516214094,1255733515
dMean__Epithelial_24_ct_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.13.tsv,92745795,30616936,8,1541009551,2687725347
dMean__Mesenchymal_7_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.3.tsv,207757665,61418294,8,1571626630,2349233378
dMean__Mesenchymal_7_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.15.tsv,108733771,32844207,8,1633045066,187930596
dMean__Mesenchymal_7_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.16.tsv,149420618,46215560,8,1665889416,1066571051
dMean__Mesenchymal_7_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.4.tsv,158387869,46382632,8,1712105119,2252821774
dMean__Mesenchymal_7_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.21.tsv,37519696,11419788,8,1758487893,3553884661
dMean__Mesenchymal_7_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.7.tsv,176268860,52848452,8,1769907824,2134548854
dMean__Mesenchymal_7_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.22.tsv,73486894,22445383,8,1822756418,1310987677
dMean__Mesenchymal_7_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.11.tsv,205556591,60660985,8,1845201944,559997521
