interface,program_id,score_kind,coverage_component,original_source_members,mapped_unique_members,component_coverage_gate,mapped_unique_total,coverage_gate_basis,parent_gate,score_status,coverage_reasons,target_literal_symbol,target_present_in_original_source,target_excluded
exact_symbol_ensembl_bijection,ets2_g1_dn,unsigned_equal_gene,all,927,848,true,848,original_component_denominators_plus_10_total,,available,[],,,
exact_symbol_ensembl_bijection,ets2_g1_up,unsigned_equal_gene,all,668,612,true,612,original_component_denominators_plus_10_total,,available,[],,,
exact_symbol_ensembl_bijection,ets2_g2_dn,unsigned_equal_gene,all,875,809,true,809,original_component_denominators_plus_10_total,,available,[],,,
exact_symbol_ensembl_bijection,chr21_dn,unsigned_equal_gene,all,141,126,true,126,original_component_denominators_plus_10_total,,available,[],,,
exact_symbol_ensembl_bijection,inflammation,unsigned_equal_gene,all,815,750,true,750,original_component_denominators_plus_10_total,,available,[],,,
exact_symbol_ensembl_bijection,interferon_gamma,unsigned_equal_gene,all,139,121,true,121,original_component_denominators_plus_10_total,,available,[],,,
exact_symbol_ensembl_bijection,oxidative_stress,unsigned_equal_gene,all,436,403,true,403,original_component_denominators_plus_10_total,,available,[],,,
exact_symbol_ensembl_bijection,apoptotic_signaling,unsigned_equal_gene,all,588,544,true,544,original_component_denominators_plus_10_total,,available,[],,,
exact_symbol_ensembl_bijection,ets2_g1_dn_without_comparators,unsigned_equal_gene,all,927,695,false,695,parent_gate_plus_10_retained,true,available,[],,,
exact_symbol_ensembl_bijection,reactome_ecm_organization,unsigned_equal_gene,all,321,301,true,301,original_component_denominators_plus_10_total,,available,[],ETS2,false,false
plus_reciprocal_entrez,ets2_g1_dn,unsigned_equal_gene,all,927,825,true,825,original_component_denominators_plus_10_total,,available,[],,,
plus_reciprocal_entrez,ets2_g1_up,unsigned_equal_gene,all,668,536,true,536,original_component_denominators_plus_10_total,,available,[],,,
plus_reciprocal_entrez,ets2_g2_dn,unsigned_equal_gene,all,875,789,true,789,original_component_denominators_plus_10_total,,available,[],,,
plus_reciprocal_entrez,chr21_dn,unsigned_equal_gene,all,141,122,true,122,original_component_denominators_plus_10_total,,available,[],,,
plus_reciprocal_entrez,inflammation,unsigned_equal_gene,all,815,744,true,744,original_component_denominators_plus_10_total,,available,[],,,
plus_reciprocal_entrez,interferon_gamma,unsigned_equal_gene,all,139,118,true,118,original_component_denominators_plus_10_total,,available,[],,,
plus_reciprocal_entrez,oxidative_stress,unsigned_equal_gene,all,436,400,true,400,original_component_denominators_plus_10_total,,available,[],,,
plus_reciprocal_entrez,apoptotic_signaling,unsigned_equal_gene,all,588,542,true,542,original_component_denominators_plus_10_total,,available,[],,,
plus_reciprocal_entrez,ets2_g1_dn_without_comparators,unsigned_equal_gene,all,927,673,false,673,parent_gate_plus_10_retained,true,available,[],,,
plus_reciprocal_entrez,reactome_ecm_organization,unsigned_equal_gene,all,321,299,true,299,original_component_denominators_plus_10_total,,available,[],ETS2,false,false
