organism,output_type,name,strand,track_index,Assay title,File assembly,data_source,Target label,ontology_curie,biosample_name,biosample_type,gtex_tissue,gtex_tissue_group,is_treated,is_fractional,genetically_modified,genetic_modification,ontology_type,audit_flag_priority,endedness,biosample_life_stage,Experiment accession,File accession,frip,nonzero_mean,4dn_enzyme,4dn_dataset,4dn_condition
human,RNA_SEQ,CL:0000624 total RNA-seq,+,28,total RNA-seq,hg38,encode,,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,,,False,False,False,,CL,PASS,single,adult,"ENCSR033XWU,ENCSR411MUF","ENCFF579IBH,ENCFF515TIF",,0.169617266108846,,,
human,RNA_SEQ,CL:0001054 polyA plus RNA-seq,+,41,polyA plus RNA-seq,hg38,encode,,CL:0001054,CD14-positive monocyte,primary_cell,,,False,False,False,,CL,PASS,paired,adult,ENCSR905LVO,"ENCFF445VCH,",,0.136089323799494,,,
human,RNA_SEQ,CL:0000624 total RNA-seq,-,299,total RNA-seq,hg38,encode,,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,,,False,False,False,,CL,PASS,single,adult,"ENCSR033XWU,ENCSR411MUF","ENCFF500JUA,ENCFF232RTU",,0.169617266108846,,,
human,RNA_SEQ,CL:0001054 polyA plus RNA-seq,-,312,polyA plus RNA-seq,hg38,encode,,CL:0001054,CD14-positive monocyte,primary_cell,,,False,False,False,,CL,PASS,paired,adult,ENCSR905LVO,"ENCFF533DHJ,",,0.136089323799494,,,
human,RNA_SEQ,CL:0000624 polyA plus RNA-seq,.,549,polyA plus RNA-seq,hg38,encode,,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,,,False,False,False,,CL,PASS,paired,adult,"ENCSR463JBR,ENCSR545MEZ","ENCFF223MUU,ENCFF089BOJ",,0.130235792469463,,,
human,RNA_SEQ,CL:0001054 polyA plus RNA-seq,.,560,polyA plus RNA-seq,hg38,encode,,CL:0001054,CD14-positive monocyte,primary_cell,,,False,False,False,,CL,PASS,paired,unknown,"ENCSR264LON,ENCSR968ACN","ENCFF946ZPT,ENCFF623LHV",,0.661586888269852,,,
human,SPLICE_SITE_USAGE,usage_CL:0000624 polyA plus RNA-seq,+,33,polyA plus RNA-seq,hg38,encode,,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,,,,,,,CL,,,adult,,ENCFF223MUU,,,,,
human,SPLICE_SITE_USAGE,usage_CL:0000624 total RNA-seq,+,34,total RNA-seq,hg38,encode,,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,,,,,,,CL,,,adult,,ENCFF579IBH,,,,,
human,SPLICE_SITE_USAGE,usage_CL:0001054 polyA plus RNA-seq,+,55,polyA plus RNA-seq,hg38,encode,,CL:0001054,CD14-positive monocyte,primary_cell,,,,,,,CL,,,adult,,ENCFF445VCH,,,,,
human,SPLICE_SITE_USAGE,usage_CL:0000624 polyA plus RNA-seq,-,400,polyA plus RNA-seq,hg38,encode,,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,,,,,,,CL,,,adult,,ENCFF223MUU,,,,,
human,SPLICE_SITE_USAGE,usage_CL:0000624 total RNA-seq,-,401,total RNA-seq,hg38,encode,,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,,,,,,,CL,,,adult,,ENCFF579IBH,,,,,
human,SPLICE_SITE_USAGE,usage_CL:0001054 polyA plus RNA-seq,-,422,polyA plus RNA-seq,hg38,encode,,CL:0001054,CD14-positive monocyte,primary_cell,,,,,,,CL,,,adult,,ENCFF445VCH,,,,,
human,SPLICE_JUNCTIONS,junction_CL:0000624 polyA plus RNA-seq,+,33,polyA plus RNA-seq,hg38,encode,,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,,,,,,,CL,,,adult,,ENCFF223MUU,,,,,
human,SPLICE_JUNCTIONS,junction_CL:0000624 total RNA-seq,+,34,total RNA-seq,hg38,encode,,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,,,,,,,CL,,,adult,,ENCFF579IBH,,,,,
human,SPLICE_JUNCTIONS,junction_CL:0001054 polyA plus RNA-seq,+,55,polyA plus RNA-seq,hg38,encode,,CL:0001054,CD14-positive monocyte,primary_cell,,,,,,,CL,,,adult,,ENCFF445VCH,,,,,
human,SPLICE_JUNCTIONS,junction_CL:0000624 polyA plus RNA-seq,-,400,polyA plus RNA-seq,hg38,encode,,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,,,,,,,CL,,,adult,,ENCFF223MUU,,,,,
human,SPLICE_JUNCTIONS,junction_CL:0000624 total RNA-seq,-,401,total RNA-seq,hg38,encode,,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,,,,,,,CL,,,adult,,ENCFF579IBH,,,,,
human,SPLICE_JUNCTIONS,junction_CL:0001054 polyA plus RNA-seq,-,422,polyA plus RNA-seq,hg38,encode,,CL:0001054,CD14-positive monocyte,primary_cell,,,,,,,CL,,,adult,,ENCFF445VCH,,,,,
