experiment,search_file,source_raw_name,archive_raw_name,mapping_status,archive_bytes,settings_source_sha256
10BR3_2SCX_bRP_AP,10BR3_2SCX_bRP_AP.pep.xml,Naive_CD4_SCX_later_Elite_f1.raw,Naive_CD4_SCX_later_Elite_f1.raw,exact,414842021,89f1c9f7888871355857b1dce57f8f116557259ce6625ce5ca2c2ec53e46f914
10BR3_2SCX_bRP_AP,10BR3_2SCX_bRP_AP.pep.xml,Naive_CD4_SCX_later_Elite_f10.raw,Naive_CD4_SCX_later_Elite_f10.raw,exact,373957170,89f1c9f7888871355857b1dce57f8f116557259ce6625ce5ca2c2ec53e46f914
10BR3_2SCX_bRP_AP,10BR3_2SCX_bRP_AP.pep.xml,Naive_CD4_SCX_later_Elite_f11.raw,Naive_CD4_SCX_later_Elite_f11.raw,exact,384542048,89f1c9f7888871355857b1dce57f8f116557259ce6625ce5ca2c2ec53e46f914
10BR3_2SCX_bRP_AP,10BR3_2SCX_bRP_AP.pep.xml,Naive_CD4_SCX_later_Elite_f12.raw,Naive_CD4_SCX_later_Elite_f12.raw,exact,377141098,89f1c9f7888871355857b1dce57f8f116557259ce6625ce5ca2c2ec53e46f914
10BR3_2SCX_bRP_AP,10BR3_2SCX_bRP_AP.pep.xml,Naive_CD4_SCX_later_Elite_f13.raw,Naive_CD4_SCX_later_Elite_f13.raw,exact,374459889,89f1c9f7888871355857b1dce57f8f116557259ce6625ce5ca2c2ec53e46f914
10BR3_2SCX_bRP_AP,10BR3_2SCX_bRP_AP.pep.xml,Naive_CD4_SCX_later_Elite_f14.raw,Naive_CD4_SCX_later_Elite_f14.raw,exact,353394706,89f1c9f7888871355857b1dce57f8f116557259ce6625ce5ca2c2ec53e46f914
10BR3_2SCX_bRP_AP,10BR3_2SCX_bRP_AP.pep.xml,Naive_CD4_SCX_later_Elite_f15.raw,Naive_CD4_SCX_later_Elite_f15.raw,exact,349431309,89f1c9f7888871355857b1dce57f8f116557259ce6625ce5ca2c2ec53e46f914
10BR3_2SCX_bRP_AP,10BR3_2SCX_bRP_AP.pep.xml,Naive_CD4_SCX_later_Elite_f16.raw,Naive_CD4_SCX_later_Elite_f16.raw,exact,355290930,89f1c9f7888871355857b1dce57f8f116557259ce6625ce5ca2c2ec53e46f914
10BR3_2SCX_bRP_AP,10BR3_2SCX_bRP_AP.pep.xml,Naive_CD4_SCX_later_Elite_f17.raw,Naive_CD4_SCX_later_Elite_f17.raw,exact,351585244,89f1c9f7888871355857b1dce57f8f116557259ce6625ce5ca2c2ec53e46f914
10BR3_2SCX_bRP_AP,10BR3_2SCX_bRP_AP.pep.xml,Naive_CD4_SCX_later_Elite_f18.raw,Naive_CD4_SCX_later_Elite_f18.raw,exact,370457393,89f1c9f7888871355857b1dce57f8f116557259ce6625ce5ca2c2ec53e46f914
10BR3_2SCX_bRP_AP,10BR3_2SCX_bRP_AP.pep.xml,Naive_CD4_SCX_later_Elite_f2.raw,Naive_CD4_SCX_later_Elite_f2.raw,exact,310362939,89f1c9f7888871355857b1dce57f8f116557259ce6625ce5ca2c2ec53e46f914
10BR3_2SCX_bRP_AP,10BR3_2SCX_bRP_AP.pep.xml,Naive_CD4_SCX_later_Elite_f3.raw,Naive_CD4_SCX_later_Elite_f3.raw,exact,286801605,89f1c9f7888871355857b1dce57f8f116557259ce6625ce5ca2c2ec53e46f914
10BR3_2SCX_bRP_AP,10BR3_2SCX_bRP_AP.pep.xml,Naive_CD4_SCX_later_Elite_f4.raw,Naive_CD4_SCX_later_Elite_f4.raw,exact,280358416,89f1c9f7888871355857b1dce57f8f116557259ce6625ce5ca2c2ec53e46f914
10BR3_2SCX_bRP_AP,10BR3_2SCX_bRP_AP.pep.xml,Naive_CD4_SCX_later_Elite_f5.raw,Naive_CD4_SCX_later_Elite_f5.raw,exact,351439139,89f1c9f7888871355857b1dce57f8f116557259ce6625ce5ca2c2ec53e46f914
10BR3_2SCX_bRP_AP,10BR3_2SCX_bRP_AP.pep.xml,Naive_CD4_SCX_later_Elite_f6.raw,Naive_CD4_SCX_later_Elite_f6.raw,exact,360742463,89f1c9f7888871355857b1dce57f8f116557259ce6625ce5ca2c2ec53e46f914
10BR3_2SCX_bRP_AP,10BR3_2SCX_bRP_AP.pep.xml,Naive_CD4_SCX_later_Elite_f7.raw,Naive_CD4_SCX_later_Elite_f7.raw,exact,363174411,89f1c9f7888871355857b1dce57f8f116557259ce6625ce5ca2c2ec53e46f914
10BR3_2SCX_bRP_AP,10BR3_2SCX_bRP_AP.pep.xml,Naive_CD4_SCX_later_Elite_f8.raw,Naive_CD4_SCX_later_Elite_f8.raw,exact,379622815,89f1c9f7888871355857b1dce57f8f116557259ce6625ce5ca2c2ec53e46f914
10BR3_2SCX_bRP_AP,10BR3_2SCX_bRP_AP.pep.xml,Naive_CD4_SCX_later_Elite_f9.raw,Naive_CD4_SCX_later_Elite_f9.raw,exact,369525883,89f1c9f7888871355857b1dce57f8f116557259ce6625ce5ca2c2ec53e46f914
