experiment,search_file,referenced_raw_files,matched_raw_files,missing_raw_files,matched_archive_bytes,database_names_as_published,enzymes_as_published,precursor_tolerances_as_published,fragment_tolerances_as_published,full_settings_sha256,sample_scope
10BR3_2SCX_bRP_AP,10BR3_2SCX_bRP_AP.pep.xml,18,18,0,6407129479,Indiv_ProteoGenome,Trypsin,10 ppm,0.05 Da | 0.05 Da,15d6956cba3fc76aa13ce1b8ecb917a9951c766d30d74fabe75cc2312b8d3448,source experiment label; not an independently verified donor identity
05BR2_nonNuclear_IOB,05BR2_nonNuclear_IOB.pep.xml,14,14,0,2387832397,Human_RefSeq50 | Human_RefSeq50_cont.fasta,Trypsin | Trypsin (Full),10 ppm | 10 ppm,0.05 Da | 0.05 Da,45f0679ef64ac3f2a7f27239a9b0e4840b3fa84ca0a0a92206b711b50959ecb7,source experiment label; not an independently verified donor identity
GetnetD_iTRAQ_RARO,GetnetD_iTRAQ_RARO.pep.xml,24,23,1,10782570584,Human_RefSeq50,Trypsin,10 ppm,0.05 Da,a01a543828b6e7a26b75a42e7b8128fcbfa1c1ea704c2c2e653dedb2824e5b2b,source experiment label; not an independently verified donor identity
02BR1_PAGE_Core,02BR1_PAGE_Core.pep.pep.xml,12,12,0,3047139468,Human_RefSeq50 | Human_RefSeq50_cont.fasta,Trypsin | Trypsin (Full),10 ppm | 10 ppm,0.05 Da | 0.05 Da,4854aea4efc102919b7607c09955ee41c224a75bab68c58e15b28ce9b398552d,source experiment label; not an independently verified donor identity
08BR3_2SCX_bRP_Core,08BR3_2SCX_bRP_Core.pep.xml,18,18,0,4597445728,Human_RefSeq50 | Human_RefSeq50_cont.fasta,Trypsin | Trypsin (Full),10 ppm | 10 ppm,0.05 Da | 0.05 Da,1c603f11da14549bfe2679375aef7ff2aed9add780af59f4bee1b8754cfac940,source experiment label; not an independently verified donor identity
07BR3_1SCX_bRP_Core,07BR3_1SCX_bRP_Core.pep.xml,14,14,0,3415144540,Human_RefSeq50 | Human_RefSeq50_cont.fasta,Trypsin | Trypsin (Full),10 ppm | 10 ppm,0.05 Da | 0.05 Da,4c5c8da34f8ddd53a2f8fdc28f61ec9e3d036f684493a138cb38027f1f15ecc7,source experiment label; not an independently verified donor identity
03BR1_PAGE_AP,03BR1_PAGE_AP.pep.xml,21,21,0,15374390639,Indiv_ProteoGenome,Trypsin,10 ppm,0.05 Da | 0.05 Da,a50d115fa437cea2bea597c693bf21eaeafaf8bc795f05a42ed072c780f6a7c9,source experiment label; not an independently verified donor identity
01BR1_PAGE_IOB,01BR1_PAGE_IOB.pep.xml,30,30,0,7953384194,Human_RefSeq50 | Human_RefSeq50_cont.fasta,Trypsin | Trypsin (Full),10 ppm | 10 ppm,0.05 Da | 0.05 Da,70bd606bc7c9d95d9b5bc0816170a1cff7757e66234f52adeb80bbeb61747cb5,source experiment label; not an independently verified donor identity
09BR3_1SCX_bRP_AP,09BR3_1SCX_bRP_AP.pep.xml,14,14,0,8027469063,Indiv_ProteoGenome,Trypsin,10 ppm,0.05 Da | 0.05 Da,d887e0da610a151e2a53aac3f4d4dba093b2990babd2611672d8227cb0846c64,source experiment label; not an independently verified donor identity
NaiveCD4T_nuclear_All,NaiveCD4T_nuclear.pep.xml,12,12,0,10335701744,Indiv_ProteoGenome,Trypsin,10 ppm,0.05 Da,569d39a2a98ffd1b3654f7c41bf63b0b0eaa6c0a061f7b70a231d917031e2912,source experiment label; not an independently verified donor identity
11BR4_GELFREE-PAGE_AP,11BR4_GELFREE-PAGE_AP.pep.xml,60,60,0,17049749364,Indiv_ProteoGenome,Trypsin,10 ppm,0.05 Da | 0.05 Da,1a0698b05500663c306ff02a784c50355d7dd031010674cc5cb9bab9fb2ff1e2,source experiment label; not an independently verified donor identity
04BR2_Nuclear_IOB,04BR2_Nuclear_IOB.pep.xml,13,13,0,1926164823,Human_RefSeq50 | Human_RefSeq50_cont.fasta,Trypsin | Trypsin (Full),10 ppm | 10 ppm,0.05 Da | 0.05 Da,a98e08a4314e02b16ca40a3047fc484c68c156ce5701249900459a22f78b009a,source experiment label; not an independently verified donor identity
