file,converted_MS2,Comet_loaded_spectrum_queries,reported_assignments,spectra_with_reported_winner,MS2_without_reported_winner,target_spectrum_wins,decoy_spectrum_wins,passing_global_spectrum_q01,unique_IL_peptides_among_passing_spectra,UBASH3A_associated_passing_spectra
naive_CD4_RPLC_A1,5000,4369,21419,4307,693,2906,1401,1178,486,0
naive_CD4_RPLC_A10,4691,3856,18511,3720,971,2543,1177,1042,535,0
naive_CD4_RPLC_A11,4582,3513,16736,3382,1200,1895,1487,278,107,0
naive_CD4_RPLC_A12,4906,4139,20173,4042,864,2661,1381,935,343,0
naive_CD4_RPLC_A1-A4_pool,5171,4347,21022,4218,953,2871,1347,1286,669,0
naive_CD4_RPLC_A2,4872,4326,21104,4272,600,2905,1367,1094,267,0
naive_CD4_RPLC_A3,4949,4018,19454,3907,1042,2489,1418,877,407,0
naive_CD4_RPLC_A4,4830,4108,19749,3968,862,2495,1473,828,419,0
naive_CD4_RPLC_A5,1731,849,3861,796,935,483,313,68,41,0
naive_CD4_RPLC_A5_r,6738,5687,27737,5571,1167,3485,2086,1087,488,0
naive_CD4_RPLC_A6,5176,4599,22790,4562,614,2921,1641,1028,491,0
naive_CD4_RPLC_A7,4515,3850,18960,3801,714,2155,1646,344,142,0
naive_CD4_RPLC_A8,4897,4134,19802,3978,919,2540,1438,794,402,0
naive_CD4_RPLC_A9,4708,3946,18668,3754,954,2294,1460,772,463,0
