file,original_converted_MS2,engine_loaded_queries,loaded_batches_json,exported_XML_queries,exported_XML_queries_with_hits,exported_XML_queries_without_hits,loaded_queries_not_exported,physical_MS2_with_exported_query,physical_MS2_with_reported_assignment,physical_MS2_without_reported_assignment,all_exported_scan_ids_in_original_inventory,all_exported_scan_ordinals_match_original_mzML_positions,queries_with_different_exported_and_instrument_scan_labels,maximum_precursor_mz_difference,maximum_retention_time_difference_seconds,scan_inventory_sha256,XML_sha256
naive_CD4_RPLC_A1,5000,4369,[4369],4369,4307,62,0,4369,4307,693,True,True,4369,5.0368964707558916e-05,0.05029999999987922,33d50638ab4bc1fab0f78d972e5737ed48eb04ab684194cac1b7d541ac496f16,8824e1566187ee138d88f9ebd0bb592d86cbc34e80489272331029b9f3afdf6a
naive_CD4_RPLC_A10,4691,3856,[3856],3856,3720,136,0,3856,3720,971,True,True,3856,5.0075996114173904e-05,0.05010000000038417,e293dcf7973881b3219ad7140e48ea84faf3446d9f082fac1e6287faacf3e4c0,d8017f0a7c92433e6bd3a83e2c5f9c01a4a43ed5a4b6100033f421091c6bf9b7
naive_CD4_RPLC_A11,4582,3513,[3513],3513,3382,131,0,3513,3382,1200,True,True,3513,5.0368964707558916e-05,0.05020000000058644,3d3de1df7b1f0ca5a09e4a0417a2864f9848b9114d86fd3e5a1221757fafb029,3df910beda42d612de66f8975a2a326f0a82816bb2f6573037b05a4afa1e5618
naive_CD4_RPLC_A12,4906,4139,[4139],4139,4042,97,0,4139,4042,864,True,True,4139,5.046662101904076e-05,0.05040000000008149,d0ab1bb52c357658eae6dd6a1131a2ff69e5ced3a2d7b3457b8f77b6a432f6de,9b02089b9da46df33caa65583210d97a4df1dbccfa6251a5e009fad4e67c4da7
naive_CD4_RPLC_A1-A4_pool,5171,4347,[4347],4347,4218,129,0,4347,4218,953,True,True,4347,5.046662101904076e-05,0.050200000000131695,ca07b5229382f77c103788022202a360fec32d6e347c9b8b0a5a6abe89d5430c,807293d7bce2a8d86a17b11eb46002d603f6498101d67e2e06668368ebf03bc3
naive_CD4_RPLC_A2,4872,4326,[4326],4326,4272,54,0,4326,4272,600,True,True,4326,5.046662101904076e-05,0.05010000000038417,e6be0cc96101c24d02216c1c6319e9a1fbade24ba2a6b8d5133221245802de95,d27cdae5c05579c28c6c3a3697b211da2c6d3fd0f7adcda340de426c756e8dc3
naive_CD4_RPLC_A3,4949,4018,[4018],4018,3907,111,0,4018,3907,1042,True,True,4018,5.0368964707558916e-05,0.05010000000038417,aa87e299e5df3709c1903daa8535ee244ea7d545864c4c51632f3d7e4a35b3d9,3ca8b65ad1a9a81b24b007e693b9ee0ea2243b99c0690c594d5f73231ee4c6ca
naive_CD4_RPLC_A4,4830,4108,[4108],4108,3968,140,0,4108,3968,862,True,True,4108,5.027130850976391e-05,0.05010000000038417,a0403b0a8ed208599de32135cd6d00461503341ab86a6468eeea56a952ba374b,62805153e3ef42bee051c8732264fe6f9055cb15042f271263cb15e13787d253
naive_CD4_RPLC_A5,1731,849,[849],849,796,53,0,849,796,935,True,True,849,5.017365219828207e-05,0.0500000000001819,6d58d245a56f1cc6bcfbcf4aa729c423b2d24a9f16da9d9612010c8c7d68a01f,b6398ae95b95310d38772c2a10637f767b4f021c7cdd157a8ee396d3eccf9cf0
naive_CD4_RPLC_A5_r,6738,5687,"[5005, 682]",5687,5571,116,0,5687,5571,1167,True,True,5687,5.0466621132727596e-05,0.05029999999987922,ff4c9a94400d00ee15d7719af0a1363082c78c5998254971a4e71c60ec7fb6e6,8dd589344b7a5e2a123ff860171ca88d830c35edf9e4ba1b9ab269928e315f29
naive_CD4_RPLC_A6,5176,4599,[4599],4599,4562,37,0,4599,4562,614,True,True,4599,5.027130850976391e-05,0.05020000000058644,755ecf4ee3546c4dbda98020afc65f8613193e38dc1ed4382f84d34155c7c0e1,be4247688cc3cf05d2333b12fad9dd9eb8bb3778c6380c4830dc012470b7e237
naive_CD4_RPLC_A7,4515,3850,[3850],3850,3801,49,0,3850,3801,714,True,True,3850,5.017365219828207e-05,0.05010000000038417,9173ab51087506a3f9b5902084c1fdb879d749ce732eb690051f31b8a6288018,67bd4d48e16214e7144c88ff43c297ff33faf5102c5b5bacf8cefab61e4f4dc2
naive_CD4_RPLC_A8,4897,4134,[4134],4134,3978,156,0,4134,3978,919,True,True,4134,5.0466621132727596e-05,0.05040000000008149,8d4662f8b2e5c9cf756edf55a0be8119267971113df2b6093fea75b3790b7815,344306f4908bb33e0a62d3b3e1ac70bab603aabfa06a4b9cc1702d82c1ee564e
naive_CD4_RPLC_A9,4708,3946,[3946],3946,3754,192,0,3946,3754,954,True,True,3946,5.0466621132727596e-05,0.05029999999987922,b8d89cde75dab9d2333e89bcb8f94051d2c42db2ddac776bcd51d006ed416761,b08202ea75f30da98f4660bbd77112daecfbdde58556be234ebf658e34fbd5ce
