sample,setting,event,alignment_class,alignment_count
NCD4,primary,normal,primary,85
NCD4,primary,normal,secondary_or_supplementary,1
NCD4,primary,plus29,primary,0
NCD4,primary,plus29,secondary_or_supplementary,0
NCD4,primary,T_specific_downstream,primary,0
NCD4,primary,T_specific_downstream,secondary_or_supplementary,0
NCD4,splice_flank_no,normal,primary,85
NCD4,splice_flank_no,normal,secondary_or_supplementary,1
NCD4,splice_flank_no,plus29,primary,0
NCD4,splice_flank_no,plus29,secondary_or_supplementary,0
NCD4,splice_flank_no,T_specific_downstream,primary,0
NCD4,splice_flank_no,T_specific_downstream,secondary_or_supplementary,0
MemCD4,primary,normal,primary,49
MemCD4,primary,normal,secondary_or_supplementary,0
MemCD4,primary,plus29,primary,0
MemCD4,primary,plus29,secondary_or_supplementary,0
MemCD4,primary,T_specific_downstream,primary,0
MemCD4,primary,T_specific_downstream,secondary_or_supplementary,0
MemCD4,splice_flank_no,normal,primary,49
MemCD4,splice_flank_no,normal,secondary_or_supplementary,0
MemCD4,splice_flank_no,plus29,primary,0
MemCD4,splice_flank_no,plus29,secondary_or_supplementary,0
MemCD4,splice_flank_no,T_specific_downstream,primary,0
MemCD4,splice_flank_no,T_specific_downstream,secondary_or_supplementary,0
