sample,target_label,source_model,anchor_min,full_splice_chain_and_start_reads,full_chain_distinct_exact_sequences,complete_downstream_chain_reads
NCD4,U0,ENST00000291535.12,20,0,0,3
NCD4,U0,ENST00000291535.12,10,0,0,13
NCD4,U29,ENST00000291535.12,20,0,0,0
NCD4,U29,ENST00000291535.12,10,0,0,0
NCD4,C0,ENST00000319294.11,20,0,0,3
NCD4,C0,ENST00000319294.11,10,0,0,13
NCD4,C29,ENST00000319294.11,20,0,0,0
NCD4,C29,ENST00000319294.11,10,0,0,0
NCD4,B0,ENST00000398367.2,20,0,0,0
NCD4,B0,ENST00000398367.2,10,0,0,0
NCD4,B29,ENST00000398367.2,20,0,0,0
NCD4,B29,ENST00000398367.2,10,0,0,0
NCD4,R0,ENST00000635325.1,20,0,0,0
NCD4,R0,ENST00000635325.1,10,0,0,0
NCD4,R29,ENST00000635325.1,20,0,0,0
NCD4,R29,ENST00000635325.1,10,0,0,0
NCD4,C20,ENST00001131803.1,20,0,0,3
NCD4,C20,ENST00001131803.1,10,0,0,13
NCD4,C229,ENST00001131803.1,20,0,0,0
NCD4,C229,ENST00001131803.1,10,0,0,0
NCD4,T29,e09f04f5-c617-4bb3-b69c-519ccb16d0f1,20,0,0,0
NCD4,T29,e09f04f5-c617-4bb3-b69c-519ccb16d0f1,10,0,0,0
MemCD4,U0,ENST00000291535.12,20,1,1,2
MemCD4,U0,ENST00000291535.12,10,3,3,9
MemCD4,U29,ENST00000291535.12,20,0,0,0
MemCD4,U29,ENST00000291535.12,10,0,0,0
MemCD4,C0,ENST00000319294.11,20,0,0,2
MemCD4,C0,ENST00000319294.11,10,0,0,9
MemCD4,C29,ENST00000319294.11,20,0,0,0
MemCD4,C29,ENST00000319294.11,10,0,0,0
MemCD4,B0,ENST00000398367.2,20,0,0,0
MemCD4,B0,ENST00000398367.2,10,0,0,0
MemCD4,B29,ENST00000398367.2,20,0,0,0
MemCD4,B29,ENST00000398367.2,10,0,0,0
MemCD4,R0,ENST00000635325.1,20,0,0,0
MemCD4,R0,ENST00000635325.1,10,0,0,0
MemCD4,R29,ENST00000635325.1,20,0,0,0
MemCD4,R29,ENST00000635325.1,10,0,0,0
MemCD4,C20,ENST00001131803.1,20,0,0,2
MemCD4,C20,ENST00001131803.1,10,0,0,9
MemCD4,C229,ENST00001131803.1,20,0,0,0
MemCD4,C229,ENST00001131803.1,10,0,0,0
MemCD4,T29,e09f04f5-c617-4bb3-b69c-519ccb16d0f1,20,0,0,0
MemCD4,T29,e09f04f5-c617-4bb3-b69c-519ccb16d0f1,10,0,0,0
