dataset_id,cohort,sample_group,archive_region,role,planned_pairs,measured_pairs,threshold_passes,primary_sign_agrees,primary_sign_opposes,measured_with_mixed_model_tracks
QTD000031,BLUEPRINT,T-cell,IL2RA,anchor,30,17,1,6,9,2
QTD000031,BLUEPRINT,T-cell,IL2RA,comparator,60,34,0,15,15,4
QTD000031,BLUEPRINT,T-cell,BCL2L11,anchor,46,4,0,0,3,1
QTD000031,BLUEPRINT,T-cell,BCL2L11,comparator,92,8,0,4,2,2
QTD000439,DICE,Tfh_memory,IL2RA,anchor,30,18,0,7,9,2
QTD000439,DICE,Tfh_memory,IL2RA,comparator,60,36,0,17,15,4
QTD000439,DICE,Tfh_memory,BCL2L11,anchor,46,4,1,1,1,2
QTD000439,DICE,Tfh_memory,BCL2L11,comparator,92,16,0,4,8,4
QTD000444,DICE,Th17_memory,IL2RA,anchor,30,17,0,8,7,2
QTD000444,DICE,Th17_memory,IL2RA,comparator,60,34,0,13,17,4
QTD000444,DICE,Th17_memory,BCL2L11,anchor,46,4,1,1,1,2
QTD000444,DICE,Th17_memory,BCL2L11,comparator,92,16,0,6,6,4
QTD000449,DICE,Th1_memory,IL2RA,anchor,30,17,0,7,8,2
QTD000449,DICE,Th1_memory,IL2RA,comparator,60,34,0,15,15,4
QTD000449,DICE,Th1_memory,BCL2L11,anchor,46,5,0,1,1,3
QTD000449,DICE,Th1_memory,BCL2L11,comparator,92,15,0,7,3,5
QTD000454,DICE,Th2_memory,IL2RA,anchor,30,17,0,11,4,2
QTD000454,DICE,Th2_memory,IL2RA,comparator,60,34,0,18,12,4
QTD000454,DICE,Th2_memory,BCL2L11,anchor,46,5,1,1,1,3
QTD000454,DICE,Th2_memory,BCL2L11,comparator,92,20,0,6,7,7
QTD000459,DICE,Th1-17_memory,IL2RA,anchor,30,17,0,9,6,2
QTD000459,DICE,Th1-17_memory,IL2RA,comparator,60,34,0,19,11,4
QTD000459,DICE,Th1-17_memory,BCL2L11,anchor,46,4,0,1,1,2
QTD000459,DICE,Th1-17_memory,BCL2L11,comparator,92,16,0,4,6,6
QTD000464,DICE,Treg_memory,IL2RA,anchor,30,18,0,8,7,3
QTD000464,DICE,Treg_memory,IL2RA,comparator,60,36,0,15,16,5
QTD000464,DICE,Treg_memory,BCL2L11,anchor,46,6,0,3,0,3
QTD000464,DICE,Treg_memory,BCL2L11,comparator,92,24,0,5,9,10
QTD000469,DICE,Treg_naive,IL2RA,anchor,30,17,1,11,4,2
QTD000469,DICE,Treg_naive,IL2RA,comparator,60,34,0,21,9,4
QTD000469,DICE,Treg_naive,BCL2L11,anchor,46,2,0,1,0,1
QTD000469,DICE,Treg_naive,BCL2L11,comparator,92,8,0,2,4,2
QTD000479,DICE,CD4_T-cell_naive,IL2RA,anchor,30,17,0,8,7,2
QTD000479,DICE,CD4_T-cell_naive,IL2RA,comparator,60,34,0,14,16,4
QTD000479,DICE,CD4_T-cell_naive,BCL2L11,anchor,46,2,0,0,1,1
QTD000479,DICE,CD4_T-cell_naive,BCL2L11,comparator,92,8,0,2,4,2
QTD000484,DICE,CD4_T-cell_anti-CD3-CD28,IL2RA,anchor,30,17,0,10,5,2
QTD000484,DICE,CD4_T-cell_anti-CD3-CD28,IL2RA,comparator,60,34,0,14,16,4
QTD000484,DICE,CD4_T-cell_anti-CD3-CD28,BCL2L11,anchor,46,2,0,0,1,1
QTD000484,DICE,CD4_T-cell_anti-CD3-CD28,BCL2L11,comparator,92,8,0,3,3,2
