member,kind,bytes,sha256
data_release,directory,0,
data_release/README,file,233,a59a5d87895e15684ff949cb8550bb5263bd342c10286b239ae120fe5f7967d9
data_release/eqtl_fine_mapping,directory,0,
data_release/eqtl_fine_mapping/11_63607735_64607735_gene_nor_combat_mono.config,file,2584491,fad5751c247f4982110fc9066a42ca794d83f38e538d4a66473d747baf364e9d
data_release/eqtl_fine_mapping/11_63607735_64607735_gene_nor_combat_mono.log,file,2186,90d78fa2c5fa158b7083be24026a7bf37bef5e505920aa8fba0b0b169abc0a1f
data_release/eqtl_fine_mapping/11_63607735_64607735_gene_nor_combat_mono.snp,file,48383,c319723c9dd120a5d0b2c30fed34cf1eea9ab7cc945f5fd8cad86b17d2fb35e8
data_release/eqtl_fine_mapping/19_46705707_47705707_gene_nor_combat_mono.config,file,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
data_release/eqtl_fine_mapping/19_46705707_47705707_gene_nor_combat_mono.log,file,2195,401919641bd66e5838dd0f26fba0771629ebdce3f8c439dabdc5c475c5e56f72
data_release/eqtl_fine_mapping/19_46705707_47705707_gene_nor_combat_mono.snp,file,68806,f5d84084fa4d0b8299c6fea953aacf2a47ff3cb14a068eee17a3b4a61f29fd19
data_release/eqtl_fine_mapping/19_46705707_47705707_gene_nor_combat_mono_2CV.config,file,3306332,64617f80e0dfffbe7d17c3a7309ee9bce900e76c83eaee6b1e3fd68cd26baa9e
data_release/eqtl_fine_mapping/19_46705707_47705707_gene_nor_combat_mono_2CV.log,file,2204,7f69dbd98a569791b0c32144ca0af63c5a1bdc08da5a707bc043128b7c556b27
data_release/eqtl_fine_mapping/19_46705707_47705707_gene_nor_combat_mono_2CV.snp,file,68926,60d29b15d1a513493ce3091b585b472913d26ddf2fd2e66d14ac7fbd75912647
data_release/eqtl_fine_mapping/21_39966744_40966744_K27AC_log2rpm_mono.config,file,2736976,62e71b0171ebc1270e4842c6872878ce68b8d627be964ca932fda882afa082fd
data_release/eqtl_fine_mapping/21_39966744_40966744_K27AC_log2rpm_mono.log,file,2180,8e66d2efcb3e6747601e5a3b73f3c65597477eaf45cd62f4ca643e188d522e49
data_release/eqtl_fine_mapping/21_39966744_40966744_K27AC_log2rpm_mono.snp,file,101048,d7d1a91fd7915d8f86ddf2e8d078ef0dbf2a19c8bc35499427701413b6b9beb0
data_release/eqtl_fine_mapping/21_39966744_40966744_K27AC_log2rpm_neut.config,file,2577506,27b52d7fb74ffe0074fce9a810248558d1362dc6ab5731e573aec2370b8c20c6
data_release/eqtl_fine_mapping/21_39966744_40966744_K27AC_log2rpm_neut.log,file,2175,bc5b843b8ab3f7ebef294349fc74cebdc0eb21e5dd72099318ad5c6332efaf7c
data_release/eqtl_fine_mapping/21_39966744_40966744_K27AC_log2rpm_neut.snp,file,100891,354fedcc9b2e8c32f6d49ff0788ab9a804fdf684d6dbb225f5d39f87a529a9fc
data_release/eqtl_fine_mapping/21_39966744_40966744_gene_nor_combat_mono.config,file,2579439,dcc210bb7f1a1ec5aa6a8f757d187d6873979f64bc7f44b42f4f517e723a5c6d
