dataset_id,snp_rows,rounded_pip_sum,config_rows,config_probability_mass,config_max_causal_variants,max_pip_config_difference,max_posterior_k_log_difference,log_max_causal_variants,log_individuals,issues
molecular_qtl/11_63607735_64607735_gene_nor_combat_mono,1631,1.3092,50000,1.0000000110,2,0.0000499729,0.1279504703,5,194,log_version_differs_from_paper_methods_v1.3;configuration_posterior_k_disagrees_with_log
molecular_qtl/19_46705707_47705707_gene_nor_combat_mono,2492,2.7403,,,,,,5,194,log_version_differs_from_paper_methods_v1.3;empty_configuration_file
molecular_qtl/19_46705707_47705707_gene_nor_combat_mono_2CV,2492,2.7340,50000,0.9999999023,4,0.0000499660,0.2605601094,5,194,log_version_differs_from_paper_methods_v1.3;configuration_posterior_k_disagrees_with_log
molecular_qtl/21_39966744_40966744_K27AC_log2rpm_mono,3363,1.7643,50000,0.9999999639,3,0.0000499952,0.1761800660,5,162,log_version_differs_from_paper_methods_v1.3;configuration_posterior_k_disagrees_with_log
molecular_qtl/21_39966744_40966744_K27AC_log2rpm_neut,3362,1.2673,50000,1.0000000568,2,0.0000499331,0.0855615016,5,162,log_version_differs_from_paper_methods_v1.3;configuration_posterior_k_disagrees_with_log
molecular_qtl/21_39966744_40966744_gene_nor_combat_mono,3353,1.4754,50000,0.9999999673,2,0.0000497954,0.1654666709,5,194,log_version_differs_from_paper_methods_v1.3;configuration_posterior_k_disagrees_with_log
molecular_qtl/21_43355067_44355067_gene_nor_combat_tcel,4071,1.8237,50000,1.0000000389,4,0.0000499521,0.1982856097,5,171,log_version_differs_from_paper_methods_v1.3;configuration_posterior_k_disagrees_with_log
molecular_qtl/21_43355067_44355067_psi_nor_tcel,4071,1.5508,50000,1.0000000664,3,0.0000498967,0.1840236155,5,171,log_version_differs_from_paper_methods_v1.3;configuration_posterior_k_disagrees_with_log
gwas/BACH2,2582,1.3497,50000,1.0000000049,3,0.0000499822,0.3627982363,1,11386,log_version_differs_from_paper_methods_v1.3;configuration_exceeds_log_max_causal_variants;configuration_posterior_k_disagrees_with_log
gwas/BCL2L11,1692,1.6071,50000,1.0000000120,3,0.0000499940,0.6084148383,1,11386,log_version_differs_from_paper_methods_v1.3;configuration_exceeds_log_max_causal_variants;configuration_posterior_k_disagrees_with_log
gwas/CCDC88B,1635,2.1216,50000,1.0000000048,4,0.0000499069,0.8855102721,1,11386,log_version_differs_from_paper_methods_v1.3;configuration_exceeds_log_max_causal_variants;configuration_posterior_k_disagrees_with_log
gwas/CD226,3264,1.2408,50000,0.9999999919,2,0.0000499270,0.2739265325,1,11386,log_version_differs_from_paper_methods_v1.3;configuration_exceeds_log_max_causal_variants;configuration_posterior_k_disagrees_with_log
gwas/CD28,2369,1.9210,50000,0.9999999945,4,0.0000499995,0.7693621794,1,11386,log_version_differs_from_paper_methods_v1.3;configuration_exceeds_log_max_causal_variants;configuration_posterior_k_disagrees_with_log
gwas/CLEC16A,3581,1.4284,50000,0.9999999944,3,0.0000499990,0.4799026336,1,11386,log_version_differs_from_paper_methods_v1.3;configuration_exceeds_log_max_causal_variants;configuration_posterior_k_disagrees_with_log
gwas/FOXP1,1850,2.3786,50000,0.9999999928,4,0.0000498618,0.9899190714,1,11386,log_version_differs_from_paper_methods_v1.3;configuration_exceeds_log_max_causal_variants;configuration_posterior_k_disagrees_with_log
gwas/GPR35,3352,1.4632,50000,1.0000000113,3,0.0000499751,0.4688076565,1,11386,log_version_differs_from_paper_methods_v1.3;configuration_exceeds_log_max_causal_variants;configuration_posterior_k_disagrees_with_log
gwas/HDAC7,3411,1.2142,50000,0.9999999954,3,0.0000499667,0.1626923544,1,11386,log_version_differs_from_paper_methods_v1.3;configuration_exceeds_log_max_causal_variants;configuration_posterior_k_disagrees_with_log
gwas/IL21,2392,1.4183,50000,1.0000000012,3,0.0000499827,0.4390646676,1,11386,log_version_differs_from_paper_methods_v1.3;configuration_exceeds_log_max_causal_variants;configuration_posterior_k_disagrees_with_log
gwas/IL2RA,3425,2.0295,50000,1.0000000001,3,0.0000499865,0.7699428828,1,11386,log_version_differs_from_paper_methods_v1.3;configuration_exceeds_log_max_causal_variants;configuration_posterior_k_disagrees_with_log
gwas/MMEL1,1940,1.2138,50000,1.0000000040,3,0.0000499351,0.2378645928,1,11386,log_version_differs_from_paper_methods_v1.3;configuration_exceeds_log_max_causal_variants;configuration_posterior_k_disagrees_with_log
gwas/MST1,1513,2.7111,50000,0.9999999957,5,0.0000498500,0.9981884243,1,11386,log_version_differs_from_paper_methods_v1.3;configuration_exceeds_log_max_causal_variants;configuration_posterior_k_disagrees_with_log
gwas/PRKD2,2322,1.4590,50000,0.9999999968,4,0.0000499988,0.4459014226,1,11386,log_version_differs_from_paper_methods_v1.3;configuration_exceeds_log_max_causal_variants;configuration_posterior_k_disagrees_with_log
gwas/PSMG1,3423,1.2953,50000,0.9999999994,3,0.0000500000,0.3358198627,1,11386,log_version_differs_from_paper_methods_v1.3;configuration_exceeds_log_max_causal_variants;configuration_posterior_k_disagrees_with_log
gwas/SH2B3,1220,1.5918,50000,0.9999999962,3,0.0000499532,0.5175347631,1,11386,log_version_differs_from_paper_methods_v1.3;configuration_exceeds_log_max_causal_variants;configuration_posterior_k_disagrees_with_log
gwas/SIK2,2176,0.9765,2176,0.9999999993,1,0.0000499330,7E-10,1,11386,log_version_differs_from_paper_methods_v1.3
gwas/UBASH3A,4101,0.9891,4101,1.0000000004,1,0.0000495816,4E-10,1,11386,log_version_differs_from_paper_methods_v1.3
