site,position_0based,position_1based,modality,track_name,strand,assay,ontology_curie,reference,alternate,prediction_availability,delta_alt_minus_ref
offset_+0,42434953,42434954,splice_sites,acceptor,+,,,0.000179290771484375,0.00019073486328125,both,1.1444091796875e-05
offset_+0,42434953,42434954,splice_sites,acceptor,-,,,6.580352783203125e-05,0.00011396408081054688,both,4.8160552978515625e-05
offset_+0,42434953,42434954,splice_sites,donor,+,,,0.96875,0.92578125,both,-0.04296875
offset_+0,42434953,42434954,splice_sites,donor,-,,,7.3909759521484375e-06,8.285045623779297e-06,both,8.940696716308594e-07
offset_+1,42434954,42434955,splice_sites,acceptor,+,,,0.0002498626708984375,0.000492095947265625,both,0.0002422332763671875
offset_+1,42434954,42434955,splice_sites,acceptor,-,,,4.731118679046631e-07,1.1324882507324219e-06,both,6.593763828277588e-07
offset_+1,42434954,42434955,splice_sites,donor,+,,,7.562339305877686e-07,1.817941665649414e-06,both,1.0617077350616455e-06
offset_+1,42434954,42434955,splice_sites,donor,-,,,1.4603137969970703e-06,1.5497207641601562e-06,both,8.940696716308594e-08
offset_+10,42434963,42434964,splice_sites,acceptor,+,,,6.07222318649292e-07,9.126961231231689e-07,both,3.0547380447387695e-07
offset_+10,42434963,42434964,splice_sites,acceptor,-,,,2.5331974029541016e-07,2.384185791015625e-07,both,-1.4901161193847656e-08
offset_+10,42434963,42434964,splice_sites,donor,+,,,1.1026859283447266e-06,2.816319465637207e-06,both,1.7136335372924805e-06
offset_+10,42434963,42434964,splice_sites,donor,-,,,1.3131648302078247e-07,1.2014061212539673e-07,both,-1.1175870895385742e-08
offset_+11,42434964,42434965,splice_sites,acceptor,+,,,3.9301812648773193e-07,7.562339305877686e-07,both,3.632158041000366e-07
offset_+11,42434964,42434965,splice_sites,acceptor,-,,,7.82310962677002e-07,1.0058283805847168e-06,both,2.2351741790771484e-07
offset_+11,42434964,42434965,splice_sites,donor,+,,,3.606081008911133e-06,1.4960765838623047e-05,both,1.1354684829711914e-05
offset_+11,42434964,42434965,splice_sites,donor,-,,,1.2386590242385864e-07,1.7415732145309448e-07,both,5.029141902923584e-08
offset_+12,42434965,42434966,splice_sites,acceptor,+,,,2.9802322387695312e-05,4.982948303222656e-05,both,2.002716064453125e-05
offset_+12,42434965,42434966,splice_sites,acceptor,-,,,4.172325134277344e-07,3.688037395477295e-07,both,-4.842877388000488e-08
offset_+12,42434965,42434966,splice_sites,donor,+,,,2.7008354663848877e-07,6.891787052154541e-07,both,4.1909515857696533e-07
offset_+12,42434965,42434966,splice_sites,donor,-,,,2.384185791015625e-07,2.7008354663848877e-07,both,3.166496753692627e-08
offset_+13,42434966,42434967,splice_sites,acceptor,+,,,8.64267349243164e-06,1.621246337890625e-05,both,7.569789886474609e-06
offset_+13,42434966,42434967,splice_sites,acceptor,-,,,0.0003566741943359375,0.0003452301025390625,both,-1.1444091796875e-05
offset_+13,42434966,42434967,splice_sites,donor,+,,,6.139278411865234e-06,1.621246337890625e-05,both,1.0073184967041016e-05
offset_+13,42434966,42434967,splice_sites,donor,-,,,1.1324882507324219e-06,1.169741153717041e-06,both,3.725290298461914e-08
offset_+14,42434967,42434968,splice_sites,acceptor,+,,,6.258487701416016e-07,1.2069940567016602e-06,both,5.811452865600586e-07
offset_+14,42434967,42434968,splice_sites,acceptor,-,,,4.172325134277344e-07,3.9301812648773193e-07,both,-2.421438694000244e-08
offset_+14,42434967,42434968,splice_sites,donor,+,,,1.7974525690078735e-07,5.21540641784668e-07,both,3.417953848838806e-07
offset_+14,42434967,42434968,splice_sites,donor,-,,,1.7415732145309448e-07,2.1047890186309814e-07,both,3.632158041000366e-08
offset_+15,42434968,42434969,splice_sites,acceptor,+,,,2.115964889526367e-06,5.9604644775390625e-06,both,3.844499588012695e-06
offset_+15,42434968,42434969,splice_sites,acceptor,-,,,1.0356307029724121e-06,1.601874828338623e-06,both,5.662441253662109e-07
offset_+15,42434968,42434969,splice_sites,donor,+,,,7.420778274536133e-06,3.7670135498046875e-05,both,3.0249357223510742e-05
offset_+15,42434968,42434969,splice_sites,donor,-,,,3.293156623840332e-06,4.798173904418945e-06,both,1.5050172805786133e-06
offset_+16,42434969,42434970,splice_sites,acceptor,+,,,3.259629011154175e-07,5.699694156646729e-07,both,2.4400651454925537e-07
offset_+16,42434969,42434970,splice_sites,acceptor,-,,,2.7008354663848877e-07,2.60770320892334e-07,both,-9.313225746154785e-09
offset_+16,42434969,42434970,splice_sites,donor,+,,,2.384185791015625e-07,6.668269634246826e-07,both,4.284083843231201e-07
offset_+16,42434969,42434970,splice_sites,donor,-,,,7.264316082000732e-08,8.754432201385498e-08,both,1.4901161193847656e-08
offset_+17,42434970,42434971,splice_sites,acceptor,+,,,1.9431114196777344e-05,4.00543212890625e-05,both,2.0623207092285156e-05
offset_+17,42434970,42434971,splice_sites,acceptor,-,,,0.0023651123046875,0.002716064453125,both,0.0003509521484375
offset_+17,42434970,42434971,splice_sites,donor,+,,,1.5616416931152344e-05,4.8160552978515625e-05,both,3.254413604736328e-05
offset_+17,42434970,42434971,splice_sites,donor,-,,,3.2782554626464844e-06,3.606081008911133e-06,both,3.2782554626464844e-07
offset_+18,42434971,42434972,splice_sites,acceptor,+,,,8.866190910339355e-07,1.7061829566955566e-06,both,8.195638656616211e-07
offset_+18,42434971,42434972,splice_sites,acceptor,-,,,5.364418029785156e-07,5.364418029785156e-07,both,0.0
offset_+18,42434971,42434972,splice_sites,donor,+,,,1.7974525690078735e-07,5.21540641784668e-07,both,3.417953848838806e-07
offset_+18,42434971,42434972,splice_sites,donor,-,,,3.1478703022003174e-07,3.9301812648773193e-07,both,7.82310962677002e-08
offset_+19,42434972,42434973,splice_sites,acceptor,+,,,2.7008354663848877e-07,5.550682544708252e-07,both,2.849847078323364e-07
offset_+19,42434972,42434973,splice_sites,acceptor,-,,,1.9744038581848145e-07,2.3096799850463867e-07,both,3.3527612686157227e-08
offset_+19,42434972,42434973,splice_sites,donor,+,,,3.9301812648773193e-07,1.7583370208740234e-06,both,1.3653188943862915e-06
offset_+19,42434972,42434973,splice_sites,donor,-,,,1.6391277313232422e-07,2.169981598854065e-07,both,5.3085386753082275e-08
offset_+2,42434955,42434956,splice_sites,acceptor,+,,,4.947185516357422e-06,0.00010204315185546875,both,9.709596633911133e-05
offset_+2,42434955,42434956,splice_sites,acceptor,-,,,1.9371509552001953e-06,0.0003509521484375,both,0.0003490149974822998
offset_+2,42434955,42434956,splice_sites,donor,+,,,8.869171142578125e-05,0.000457763671875,both,0.00036907196044921875
offset_+2,42434955,42434956,splice_sites,donor,-,,,6.891787052154541e-07,2.995133399963379e-06,both,2.305954694747925e-06
offset_+20,42434973,42434974,splice_sites,acceptor,+,,,1.3262033462524414e-06,7.3909759521484375e-06,both,6.064772605895996e-06
offset_+20,42434973,42434974,splice_sites,acceptor,-,,,2.0563602447509766e-06,7.18235969543457e-06,both,5.125999450683594e-06
offset_+20,42434973,42434974,splice_sites,donor,+,,,7.963180541992188e-05,0.0016937255859375,both,0.0016140937805175781
offset_+20,42434973,42434974,splice_sites,donor,-,,,7.115304470062256e-07,2.562999725341797e-06,both,1.8514692783355713e-06
offset_+21,42434974,42434975,splice_sites,acceptor,+,,,3.688037395477295e-07,6.668269634246826e-07,both,2.980232238769531e-07
offset_+21,42434974,42434975,splice_sites,acceptor,-,,,2.7939677238464355e-07,3.3527612686157227e-07,both,5.587935447692871e-08
offset_+21,42434974,42434975,splice_sites,donor,+,,,2.9616057872772217e-07,1.1399388313293457e-06,both,8.437782526016235e-07
offset_+21,42434974,42434975,splice_sites,donor,-,,,8.242204785346985e-08,9.918585419654846e-08,both,1.6763806343078613e-08
offset_+22,42434975,42434976,splice_sites,acceptor,+,,,6.198883056640625e-05,9.632110595703125e-05,both,3.4332275390625e-05
offset_+22,42434975,42434976,splice_sites,acceptor,-,,,6.258487701416016e-07,9.126961231231689e-07,both,2.868473529815674e-07
offset_+22,42434975,42434976,splice_sites,donor,+,,,4.731118679046631e-07,1.601874828338623e-06,both,1.12876296043396e-06
offset_+22,42434975,42434976,splice_sites,donor,-,,,4.731118679046631e-07,5.029141902923584e-07,both,2.9802322387695312e-08
offset_+23,42434976,42434977,splice_sites,acceptor,+,,,3.0547380447387695e-07,9.685754776000977e-07,both,6.631016731262207e-07
offset_+23,42434976,42434977,splice_sites,acceptor,-,,,1.4435499906539917e-07,3.259629011154175e-07,both,1.816079020500183e-07
offset_+23,42434976,42434977,splice_sites,donor,+,,,5.029141902923584e-07,4.082918167114258e-06,both,3.5800039768218994e-06
offset_+23,42434976,42434977,splice_sites,donor,-,,,1.685693860054016e-07,3.259629011154175e-07,both,1.5739351511001587e-07
offset_+24,42434977,42434978,splice_sites,acceptor,+,,,3.5762786865234375e-07,1.0654330253601074e-06,both,7.078051567077637e-07
offset_+24,42434977,42434978,splice_sites,acceptor,-,,,2.5331974029541016e-07,6.668269634246826e-07,both,4.1350722312927246e-07
offset_+24,42434977,42434978,splice_sites,donor,+,,,2.339482307434082e-06,2.5033950805664062e-05,both,2.269446849822998e-05
offset_+24,42434977,42434978,splice_sites,donor,-,,,8.754432201385498e-08,1.8533319234848022e-07,both,9.778887033462524e-08
offset_+25,42434978,42434979,splice_sites,acceptor,+,,,5.555152893066406e-05,0.00010728836059570312,both,5.173683166503906e-05
offset_+25,42434978,42434979,splice_sites,acceptor,-,,,2.7939677238464355e-07,5.21540641784668e-07,both,2.421438694000244e-07
offset_+25,42434978,42434979,splice_sites,donor,+,,,2.3096799850463867e-07,1.169741153717041e-06,both,9.387731552124023e-07
offset_+25,42434978,42434979,splice_sites,donor,-,,,2.60770320892334e-07,3.7997961044311523e-07,both,1.1920928955078125e-07
offset_+26,42434979,42434980,splice_sites,acceptor,+,,,1.169741153717041e-06,3.293156623840332e-06,both,2.123415470123291e-06
offset_+26,42434979,42434980,splice_sites,acceptor,-,,,1.4901161193847656e-07,4.0605664253234863e-07,both,2.5704503059387207e-07
offset_+26,42434979,42434980,splice_sites,donor,+,,,2.384185791015625e-07,1.9371509552001953e-06,both,1.6987323760986328e-06
offset_+26,42434979,42434980,splice_sites,donor,-,,,6.426125764846802e-08,1.3131648302078247e-07,both,6.705522537231445e-08
offset_+27,42434980,42434981,splice_sites,acceptor,+,,,4.172325134277344e-07,1.817941665649414e-06,both,1.4007091522216797e-06
offset_+27,42434980,42434981,splice_sites,acceptor,-,,,1.1594966053962708e-07,4.600733518600464e-07,both,3.441236913204193e-07
offset_+27,42434980,42434981,splice_sites,donor,+,,,3.7997961044311523e-07,8.404254913330078e-06,both,8.024275302886963e-06
offset_+27,42434980,42434981,splice_sites,donor,-,,,5.657784640789032e-08,1.685693860054016e-07,both,1.1199153959751129e-07
offset_+28,42434981,42434982,splice_sites,acceptor,+,,,5.699694156646729e-07,1.5050172805786133e-06,both,9.350478649139404e-07
offset_+28,42434981,42434982,splice_sites,acceptor,-,,,8.475035429000854e-08,1.2014061212539673e-07,both,3.5390257835388184e-08
offset_+28,42434981,42434982,splice_sites,donor,+,,,4.880130290985107e-07,5.245208740234375e-06,both,4.757195711135864e-06
offset_+28,42434981,42434982,splice_sites,donor,-,,,7.729977369308472e-08,1.2759119272232056e-07,both,5.029141902923584e-08
offset_+29,42434982,42434983,splice_sites,acceptor,+,,,3.838539123535156e-05,0.00022125244140625,both,0.00018286705017089844
offset_+29,42434982,42434983,splice_sites,acceptor,-,,,3.4809112548828125e-05,0.0001430511474609375,both,0.00010824203491210938
offset_+29,42434982,42434983,splice_sites,donor,+,,,0.0123291015625,0.369140625,both,0.3568115234375
offset_+29,42434982,42434983,splice_sites,donor,-,,,1.4126300811767578e-05,4.649162292480469e-05,both,3.236532211303711e-05
offset_+3,42434956,42434957,splice_sites,acceptor,+,,,1.4603137969970703e-06,1.9371509552001953e-06,both,4.76837158203125e-07
offset_+3,42434956,42434957,splice_sites,acceptor,-,,,1.0058283805847168e-06,5.21540641784668e-07,both,-4.842877388000488e-07
offset_+3,42434956,42434957,splice_sites,donor,+,,,1.7583370208740234e-06,2.4884939193725586e-06,both,7.301568984985352e-07
offset_+3,42434956,42434957,splice_sites,donor,-,,,1.996755599975586e-06,1.0058283805847168e-06,both,-9.909272193908691e-07
offset_+30,42434983,42434984,splice_sites,acceptor,+,,,7.486343383789062e-05,0.00023746490478515625,both,0.00016260147094726562
offset_+30,42434983,42434984,splice_sites,acceptor,-,,,2.039596438407898e-07,5.029141902923584e-07,both,2.989545464515686e-07
offset_+30,42434983,42434984,splice_sites,donor,+,,,3.688037395477295e-07,5.245208740234375e-06,both,4.8764050006866455e-06
offset_+30,42434983,42434984,splice_sites,donor,-,,,5.885958671569824e-07,2.115964889526367e-06,both,1.5273690223693848e-06
offset_+31,42434984,42434985,splice_sites,acceptor,+,,,8.568167686462402e-07,2.2649765014648438e-06,both,1.4081597328186035e-06
offset_+31,42434984,42434985,splice_sites,acceptor,-,,,1.6391277313232422e-07,3.7997961044311523e-07,both,2.1606683731079102e-07
offset_+31,42434984,42434985,splice_sites,donor,+,,,4.731118679046631e-07,3.606081008911133e-06,both,3.1329691410064697e-06
offset_+31,42434984,42434985,splice_sites,donor,-,,,9.313225746154785e-08,1.9744038581848145e-07,both,1.043081283569336e-07
offset_+32,42434985,42434986,splice_sites,acceptor,+,,,5.699694156646729e-07,1.55717134475708e-06,both,9.872019290924072e-07
offset_+32,42434985,42434986,splice_sites,acceptor,-,,,1.3131648302078247e-07,4.600733518600464e-07,both,3.287568688392639e-07
offset_+32,42434985,42434986,splice_sites,donor,+,,,6.07222318649292e-07,5.602836608886719e-06,both,4.995614290237427e-06
offset_+32,42434985,42434986,splice_sites,donor,-,,,1.9744038581848145e-07,3.9301812648773193e-07,both,1.955777406692505e-07
offset_+33,42434986,42434987,splice_sites,acceptor,+,,,3.1478703022003174e-07,4.3213367462158203e-07,both,1.1734664440155029e-07
offset_+33,42434986,42434987,splice_sites,acceptor,-,,,4.4517219066619873e-07,8.046627044677734e-07,both,3.594905138015747e-07
offset_+33,42434986,42434987,splice_sites,donor,+,,,7.562339305877686e-07,2.726912498474121e-06,both,1.9706785678863525e-06
offset_+33,42434986,42434987,splice_sites,donor,-,,,9.033828973770142e-08,8.754432201385498e-08,both,-2.7939677238464355e-09
offset_+34,42434987,42434988,splice_sites,acceptor,+,,,1.8775463104248047e-06,2.637505531311035e-06,both,7.599592208862305e-07
offset_+34,42434987,42434988,splice_sites,acceptor,-,,,1.9185245037078857e-07,2.9616057872772217e-07,both,1.043081283569336e-07
offset_+34,42434987,42434988,splice_sites,donor,+,,,6.891787052154541e-07,2.4884939193725586e-06,both,1.7993152141571045e-06
offset_+34,42434987,42434988,splice_sites,donor,-,,,1.5832483768463135e-07,1.8533319234848022e-07,both,2.7008354663848877e-08
offset_+35,42434988,42434989,splice_sites,acceptor,+,,,8.568167686462402e-07,1.7061829566955566e-06,both,8.493661880493164e-07
offset_+35,42434988,42434989,splice_sites,acceptor,-,,,1.3597309589385986e-07,3.0547380447387695e-07,both,1.695007085800171e-07
offset_+35,42434988,42434989,splice_sites,donor,+,,,9.424984455108643e-07,2.995133399963379e-06,both,2.0526349544525146e-06
offset_+35,42434988,42434989,splice_sites,donor,-,,,2.1904706954956055e-06,3.293156623840332e-06,both,1.1026859283447266e-06
offset_+36,42434989,42434990,splice_sites,acceptor,+,,,2.7008354663848877e-07,3.7997961044311523e-07,both,1.0989606380462646e-07
offset_+36,42434989,42434990,splice_sites,acceptor,-,,,6.612390279769897e-08,1.0896474123001099e-07,both,4.284083843231201e-08
offset_+36,42434989,42434990,splice_sites,donor,+,,,4.4517219066619873e-07,1.0654330253601074e-06,both,6.202608346939087e-07
offset_+36,42434989,42434990,splice_sites,donor,-,,,7.497146725654602e-08,8.475035429000854e-08,both,9.778887033462524e-09
offset_+37,42434990,42434991,splice_sites,acceptor,+,,,6.07222318649292e-07,8.568167686462402e-07,both,2.4959444999694824e-07
offset_+37,42434990,42434991,splice_sites,acceptor,-,,,1.7415732145309448e-07,2.60770320892334e-07,both,8.66129994392395e-08
offset_+37,42434990,42434991,splice_sites,donor,+,,,7.338821887969971e-07,1.7061829566955566e-06,both,9.723007678985596e-07
offset_+37,42434990,42434991,splice_sites,donor,-,,,1.2386590242385864e-07,1.4435499906539917e-07,both,2.0489096641540527e-08
offset_+38,42434991,42434992,splice_sites,acceptor,+,,,5.699694156646729e-07,8.307397365570068e-07,both,2.60770320892334e-07
offset_+38,42434991,42434992,splice_sites,acceptor,-,,,8.242204785346985e-08,1.3131648302078247e-07,both,4.889443516731262e-08
offset_+38,42434991,42434992,splice_sites,donor,+,,,4.600733518600464e-07,1.1026859283447266e-06,both,6.426125764846802e-07
offset_+38,42434991,42434992,splice_sites,donor,-,,,2.7008354663848877e-07,3.1478703022003174e-07,both,4.470348358154297e-08
offset_+39,42434992,42434993,splice_sites,acceptor,+,,,1.9185245037078857e-07,2.868473529815674e-07,both,9.499490261077881e-08
offset_+39,42434992,42434993,splice_sites,acceptor,-,,,3.688037395477295e-07,5.885958671569824e-07,both,2.1979212760925293e-07
offset_+39,42434992,42434993,splice_sites,donor,+,,,8.307397365570068e-07,1.8775463104248047e-06,both,1.0468065738677979e-06
offset_+39,42434992,42434993,splice_sites,donor,-,,,6.426125764846802e-08,7.729977369308472e-08,both,1.30385160446167e-08
offset_+4,42434957,42434958,splice_sites,acceptor,+,,,8.866190910339355e-07,2.115964889526367e-06,both,1.2293457984924316e-06
offset_+4,42434957,42434958,splice_sites,acceptor,-,,,2.637505531311035e-06,2.1904706954956055e-06,both,-4.470348358154297e-07
offset_+4,42434957,42434958,splice_sites,donor,+,,,0.000110626220703125,0.00024127960205078125,both,0.00013065338134765625
offset_+4,42434957,42434958,splice_sites,donor,-,,,5.364418029785156e-07,1.2889504432678223e-06,both,7.525086402893066e-07
offset_+40,42434993,42434994,splice_sites,acceptor,+,,,7.338821887969971e-07,1.1399388313293457e-06,both,4.0605664253234863e-07
offset_+40,42434993,42434994,splice_sites,acceptor,-,,,1.4435499906539917e-07,2.169981598854065e-07,both,7.264316082000732e-08
offset_+40,42434993,42434994,splice_sites,donor,+,,,4.731118679046631e-07,1.1026859283447266e-06,both,6.295740604400635e-07
