dataset_key,dataset_id,modality,suspension_type,assay,program_id,threshold,left_population,right_population,contrast_role,comparison,left_observed_donors,right_observed_donors,left_score_eligible_donors,right_score_eligible_donors,score_available_pairs,status,paired_donors,median_delta,minimum_delta,maximum_delta,positive_delta_count,loo_median_min,loo_median_max,loo_evaluable_count,interpretation
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,apoptotic_signaling,20,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,8,8,4,8,4,evaluable_descriptive,4,-0.008648142251008961,-0.07604537364991204,0.03778147968061685,2,-0.02902331741996944,0.011727032917951519,4,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,apoptotic_signaling,20,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,8,8,7,8,7,evaluable_descriptive,7,-0.03354086641111831,-0.08307173370497933,0.07113193387595373,1,-0.039273051845438056,-0.024761042579116488,7,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,apoptotic_signaling,20,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,8,8,8,8,8,evaluable_descriptive,8,0.044176540452631086,-0.09108726894134733,0.07997349903524187,5,0.04086291889278071,0.04749016201248146,8,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,apoptotic_signaling,50,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,8,8,3,6,3,evaluable_descriptive,3,0.011727032917951519,-0.07604537364991204,0.03778147968061685,2,,,0,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,apoptotic_signaling,50,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,8,8,6,6,5,evaluable_descriptive,5,-0.045005237279757804,-0.08307173370497933,0.07113193387595373,1,-0.04872180802538684,-0.023223979455025967,5,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,apoptotic_signaling,50,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,8,8,7,6,6,evaluable_descriptive,6,0.01625309937056385,-0.09108726894134733,0.04941826741429978,3,-0.008356720151653008,0.04086291889278071,6,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,chr21_dn,20,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,8,8,4,8,4,evaluable_descriptive,4,-0.4758355317501346,-0.5689100941322911,-0.1954461400128027,0,-0.5089209443075964,-0.4427501191926728,4,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,chr21_dn,20,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,8,8,7,8,7,evaluable_descriptive,7,-0.11696474370387744,-0.14982887277826595,0.1840210158376907,2,-0.12038409483814005,-0.1038845325108424,7,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,chr21_dn,20,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,8,8,8,8,8,evaluable_descriptive,8,-0.0775483394749692,-0.2955848885245098,0.25309133489637503,3,-0.0955183261004997,-0.05957835284943869,8,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,chr21_dn,50,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,8,8,3,6,3,evaluable_descriptive,3,-0.5089209443075964,-0.5689100941322911,-0.4427501191926728,0,,,0,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,chr21_dn,50,LAM-like,Kupffer,secondary within-PSC cell-state contrast,LAM-like_minus_Kupffer,8,8,6,6,5,evaluable_descriptive,5,-0.11696474370387744,-0.13465386865483975,0.03308802671164912,1,-0.12038409483814005,-0.1038845325108424,5,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,chr21_dn,50,Monocyte,Kupffer,secondary within-PSC cell-type contrast,Monocyte_minus_Kupffer,8,8,7,6,6,evaluable_descriptive,6,-0.0775483394749692,-0.2955848885245098,0.25309133489637503,2,-0.0955183261004997,-0.05957835284943869,6,descriptive_within_donor_assay_only
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ets2_g1_dn,20,ActMac,Kupffer,primary within-PSC cell-state contrast; whole-cell only if nuclei lack ActMac,ActMac_minus_Kupffer,8,8,4,8,4,evaluable_descriptive,4,-0.2431210860599493,-0.30562080805795944,-0.16777214439254617,0,-0.25604315655030785,-0.23019901556959077,4,descriptive_within_donor_assay_only
