experiment_id,code_member,code_member_bytes,code_member_sha256,sample_index,sample_name_literal,target_as_coded,donor_as_coded,included_in_model,contrast_id,contrast_formula,condition_left_as_coded,condition_right_as_coded,design_note
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,1,1_g1,g1,1,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,2,1_g4,g2,1,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,3,2_chr21,,,false,,,,,Listed in all.names but excluded by the released ko column index vector.
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,4,2_g1,g1,2,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,5,2_g4,g2,2,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,6,2_NTC,NTC,2,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,7,3_chr21,,,false,,,,,Listed in all.names but excluded by the released ko column index vector.
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,8,3_g1,g1,3,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,9,3_g4,g2,3,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,10,3_NTC,NTC,3,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,11,4_chr21,,,false,,,,,Listed in all.names but excluded by the released ko column index vector.
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,12,4_NTC,NTC,4,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,13,5_chr21,,,false,,,,,Listed in all.names but excluded by the released ko column index vector.
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,14,5_g1,g1,5,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,15,5_g4,g2,5,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,16,5_NTC,NTC,5,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,17,6_g1,g1,6,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,18,6_g4,g2,6,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,19,6_NTC,NTC,6,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,20,7_chr21,,,false,,,,,Listed in all.names but excluded by the released ko column index vector.
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,21,7_g1,g1,7,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,22,7_g4,g2,7,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,23,7_NTC,NTC,7,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,24,8_g1,g1,8,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,25,8_g1_ROX,,,false,,,,,Listed in all.names but excluded by the released ko column index vector.
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,26,8_g4,g2,8,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,27,8_g4_ROX,,,false,,,,,Listed in all.names but excluded by the released ko column index vector.
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,28,8_NTC,NTC,8,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,29,9_g1,g1,9,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,30,9_g1_ROX,,,false,,,,,Listed in all.names but excluded by the released ko column index vector.
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,31,9_g4,g2,9,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,32,9_g4_ROX,,,false,,,,,Listed in all.names but excluded by the released ko column index vector.
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,33,9_NTC,NTC,9,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,34,10_g1,g1,10,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,35,10_g1_ROX,,,false,,,,,Listed in all.names but excluded by the released ko column index vector.
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,36,10_g4,g2,10,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,37,10_g4_ROX,,,false,,,,,Listed in all.names but excluded by the released ko column index vector.
crispr_ets2,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,6857,9cc56f99ee774caf95498c51624d6bd7af9266a7abdf7230482a308135b05039,38,10_NTC,NTC,10,true,g1_vs_NTC;g2_vs_NTC,g1-NTC;g2-NTC,g1;g2,NTC;NTC,"R target factor g2 is assigned to literal g4 sample names; selected model has 10 donor labels, with complete g1/NTC pairs for donors 2,3,5,6,7,8,9,10."
oe_ets2,RNA-seq/RNAseq_overexpression/RNAseq_overexpression_analysis.r,6992,4adccbffa1011c327b29d5e8d207741ca0d99ebfa4df640cf1325bc37a4cd231,1,1_ets2_d250ng,ets2_d250ng,1,true,oe_250_vs_rev_250;oe_500_vs_rev_500;oe_combined_vs_rev,ets2_250-rev_250;ets2_500-rev_500;ets2-rev,ets2_250;ets2_500;ets2,rev_250;rev_500;rev,Split-dose target is ets2_d250ng; 250ng dose. Eight complete paired donors are represented. The combined model includes dose as covariate.
