archive_region,gene_id,gene_name,ensembl_gene_version,biotype,strand,tss_grch38_1based,present_in_model_transcript_tss_universe
BACH2,ENSG00000112159,MDN1,14,protein_coding,-1,89819809,True
BACH2,ENSG00000112182,BACH2,18,protein_coding,-1,90296982,True
BACH2,ENSG00000118412,CASP8AP2,13,protein_coding,1,89829894,True
BACH2,ENSG00000135341,MAP3K7,21,protein_coding,-1,90587233,True
BACH2,ENSG00000135355,GJA10,4,protein_coding,1,89894469,True
BACH2,ENSG00000199630,Y_RNA,1,misc_RNA,1,89841329,True
BACH2,ENSG00000217653,PIMREGP3,1,processed_pseudogene,1,89814709,True
BACH2,ENSG00000218300,RPL22P14,1,processed_pseudogene,1,89876544,True
BACH2,ENSG00000218730,ENSG00000218730,1,processed_pseudogene,-1,90117105,True
BACH2,ENSG00000219240,ENSG00000219240,2,processed_pseudogene,1,89886156,True
BACH2,ENSG00000222078,RN7SKP110,1,misc_RNA,-1,90001506,True
BACH2,ENSG00000226455,ENSG00000226455,1,lncRNA,1,89950116,True
BACH2,ENSG00000252891,Y_RNA,1,misc_RNA,-1,89898392,True
BACH2,ENSG00000260271,ENSG00000260271,5,lncRNA,1,90295507,True
BACH2,ENSG00000266760,MIR4464,1,miRNA,1,90312742,True
BACH2,ENSG00000287789,ENSG00000287789,1,lncRNA,1,90073051,True
BACH2,ENSG00000294902,ENSG00000294902,1,lncRNA,1,90183819,False
BACH2,ENSG00000296783,ENSG00000296783,2,lncRNA,1,90370771,False
BACH2,ENSG00000299366,ENSG00000299366,1,lncRNA,1,90587090,False
BACH2,ENSG00000304803,ENSG00000304803,1,lncRNA,1,90610392,False
BACH2,ENSG00000307717,ENSG00000307717,1,lncRNA,1,90673040,False
BACH2,ENSG00000307732,ENSG00000307732,1,lncRNA,1,90671088,False
BACH2,ENSG00000307751,ENSG00000307751,1,lncRNA,-1,90711217,False
BACH2,ENSG00000307789,ENSG00000307789,1,lncRNA,1,90845053,False
BACH2,ENSG00000308957,ENSG00000308957,1,lncRNA,-1,90494540,False
BCL2L11,ENSG00000153093,ACOXL,23,protein_coding,1,110732524,True
BCL2L11,ENSG00000153094,BCL2L11,27,protein_coding,1,111119378,True
BCL2L11,ENSG00000169679,BUB1,17,protein_coding,-1,110678098,True
BCL2L11,ENSG00000172965,MIR4435-2HG,18,lncRNA,-1,111523376,True
BCL2L11,ENSG00000204581,ACOXL-AS1,3,lncRNA,-1,111116407,True
BCL2L11,ENSG00000223973,PAFAH1B1P2,3,transcribed_processed_pseudogene,1,111383752,True
BCL2L11,ENSG00000225744,ENSG00000225744,2,lncRNA,1,111607756,True
BCL2L11,ENSG00000226928,RPS14P4,1,processed_pseudogene,-1,111296046,True
BCL2L11,ENSG00000227992,ENSG00000227992,1,processed_pseudogene,-1,111206215,True
BCL2L11,ENSG00000229118,ENSG00000229118,2,lncRNA,1,111265272,True
BCL2L11,ENSG00000230499,ENSG00000230499,1,lncRNA,1,111195963,True
BCL2L11,ENSG00000235881,ENSG00000235881,2,lncRNA,-1,110716595,True
BCL2L11,ENSG00000236330,RPL5P9,1,processed_pseudogene,1,110967834,True
BCL2L11,ENSG00000237583,RPL34P8,1,processed_pseudogene,1,111675026,True
BCL2L11,ENSG00000240350,SOCAR,4,lncRNA,1,111491272,True
BCL2L11,ENSG00000266139,MIR4435-2,2,miRNA,-1,111321086,True
BCL2L11,ENSG00000270190,ENSG00000270190,1,lncRNA,-1,111267473,True
BCL2L11,ENSG00000271590,ENSG00000271590,1,lncRNA,-1,111212476,True
BCL2L11,ENSG00000271635,DBF4P2,1,processed_pseudogene,-1,111559937,True
BCL2L11,ENSG00000280878,ENSG00000280878,1,lncRNA,1,111468810,True
BCL2L11,ENSG00000285016,ENSG00000285016,2,lncRNA,-1,111699033,True
BCL2L11,ENSG00000293111,ENSG00000293111,1,lncRNA,1,111383806,True
BCL2L11,ENSG00000293584,ENSG00000293584,1,protein_coding,1,111121153,True
BCL2L11,ENSG00000294954,ENSG00000294954,1,lncRNA,-1,110732431,False
BCL2L11,ENSG00000295115,ENSG00000295115,1,lncRNA,1,111410417,False
BCL2L11,ENSG00000295159,ENSG00000295159,1,lncRNA,-1,111634179,False
BCL2L11,ENSG00000295185,ENSG00000295185,1,lncRNA,1,111177135,False
BCL2L11,ENSG00000295207,ENSG00000295207,1,lncRNA,1,111467016,False
BCL2L11,ENSG00000295251,ENSG00000295251,1,lncRNA,1,111288511,False
BCL2L11,ENSG00000295279,ENSG00000295279,1,lncRNA,-1,111659483,False
BCL2L11,ENSG00000295306,ENSG00000295306,1,lncRNA,1,111450707,False
BCL2L11,ENSG00000295327,ENSG00000295327,1,lncRNA,1,111534097,False
BCL2L11,ENSG00000304842,ENSG00000304842,1,lncRNA,1,111022967,False
IL2RA,ENSG00000057608,GDI2,20,protein_coding,-1,5842132,True
IL2RA,ENSG00000065675,PRKCQ,18,protein_coding,-1,6580855,True
IL2RA,ENSG00000108021,TASOR2,24,protein_coding,1,5684731,True
IL2RA,ENSG00000134452,FBH1,22,protein_coding,1,5890164,True
IL2RA,ENSG00000134453,RBM17,18,protein_coding,1,6086898,True
IL2RA,ENSG00000134460,IL2RA,19,protein_coding,-1,6062370,True
IL2RA,ENSG00000134461,ANKRD16,18,protein_coding,-1,5889994,True
IL2RA,ENSG00000134470,IL15RA,23,protein_coding,-1,5978187,True
IL2RA,ENSG00000170525,PFKFB3,23,protein_coding,1,6144885,True
IL2RA,ENSG00000196372,ASB13,15,protein_coding,-1,5666627,True
IL2RA,ENSG00000201581,RN7SKP78,1,misc_RNA,1,6149623,True
IL2RA,ENSG00000212743,LINC02656,2,lncRNA,1,6350316,True
