chromosome,start_0based,end_0based_exclusive,strand,track_name,assay,ontology_curie,reference,alternate,prediction_availability,delta_alt_minus_ref
chr21,42404058,42437487,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.00024349219165742397,0.00026142006390728056,both,1.792787224985659e-05
chr21,42404058,42437487,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0011915118666365743,0.0012425649911165237,both,5.1053124479949474e-05
chr21,42404058,42437541,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,7.180318789323792e-05,7.499857019865885e-05,both,3.195382305420935e-06
chr21,42404058,42437541,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00023696833522990346,0.00024549438967369497,both,8.526054443791509e-06
chr21,42404058,42437854,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,8.214305125875399e-05,8.452782640233636e-05,both,2.384775143582374e-06
chr21,42404058,42437854,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0002946854510810226,0.000303554319543764,both,8.868868462741375e-06
chr21,42404058,42437858,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,7.166806608438492e-05,7.296316471183673e-05,both,1.2950986274518073e-06
chr21,42404058,42437858,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00025330964126624167,0.0002585680049378425,both,5.258363671600819e-06
chr21,42404058,42439049,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,6.397451215889305e-05,6.50888541713357e-05,both,1.1143420124426484e-06
chr21,42404058,42439049,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00024545882479287684,0.0002500410773791373,both,4.582252586260438e-06
chr21,42404058,42441747,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,5.550618880079128e-05,5.5776588851585984e-05,both,2.7040005079470575e-07
chr21,42404058,42441747,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00020211073569953442,0.00020315028086770326,both,1.0395451681688428e-06
chr21,42404058,42442451,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.0004039163759443909,0.00041423726361244917,both,1.0320887668058276e-05
chr21,42404058,42442451,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0018660520436242223,0.001893039676360786,both,2.6987632736563683e-05
chr21,42404058,42443094,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.3816198993008584e-05,3.41905360983219e-05,both,3.74337105313316e-07
chr21,42404058,42443094,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00012862957373727113,0.0001297939888900146,both,1.1644151527434587e-06
chr21,42404058,42443153,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.444341564318165e-05,3.4834694815799594e-05,both,3.912791726179421e-07
chr21,42404058,42443153,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00013064411177765578,0.0001320595183642581,both,1.4154065866023302e-06
chr21,42404058,42443311,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,6.570696132257581e-05,6.616711470996961e-05,both,4.601533873938024e-07
chr21,42404058,42443311,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00032184002338908613,0.00032328188535757363,both,1.4418619684875011e-06
chr21,42404058,42444533,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,4.349122536950745e-05,4.333737160777673e-05,both,-1.5385376173071563e-07
chr21,42404058,42444533,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0002476804074831307,0.00024583080084994435,both,-1.8496066331863403e-06
chr21,42404058,42447056,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.0005511190975084901,0.0005319414776749909,both,-1.9177619833499193e-05
chr21,42404058,42447056,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0014625295298174024,0.0014183154562488198,both,-4.4214073568582535e-05
chr21,42404184,42437487,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.0001094036124413833,0.00011636265844572335,both,6.959046004340053e-06
chr21,42404184,42437487,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00041544580017216504,0.00043203041423112154,both,1.6584614058956504e-05
chr21,42404184,42437541,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,4.5961380237713456e-05,4.750812877318822e-05,both,1.5467485354747623e-06
chr21,42404184,42437541,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00015777871885802597,0.0001618698879610747,both,4.091169103048742e-06
chr21,42404184,42437854,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,5.260813850327395e-05,5.3710111387772486e-05,both,1.1019728844985366e-06
chr21,42404184,42437854,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00017889637092594057,0.00018183985957875848,both,2.943488652817905e-06
chr21,42404184,42437858,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,4.736020491691306e-05,4.800513124791905e-05,both,6.449263310059905e-07
chr21,42404184,42437858,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00016202215920202434,0.0001637837412999943,both,1.7615820979699492e-06
chr21,42404184,42439049,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,4.6607521653641015e-05,4.734792310046032e-05,both,7.404014468193054e-07
chr21,42404184,42439049,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00016675092047080398,0.00016893209249246866,both,2.181172021664679e-06
chr21,42404184,42441747,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,4.367651854408905e-05,4.403418643050827e-05,both,3.5766788641922176e-07
chr21,42404184,42441747,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00015340352547354996,0.00015381205594167113,both,4.08530468121171e-07
chr21,42404184,42442451,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.00016038700414355844,0.00016485867672599852,both,4.471672582440078e-06
chr21,42404184,42442451,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0005253372364677489,0.0005347718833945692,both,9.434646926820278e-06
chr21,42404184,42443094,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.3913016523001716e-05,3.418805863475427e-05,both,2.750421117525548e-07
chr21,42404184,42443094,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00012564576172735542,0.00012609382974915206,both,4.4806802179664373e-07
chr21,42404184,42443153,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,3.2152813218999654e-05,3.243448009015992e-05,both,2.816668711602688e-07
chr21,42404184,42443153,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00012142416380811483,0.00012199298362247646,both,5.688198143616319e-07
chr21,42404184,42443311,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,5.5551463447045535e-05,5.613812754745595e-05,both,5.866641004104167e-07
chr21,42404184,42443311,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.0002148405328625813,0.00021579528402071446,both,9.547511581331491e-07
chr21,42404184,42444533,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,5.7024484704015777e-05,5.702356429537758e-05,both,-9.204086381942034e-10
chr21,42404184,42444533,+,junction_CL:0000624 total RNA-seq,total RNA-seq,CL:0000624,0.00023343710927292705,0.00023207123740576208,both,-1.3658718671649694e-06
chr21,42404184,42447056,+,junction_CL:0000624 polyA plus RNA-seq,polyA plus RNA-seq,CL:0000624,0.00014170349459163845,0.0001406607625540346,both,-1.0427320376038551e-06
