step_id,phase,confidence,evidence_member,evidence_line_number,evidence_text_original,inference,limitation
input_count_matrix,input,high_for_intended_input,RNA-seq/RNAseq_MEKi/MEKi_treated_TPP_analysis.r,10,"counts=data.matrix(read.table(file=""raw_counts.txt"",sep='\t',row.names=1,header=T))",The intended input is a nine-column raw_counts.txt file in the MEKi analysis folder.,The public MEKi folder has no raw_counts.txt; no count values or donor fits are recovered.
sample_names,sample_annotation,high,RNA-seq/RNAseq_MEKi/MEKi_treated_TPP_analysis.r,11,"names=paste0(rep(c(""s1"",""s2"",""s3""),each=3),c(""_100"",""_500"",""_ctrl""))","The intended nine samples are three donors with 100 nM, 500 nM and control labels.",The code labels are preserved as source metadata; biological donor identity is unavailable in the public folder.
donor_and_drug_annotation,sample_annotation,high_for_intended_code,RNA-seq/RNAseq_MEKi/MEKi_treated_TPP_analysis.r,23,"dge$samples$donor=rep(c(""s1"",""s2"",""s3""),each=3)",The intended DGEList metadata assigns donor s1/s2/s3 and drug levels 100nM/500nM/ctrl in three-sample blocks.,"This identifies the model labels, not independent donor provenance or sample QC in the inaccessible matrix."
expression_filter,filtering,high_for_intended_code,RNA-seq/RNAseq_MEKi/MEKi_treated_TPP_analysis.r,15,eset.expressed=rowSums(cpm(eset)>0.5)>=9,Genes with CPM greater than 0.5 in all nine samples were retained before DGEList normalization.,"The number of genes before/after this filter cannot be audited without raw counts; topTable requests 12,801 rows."
library_normalization,normalization,high_for_intended_code,RNA-seq/RNAseq_MEKi/MEKi_treated_TPP_analysis.r,22,dge=calcNormFactors(dge),edgeR calcNormFactors was applied to the filtered DGEList.,Normalization factors and their version-specific implementation cannot be recomputed without counts and the R package environment.
donor_aware_design,design,high_for_intended_code,RNA-seq/RNAseq_MEKi/MEKi_treated_TPP_analysis.r,25,design=model.matrix(~0+factor(dge$samples$drug)+factor(dge$samples$donor)),The intended limma design has separate drug levels and donor covariates without an intercept.,"This is a code design, not evidence that the unavailable public matrix had exactly these columns or QC after filtering."
contrasts,contrast,high_for_intended_code,RNA-seq/RNAseq_MEKi/MEKi_treated_TPP_analysis.r,28,"contrasts=makeContrasts(MEK_100nM=MEK_100-ctrl,MEK_500nM=MEK_500-ctrl, levels=colnames(design))",The code intends 100 nM minus control and 500 nM minus control contrasts.,"The saved rank files are read after this step, but the release does not expose an active export linking each file to its contrast."
voom,model_fit,high_for_intended_code,RNA-seq/RNAseq_MEKi/MEKi_treated_TPP_analysis.r,29,"voom=voom(dge,design,plot=T)",The filtered DGEList and donor-aware design are passed to voom.,Exact mean-variance trend and weights cannot be recovered without counts and the R package environment.
lm_fit,model_fit,high_for_intended_code,RNA-seq/RNAseq_MEKi/MEKi_treated_TPP_analysis.r,30,"fit=lmFit(voom,design)",The voom-transformed expression is fitted with limma lmFit.,Coefficient and residual values are unavailable without the count matrix.
contrasts_fit,model_fit,high_for_intended_code,RNA-seq/RNAseq_MEKi/MEKi_treated_TPP_analysis.r,31,"fit2=contrasts.fit(fit,contrasts)",The two drug-control contrasts are applied to the fitted model.,The resulting coefficients and standard errors are not in the public release.
e_bayes,model_fit,high_for_intended_code,RNA-seq/RNAseq_MEKi/MEKi_treated_TPP_analysis.r,32,fit3=eBayes(fit2),limma empirical-Bayes moderation is applied before topTable extraction.,"A moderated t statistic is coefficient divided by a moderated standard error; it cannot recover counts, logFC or variance components by itself."
top_table_statistic,statistic_extraction,high_for_intended_code,RNA-seq/RNAseq_MEKi/MEKi_treated_TPP_analysis.r,34,"MEK_100nM.res=topTable(fit3,number=12801,p.value=1,lfc=0,adjust.method=""BH"",coef=1)","The intended output is a BH-adjusted limma topTable with lfc=0, p.value=1 and 12,801 requested rows per coefficient.","The public rank vectors contain 12,095 rows; absent counts and code that generated the rank files prevent identifying the 706-row difference."
symbol_mapping,identifier_mapping,low_to_medium,RNA-seq/RNAseq_CRISPR/TPP_CRISPR_RNAseq_analysis.r,41,"G_list = getBM(filters = ""ensembl_gene_id"", attributes = c(""ensembl_gene_id"", ""hgnc_symbol""),values=ensg,mart= mart)",Analogue CRISPR code maps Ensembl row names to HGNC symbols through biomaRt; the MEKi code itself has no mapping call and its rank filename says SYMBOL.,"Mapping release, one-to-many handling, empty-symbol filtering and any collapse rule for the MEKi rank export are not recoverable."
symbol_collapse,identifier_mapping,low,RNA-seq/RNAseq_MEKi/MEKi_treated_TPP_analysis.r,44,names(pd100_num)=rownames(pd100),The MEKi code assigns the symbols already present in the rank CSV as vector names; it does not show how Ensembl rows were mapped or collapsed before serialization.,"One-to-many symbol mappings, duplicate handling and whether a symbol was selected by maximum statistic, first row or another rule are non-identifiable from the rank vector."
rank_serialization,rank_consumption,medium,RNA-seq/RNAseq_MEKi/MEKi_treated_TPP_analysis.r,42,"pd100=read.csv(file=""PD_0.1_MEK.resSYMBOL.rank.csv"",header=F,row.names=1)","The released rank CSV is consumed as a headerless two-column symbol/statistic vector, then named by row names for fGSEA.","The generating write step is absent and the active export linkage cannot be certified; sorted order, tie handling, precision and symbol collapse are observed properties, not recovered production rules."
fgsea_parameters,pathway_check,medium_to_high,RNA-seq/RNAseq_MEKi/MEKi_treated_TPP_analysis.r,50,"fgsea_pd500=fgsea(pathways=lists, stats=pd500_num, eps=0.0, minSize=15, maxSize=500)","The code specifies fgsea with eps=0, minSize=15 and maxSize=500; the default gseaParam=1 is compatible with the signed ES check.","This is an ES compatibility test, not recovery of fgsea's permutation/null calculation or the exact package version."
