evidence_id,source_accession,scope,field,observed_value,interpretation,status
series_overall_design,GSE84161,series metadata,Series_overall_design,"Human monocytes will be purified from buffy coats (total of 5 donors) using a negative selection kit (Miltenyi 130-091-153) and plated at 1 x 10^6/ml in RPMI + 10% FBS + 100 ng/ml rhM-CSF. The next day, media will be aspirated and substituted with low-serum media (RPMI + 0.5% FBS). Tpl-2 and MEK inhibitors will be added to a subset of the plates at concentrations of 2.8 uM and 0.31 uM, respectively (the amounts required to fully inhibit the expression of several cytokines based on our cell-based assays), and allowed to be taken up by the cells for 1 hr. Then, 10 ng/ml of LPS will be added to a subset of the plates to activate the cells. After 6 hrs, RNA will be harvested from all of the plates. Supernatants will be saved and analyzed by ELISA to confirm cell activity/cytokine expression.",Source states five total buffy-coat donors and describes the six-arm experiment.,source_preserved
sample_processing_rma,GSE84161,sample metadata,Sample_data_processing,"Raw microarray data were processed using the R programming language (http://www.r-project.org) and packages from the Bioconductor project (http://www.bioconductor.org). Monocyte microarray data were normalized using the RMA method. Probe sets were filtered; selecting a single probe set per Entrez gene, retaining the probe set that showed the highest variance. Probe sets that didn’t map to an Entrez gene were removed from the analysis. Differential expression analysis was performed using the limma package. The linear model used to identify differential gene expression included terms for LPS stimulation and the small molecule treatment cohorts, and included the cell donor as a covariate. For visualization using heat maps, microarray data were further normalized to remove the donor-specific differences, by taking the residuals of linear regression of a model that only included the donor. P-values were adjusted for multiple testing using the Benjamini-Hochberg method. Genes were considered differentially expressed if they showed a minimum 1.5-fold change with an adjusted p-value < 0.01.","Source describes RMA, probe filtering, highest-variance single probe per Entrez and a donor covariate; it does not define the variance-estimation sample scope.",source_preserved_scope_ambiguous
sample_processing_heatmap,GSE84161,sample metadata,heatmap_residual_normalization_text,", microarray data were further normalized to remove the donor-specific differences, by taking the residuals of linear regression of a model that only included the donor.",The source describes additional donor-residual normalization for heat-map visualization; its applicability to the deposited VALUE table is not assumed.,source_preserved_not_assumed
processed_header,GSE84161,all 30 sample tables,ID_REF/VALUE header,ID_REF|VALUE,ID_REF is an Affymetrix probe-set identifier and VALUE is labeled RMA normalized signal intensity.,identifier_header_only
processed_subset_dimensions,GSE84161,all 30 sample tables,processed table rows,19944 rows; 19944 unique IDs; 0 duplicate IDs; all 30 ordered ID lists identical,"The deposited table is a shared 19,944-probe subset rather than the 54,675-probe GPL570 universe.",structural_identifier_check_pass
processed_annotation_snapshot,GSE84161/GPL570,"processed 19,944 probes mapped through current GPL snapshot",ENTREZ_GENE_ID annotation categories,"{""blank_or_unresolved_entrez_fields"": 267, ""entrez_ids_assigned_to_more_than_one_probe"": 167, ""genes_with_multiple_single_id_probes"": 35, ""max_probe_assignments_per_entrez"": 4, ""multiple_entrez_fields"": 414, ""probe_assignments_in_multi_probe_entrez_groups"": 340, ""probe_rows_considered"": 19944, ""single_entrez_fields"": 19263, ""total_entrez_assignments"": 20174, ""unique_entrez_assignments"": 20001, ""unique_genes_from_single_id_probes"": 19228}",Multiple Entrez annotations use the source delimiter ///; whole-field uniqueness is not treated as one-to-one mapping.,current_snapshot_not_historical_proof
full_gpl_dimensions,GPL570,full platform table,GPL570 platform table,54675 rows; 54675 unique probe IDs; 0 duplicate IDs,This is the full current GPL570 annotation snapshot and must remain separate from the processed post-selection table.,identifier_annotation_only
full_gpl_annotation_columns,GPL570,full platform table,mapping columns and dates,"{""annotation_date_counts"": {""Oct 6, 2014"": 54675}, ""columns"": [""Annotation Date"", ""Representative Public ID"", ""Gene Symbol"", ""ENTREZ_GENE_ID"", ""RefSeq Transcript ID""], ""full_annotation"": {""blank_or_unresolved_entrez_fields"": 10541, ""entrez_ids_assigned_to_more_than_one_probe"": 12259, ""genes_with_multiple_single_id_probes"": 10694, ""max_probe_assignments_per_entrez"": 37, ""multiple_entrez_fields"": 2300, ""probe_assignments_in_multi_probe_entrez_groups"": 37711, ""probe_rows_considered"": 54675, ""single_entrez_fields"": 41834, ""total_entrez_assignments"": 48052, ""unique_entrez_assignments"": 22600, ""unique_genes_from_single_id_probes"": 20486}, ""platform_last_update_date"": ""Dec 14 2020""}","Current GPL570 annotation is dated Oct 6, 2014 in the table and the platform record was last updated Dec 14, 2020; this may differ from the historical analysis snapshot.",source_preserved_reproducibility_limit
cel_availability,GSE84161,30 monocyte samples,raw CEL routes,series archive ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84161/suppl/GSE84161_RAW.tar; 30/30 sample-level CEL URLs advertised,Public raw-array routes are advertised for a future array-specific freeze; this audit did not download or inspect CEL contents.,availability_metadata_only
timing_specificity_difference,GSE84161,series versus sample protocol,drug pretreatment duration,Series design: 1 hr; sample treatment protocol: at least 30 min,Preserve both source statements; the one-hour design statement and the at-least-30-minute sample protocol are compatible but differ in specificity.,source_preserved_specificity_difference
donor_mapping_ambiguity,GSE84161,30 monocyte samples,donor labels,Series states total of 5 donors; sample records expose replicate number 1-5 and no donor identifier,Replicate groups are retained as public pseudonymous grouping labels only; donor identity is not inferred from expression or numbering.,donor_pairing_not_fully_auditable
