experiment,file_accession,object_kind,level,category,path,detail
ENCSR000ASJ,ENCFF560PQQ,experiment,INTERNAL_ACTION,missing derived_from,/files/ENCFF000CEH/,"derived_from is a list of files that were used to create a given file; for example, fastq file(s) will appear in the derived_from list of an alignments file. Processed file {ENCFF000CEH|/files/ENCFF000CEH/} is missing the requisite file specification in its derived_from list."
ENCSR000ASJ,ENCFF560PQQ,experiment,INTERNAL_ACTION,missing derived_from,/files/ENCFF072KCY/,"derived_from is a list of files that were used to create a given file; for example, fastq file(s) will appear in the derived_from list of an alignments file. Processed file {ENCFF072KCY|/files/ENCFF072KCY/} is missing the requisite file specification in its derived_from list."
ENCSR000ASJ,ENCFF560PQQ,experiment,INTERNAL_ACTION,mismatched status,/experiments/ENCSR000ASJ/,Released experiment {ENCSR000ASJ|/experiments/ENCSR000ASJ/} has archived subobject analysis {ENCAN828BXV|/analyses/ENCAN828BXV/}
ENCSR000ASJ,ENCFF560PQQ,experiment,INTERNAL_ACTION,mismatched status,/experiments/ENCSR000ASJ/,Released experiment {ENCSR000ASJ|/experiments/ENCSR000ASJ/} has archived subobject analysis {ENCAN389VYW|/analyses/ENCAN389VYW/}
ENCSR000ASJ,ENCFF560PQQ,experiment,INTERNAL_ACTION,mismatched status,/experiments/ENCSR000ASJ/,Released experiment {ENCSR000ASJ|/experiments/ENCSR000ASJ/} has archived subobject analysis {ENCAN397WPV|/analyses/ENCAN397WPV/}
ENCSR000ASJ,ENCFF560PQQ,experiment,INTERNAL_ACTION,mismatched status,/experiments/ENCSR000ASJ/,Released experiment {ENCSR000ASJ|/experiments/ENCSR000ASJ/} has archived subobject analysis {ENCAN990KWJ|/analyses/ENCAN990KWJ/}
ENCSR000ASJ,ENCFF560PQQ,experiment,INTERNAL_ACTION,mismatched status,/analyses/ENCAN976LOF/,Released analysis {ENCAN976LOF|/analyses/ENCAN976LOF/} has in progress subobject quality standard {encode4-histone-chip|/quality-standards/encode4-histone-chip/}
ENCSR000ASJ,ENCFF560PQQ,experiment,INTERNAL_ACTION,mismatched status,/analyses/ENCAN976LOF/,Released analysis {ENCAN976LOF|/analyses/ENCAN976LOF/} has in progress subobject document {bf9eac54-6e38-4afc-a836-d8b6bf9571ff|/documents/bf9eac54-6e38-4afc-a836-d8b6bf9571ff/}
ENCSR000ASJ,ENCFF560PQQ,experiment,INTERNAL_ACTION,missing derived_from,/files/ENCFF001TAO/,"derived_from is a list of files that were used to create a given file; for example, fastq file(s) will appear in the derived_from list of an alignments file. Processed file {ENCFF001TAO|/files/ENCFF001TAO/} is missing the requisite file specification in its derived_from list."
ENCSR000ASJ,ENCFF560PQQ,experiment,WARNING,inconsistent platforms,/experiments/ENCSR000ASJ/,possible_controls is a list of experiment(s) that can serve as analytical controls for a given experiment. Experiment {ENCSR000AUU|/experiments/ENCSR000AUU/} found in possible_controls list of this experiment contains data produced on platform Illumina HiSeq 2000/2500 which is not compatible with platform Illumina Genome Analyzer used in this experiment.
ENCSR000ASJ,ENCFF560PQQ,experiment,WARNING,low read length,/experiments/ENCSR000ASJ/,Fastq file {ENCFF000CEN|/files/ENCFF000CEN/} has read length of 36bp. For mapping accuracy ENCODE standards recommend that sequencing reads should be at least 50bp long. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/} )
ENCSR000ASJ,ENCFF560PQQ,experiment,WARNING,low read length,/experiments/ENCSR000ASJ/,Fastq file {ENCFF000CEO|/files/ENCFF000CEO/} has read length of 36bp. For mapping accuracy ENCODE standards recommend that sequencing reads should be at least 50bp long. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/} )
ENCSR000ASJ,ENCFF560PQQ,experiment,WARNING,low read depth,/analyses/ENCAN976LOF/,"Processed alignments file {ENCFF872QFO|/files/ENCFF872QFO/} processed by ChIP-seq ENCODE4 v1.5.1 GRCh38 pipeline has 18430566 usable fragments. The minimum ENCODE standard for each replicate in a ChIP-seq experiment targeting H3K27ac-human and investigated as a narrow histone mark is 10 million usable fragments. The recommended value is > 20 million, but > 10 million is acceptable. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/})"
ENCSR000ASJ,ENCFF560PQQ,experiment,WARNING,low read depth,/analyses/ENCAN976LOF/,"Processed alignments file {ENCFF014BCD|/files/ENCFF014BCD/} processed by ChIP-seq ENCODE4 v1.5.1 GRCh38 pipeline has 16742123 usable fragments. The minimum ENCODE standard for each replicate in a ChIP-seq experiment targeting H3K27ac-human and investigated as a narrow histone mark is 10 million usable fragments. The recommended value is > 20 million, but > 10 million is acceptable. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/})"
ENCSR000ASJ,ENCFF560PQQ,selected_file,INTERNAL_ACTION,mismatched status,/analyses/ENCAN389VYW/,Archived analysis {ENCAN389VYW|/analyses/ENCAN389VYW/} has in progress subobject quality standard {encode3-histone-chip|/quality-standards/encode3-histone-chip/}
ENCSR000ASJ,ENCFF560PQQ,selected_file,WARNING,low read depth,/analyses/ENCAN389VYW/,"Processed alignments file {ENCFF329AXT|/files/ENCFF329AXT/} processed by ChIP-seq ENCODE3 GRCh38 pipeline has 15897489 usable fragments. The minimum ENCODE standard for each replicate in a ChIP-seq experiment targeting H3K27ac-human and investigated as a narrow histone mark is 10 million usable fragments. The recommended value is > 20 million, but > 10 million is acceptable. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/})"
ENCSR000ASJ,ENCFF560PQQ,selected_file,WARNING,low read depth,/analyses/ENCAN389VYW/,"Processed alignments file {ENCFF835ZFV|/files/ENCFF835ZFV/} processed by ChIP-seq ENCODE3 GRCh38 pipeline has 17488569 usable fragments. The minimum ENCODE standard for each replicate in a ChIP-seq experiment targeting H3K27ac-human and investigated as a narrow histone mark is 10 million usable fragments. The recommended value is > 20 million, but > 10 million is acceptable. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/})"
ENCSR000ASM,ENCFF493TKQ,experiment,INTERNAL_ACTION,missing derived_from,/files/ENCFF000CDD/,"derived_from is a list of files that were used to create a given file; for example, fastq file(s) will appear in the derived_from list of an alignments file. Processed file {ENCFF000CDD|/files/ENCFF000CDD/} is missing the requisite file specification in its derived_from list."
ENCSR000ASM,ENCFF493TKQ,experiment,INTERNAL_ACTION,mismatched status,/experiments/ENCSR000ASM/,Released experiment {ENCSR000ASM|/experiments/ENCSR000ASM/} has archived subobject analysis {ENCAN303ZAM|/analyses/ENCAN303ZAM/}
ENCSR000ASM,ENCFF493TKQ,experiment,INTERNAL_ACTION,mismatched status,/experiments/ENCSR000ASM/,Released experiment {ENCSR000ASM|/experiments/ENCSR000ASM/} has archived subobject analysis {ENCAN796KTG|/analyses/ENCAN796KTG/}
ENCSR000ASM,ENCFF493TKQ,experiment,INTERNAL_ACTION,mismatched status,/experiments/ENCSR000ASM/,Released experiment {ENCSR000ASM|/experiments/ENCSR000ASM/} has archived subobject analysis {ENCAN869MLC|/analyses/ENCAN869MLC/}
ENCSR000ASM,ENCFF493TKQ,experiment,INTERNAL_ACTION,mismatched status,/experiments/ENCSR000ASM/,Released experiment {ENCSR000ASM|/experiments/ENCSR000ASM/} has archived subobject analysis {ENCAN185YKQ|/analyses/ENCAN185YKQ/}
ENCSR000ASM,ENCFF493TKQ,experiment,INTERNAL_ACTION,mismatched status,/analyses/ENCAN071FJM/,Released analysis {ENCAN071FJM|/analyses/ENCAN071FJM/} has in progress subobject quality standard {encode4-histone-chip|/quality-standards/encode4-histone-chip/}
ENCSR000ASM,ENCFF493TKQ,experiment,INTERNAL_ACTION,mismatched status,/analyses/ENCAN071FJM/,Released analysis {ENCAN071FJM|/analyses/ENCAN071FJM/} has in progress subobject document {1ead4b20-0bc1-4631-ab68-df0bd834d678|/documents/1ead4b20-0bc1-4631-ab68-df0bd834d678/}
ENCSR000ASM,ENCFF493TKQ,experiment,INTERNAL_ACTION,missing derived_from,/files/ENCFF894FTZ/,"derived_from is a list of files that were used to create a given file; for example, fastq file(s) will appear in the derived_from list of an alignments file. Processed file {ENCFF894FTZ|/files/ENCFF894FTZ/} is missing the requisite file specification in its derived_from list."
ENCSR000ASM,ENCFF493TKQ,experiment,INTERNAL_ACTION,missing derived_from,/files/ENCFF001TAJ/,"derived_from is a list of files that were used to create a given file; for example, fastq file(s) will appear in the derived_from list of an alignments file. Processed file {ENCFF001TAJ|/files/ENCFF001TAJ/} is missing the requisite file specification in its derived_from list."
ENCSR000ASM,ENCFF493TKQ,experiment,NOT_COMPLIANT,insufficient read depth,/analyses/ENCAN071FJM/,"Processed alignments file {ENCFF141KHX|/files/ENCFF141KHX/} processed by ChIP-seq ENCODE4 v1.5.1 GRCh38 pipeline has 9554225 usable fragments. The minimum ENCODE standard for each replicate in a ChIP-seq experiment targeting H3K4me1-human and investigated as a broad histone mark is 20 million usable fragments. The recommended value is > 45 million, but > 35 million is acceptable. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/})"
ENCSR000ASM,ENCFF493TKQ,experiment,NOT_COMPLIANT,insufficient read depth,/analyses/ENCAN071FJM/,"Processed alignments file {ENCFF573MNS|/files/ENCFF573MNS/} processed by ChIP-seq ENCODE4 v1.5.1 GRCh38 pipeline has 10432911 usable fragments. The minimum ENCODE standard for each replicate in a ChIP-seq experiment targeting H3K4me1-human and investigated as a broad histone mark is 20 million usable fragments. The recommended value is > 45 million, but > 35 million is acceptable. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/})"
ENCSR000ASM,ENCFF493TKQ,experiment,WARNING,inconsistent platforms,/experiments/ENCSR000ASM/,possible_controls is a list of experiment(s) that can serve as analytical controls for a given experiment. Experiment {ENCSR000AUU|/experiments/ENCSR000AUU/} found in possible_controls list of this experiment contains data produced on platform Illumina HiSeq 2000/2500 which is not compatible with platform Illumina Genome Analyzer used in this experiment.
ENCSR000ASM,ENCFF493TKQ,experiment,WARNING,control low read depth,/experiments/ENCSR000ASM/,"Control alignment files (file {ENCFF075YNC|/files/ENCFF075YNC/} from control experiment {ENCSR000AUU|/experiments/ENCSR000AUU/} has 28148866 usable fragments;file {ENCFF865NTT|/files/ENCFF865NTT/} from control experiment {ENCSR000AUU|/experiments/ENCSR000AUU/} has 8705070 usable fragments) mapped to GRCh38 assembly have in aggregate 36853936 usable fragments.  The minimum ENCODE standard for a control of ChIP-seq assays targeting broad histone mark H3K4me1-human is 35 million usable fragments, the recommended number of usable fragments is > 45 million. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/} )"
ENCSR000ASM,ENCFF493TKQ,experiment,WARNING,control low read depth,/experiments/ENCSR000ASM/,"Control alignment files (file {ENCFF865NTT|/files/ENCFF865NTT/} from control experiment {ENCSR000AUU|/experiments/ENCSR000AUU/} has 8705070 usable fragments;file {ENCFF075YNC|/files/ENCFF075YNC/} from control experiment {ENCSR000AUU|/experiments/ENCSR000AUU/} has 28148866 usable fragments) mapped to GRCh38 assembly have in aggregate 36853936 usable fragments.  The minimum ENCODE standard for a control of ChIP-seq assays targeting broad histone mark H3K4me1-human is 35 million usable fragments, the recommended number of usable fragments is > 45 million. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/} )"
ENCSR000ASM,ENCFF493TKQ,experiment,WARNING,control low read depth,/experiments/ENCSR000ASM/,"Control alignment files (file {ENCFF730IJS|/files/ENCFF730IJS/} from control experiment {ENCSR000AUU|/experiments/ENCSR000AUU/} has 28156794 usable fragments;file {ENCFF572RFU|/files/ENCFF572RFU/} from control experiment {ENCSR000AUU|/experiments/ENCSR000AUU/} has 8708827 usable fragments) mapped to hg19 assembly have in aggregate 36865621 usable fragments.  The minimum ENCODE standard for a control of ChIP-seq assays targeting broad histone mark H3K4me1-human is 35 million usable fragments, the recommended number of usable fragments is > 45 million. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/} )"
ENCSR000ASM,ENCFF493TKQ,experiment,WARNING,control low read depth,/experiments/ENCSR000ASM/,"Control alignment files (file {ENCFF730IJS|/files/ENCFF730IJS/} from control experiment {ENCSR000AUU|/experiments/ENCSR000AUU/} has 28156794 usable fragments;file {ENCFF572RFU|/files/ENCFF572RFU/} from control experiment {ENCSR000AUU|/experiments/ENCSR000AUU/} has 8708827 usable fragments) mapped to hg19 assembly have in aggregate 36865621 usable fragments.  The minimum ENCODE standard for a control of ChIP-seq assays targeting broad histone mark H3K4me1-human is 35 million usable fragments, the recommended number of usable fragments is > 45 million. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/} )"
ENCSR000ASM,ENCFF493TKQ,experiment,WARNING,low read length,/experiments/ENCSR000ASM/,Fastq file {ENCFF000CDK|/files/ENCFF000CDK/} has read length of 36bp. For mapping accuracy ENCODE standards recommend that sequencing reads should be at least 50bp long. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/} )
ENCSR000ASM,ENCFF493TKQ,experiment,WARNING,low read length,/experiments/ENCSR000ASM/,Fastq file {ENCFF000CDL|/files/ENCFF000CDL/} has read length of 36bp. For mapping accuracy ENCODE standards recommend that sequencing reads should be at least 50bp long. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/} )
ENCSR000ASM,ENCFF493TKQ,experiment,WARNING,moderate library complexity,/analyses/ENCAN071FJM/,"NRF (Non Redundant Fraction) is equal to the result of the division of the number of reads after duplicates removal by the total number of reads. An NRF value in the range 0 - 0.5 is poor complexity, 0.5 - 0.8 is moderate complexity, and > 0.8 high complexity. NRF value > 0.8 is recommended, but > 0.5 is acceptable. ENCODE processed alignments file {ENCFF141KHX|/files/ENCFF141KHX/} processed by ChIP-seq ENCODE4 v1.5.1 GRCh38 pipeline was generated from a library with NRF value of 0.65."
ENCSR000ASM,ENCFF493TKQ,experiment,WARNING,mild to moderate bottlenecking,/analyses/ENCAN071FJM/,"PBC1 (PCR Bottlenecking Coefficient 1, M1/M_distinct) is the ratio of the number of genomic locations where exactly one read maps uniquely (M1) to the number of genomic locations where some reads map (M_distinct). A PBC1 value in the range 0 - 0.5 is severe bottlenecking, 0.5 - 0.8 is moderate bottlenecking, 0.8 - 0.9 is mild bottlenecking, and > 0.9 is no bottlenecking. PBC1 value > 0.9 is recommended, but > 0.8 is acceptable. ENCODE processed alignments file {ENCFF141KHX|/files/ENCFF141KHX/} processed by ChIP-seq ENCODE4 v1.5.1 GRCh38 pipeline was generated from a library with PBC1 value of 0.62."
ENCSR000ASM,ENCFF493TKQ,experiment,WARNING,mild to moderate bottlenecking,/analyses/ENCAN071FJM/,"PBC2 (PCR Bottlenecking Coefficient 2, M1/M2) is the ratio of the number of genomic locations where exactly one read maps uniquely (M1) to the number of genomic locations where two reads map uniquely (M2). A PBC2 value in the range 0 - 1 is severe bottlenecking, 1 - 3 is moderate bottlenecking, 3 - 10 is mild bottlenecking, > 10 is no bottlenecking. PBC2 value > 10 is recommended, but > 3 is acceptable. ENCODE processed alignments file {ENCFF141KHX|/files/ENCFF141KHX/} processed by ChIP-seq ENCODE4 v1.5.1 GRCh38 pipeline was generated from a library with PBC2 value of 2.45."
ENCSR000ASM,ENCFF493TKQ,selected_file,INTERNAL_ACTION,mismatched status,/analyses/ENCAN796KTG/,Archived analysis {ENCAN796KTG|/analyses/ENCAN796KTG/} has in progress subobject quality standard {encode3-histone-chip|/quality-standards/encode3-histone-chip/}
ENCSR000ASM,ENCFF493TKQ,selected_file,NOT_COMPLIANT,insufficient read depth,/analyses/ENCAN796KTG/,"Processed alignments file {ENCFF632HSE|/files/ENCFF632HSE/} processed by ChIP-seq ENCODE3 GRCh38 pipeline has 9888351 usable fragments. The minimum ENCODE standard for each replicate in a ChIP-seq experiment targeting H3K4me1-human and investigated as a broad histone mark is 20 million usable fragments. The recommended value is > 45 million, but > 35 million is acceptable. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/})"
ENCSR000ASM,ENCFF493TKQ,selected_file,NOT_COMPLIANT,insufficient read depth,/analyses/ENCAN796KTG/,"Processed alignments file {ENCFF272HBX|/files/ENCFF272HBX/} processed by ChIP-seq ENCODE3 GRCh38 pipeline has 9056249 usable fragments. The minimum ENCODE standard for each replicate in a ChIP-seq experiment targeting H3K4me1-human and investigated as a broad histone mark is 20 million usable fragments. The recommended value is > 45 million, but > 35 million is acceptable. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/})"
ENCSR000ASM,ENCFF493TKQ,selected_file,WARNING,moderate library complexity,/analyses/ENCAN796KTG/,"NRF (Non Redundant Fraction) is equal to the result of the division of the number of reads after duplicates removal by the total number of reads. An NRF value in the range 0 - 0.5 is poor complexity, 0.5 - 0.8 is moderate complexity, and > 0.8 high complexity. NRF value > 0.8 is recommended, but > 0.5 is acceptable. ENCODE processed alignments file {ENCFF272HBX|/files/ENCFF272HBX/} processed by ChIP-seq ENCODE3 GRCh38 pipeline was generated from a library with NRF value of 0.66."
ENCSR000ASM,ENCFF493TKQ,selected_file,WARNING,mild to moderate bottlenecking,/analyses/ENCAN796KTG/,"PBC1 (PCR Bottlenecking Coefficient 1, M1/M_distinct) is the ratio of the number of genomic locations where exactly one read maps uniquely (M1) to the number of genomic locations where some reads map (M_distinct). A PBC1 value in the range 0 - 0.5 is severe bottlenecking, 0.5 - 0.8 is moderate bottlenecking, 0.8 - 0.9 is mild bottlenecking, and > 0.9 is no bottlenecking. PBC1 value > 0.9 is recommended, but > 0.8 is acceptable. ENCODE processed alignments file {ENCFF272HBX|/files/ENCFF272HBX/} processed by ChIP-seq ENCODE3 GRCh38 pipeline was generated from a library with PBC1 value of 0.64."
ENCSR000ASM,ENCFF493TKQ,selected_file,WARNING,mild to moderate bottlenecking,/analyses/ENCAN796KTG/,"PBC2 (PCR Bottlenecking Coefficient 2, M1/M2) is the ratio of the number of genomic locations where exactly one read maps uniquely (M1) to the number of genomic locations where two reads map uniquely (M2). A PBC2 value in the range 0 - 1 is severe bottlenecking, 1 - 3 is moderate bottlenecking, 3 - 10 is mild bottlenecking, > 10 is no bottlenecking. PBC2 value > 10 is recommended, but > 3 is acceptable. ENCODE processed alignments file {ENCFF272HBX|/files/ENCFF272HBX/} processed by ChIP-seq ENCODE3 GRCh38 pipeline was generated from a library with PBC2 value of 2.60."
ENCSR000ASN,ENCFF112PES,experiment,INTERNAL_ACTION,missing derived_from,/files/ENCFF000CDP/,"derived_from is a list of files that were used to create a given file; for example, fastq file(s) will appear in the derived_from list of an alignments file. Processed file {ENCFF000CDP|/files/ENCFF000CDP/} is missing the requisite file specification in its derived_from list."
ENCSR000ASN,ENCFF112PES,experiment,INTERNAL_ACTION,missing derived_from,/files/ENCFF504ZTG/,"derived_from is a list of files that were used to create a given file; for example, fastq file(s) will appear in the derived_from list of an alignments file. Processed file {ENCFF504ZTG|/files/ENCFF504ZTG/} is missing the requisite file specification in its derived_from list."
ENCSR000ASN,ENCFF112PES,experiment,INTERNAL_ACTION,missing derived_from,/files/ENCFF000CDO/,"derived_from is a list of files that were used to create a given file; for example, fastq file(s) will appear in the derived_from list of an alignments file. Processed file {ENCFF000CDO|/files/ENCFF000CDO/} is missing the requisite file specification in its derived_from list."
ENCSR000ASN,ENCFF112PES,experiment,INTERNAL_ACTION,mismatched status,/analyses/ENCAN128IQH/,Released analysis {ENCAN128IQH|/analyses/ENCAN128IQH/} has in progress subobject quality standard {encode4-histone-chip|/quality-standards/encode4-histone-chip/}
ENCSR000ASN,ENCFF112PES,experiment,INTERNAL_ACTION,mismatched status,/analyses/ENCAN128IQH/,Released analysis {ENCAN128IQH|/analyses/ENCAN128IQH/} has in progress subobject document {d5506fb4-41dc-450c-882c-e64a3b6876ce|/documents/d5506fb4-41dc-450c-882c-e64a3b6876ce/}
ENCSR000ASN,ENCFF112PES,experiment,INTERNAL_ACTION,mismatched status,/experiments/ENCSR000ASN/,Released experiment {ENCSR000ASN|/experiments/ENCSR000ASN/} has archived subobject analysis {ENCAN332VLX|/analyses/ENCAN332VLX/}
ENCSR000ASN,ENCFF112PES,experiment,INTERNAL_ACTION,mismatched status,/experiments/ENCSR000ASN/,Released experiment {ENCSR000ASN|/experiments/ENCSR000ASN/} has archived subobject analysis {ENCAN073SFC|/analyses/ENCAN073SFC/}
ENCSR000ASN,ENCFF112PES,experiment,INTERNAL_ACTION,missing derived_from,/files/ENCFF001TAL/,"derived_from is a list of files that were used to create a given file; for example, fastq file(s) will appear in the derived_from list of an alignments file. Processed file {ENCFF001TAL|/files/ENCFF001TAL/} is missing the requisite file specification in its derived_from list."
ENCSR000ASN,ENCFF112PES,experiment,WARNING,low read depth,/analyses/ENCAN128IQH/,"Processed alignments file {ENCFF640GCK|/files/ENCFF640GCK/} processed by ChIP-seq ENCODE4 v1.5.1 GRCh38 pipeline has 10999926 usable fragments. The minimum ENCODE standard for each replicate in a ChIP-seq experiment targeting H3K4me3-human and investigated as a narrow histone mark is 10 million usable fragments. The recommended value is > 20 million, but > 10 million is acceptable. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/})"
ENCSR000ASN,ENCFF112PES,experiment,WARNING,mild to moderate bottlenecking,/analyses/ENCAN128IQH/,"PBC1 (PCR Bottlenecking Coefficient 1, M1/M_distinct) is the ratio of the number of genomic locations where exactly one read maps uniquely (M1) to the number of genomic locations where some reads map (M_distinct). A PBC1 value in the range 0 - 0.5 is severe bottlenecking, 0.5 - 0.8 is moderate bottlenecking, 0.8 - 0.9 is mild bottlenecking, and > 0.9 is no bottlenecking. PBC1 value > 0.9 is recommended, but > 0.8 is acceptable. ENCODE processed alignments file {ENCFF144PKE|/files/ENCFF144PKE/} processed by ChIP-seq ENCODE4 v1.5.1 GRCh38 pipeline was generated from a library with PBC1 value of 0.88."
ENCSR000ASN,ENCFF112PES,experiment,WARNING,mild to moderate bottlenecking,/analyses/ENCAN128IQH/,"PBC2 (PCR Bottlenecking Coefficient 2, M1/M2) is the ratio of the number of genomic locations where exactly one read maps uniquely (M1) to the number of genomic locations where two reads map uniquely (M2). A PBC2 value in the range 0 - 1 is severe bottlenecking, 1 - 3 is moderate bottlenecking, 3 - 10 is mild bottlenecking, > 10 is no bottlenecking. PBC2 value > 10 is recommended, but > 3 is acceptable. ENCODE processed alignments file {ENCFF144PKE|/files/ENCFF144PKE/} processed by ChIP-seq ENCODE4 v1.5.1 GRCh38 pipeline was generated from a library with PBC2 value of 9.31."
ENCSR000ASN,ENCFF112PES,experiment,WARNING,moderate library complexity,/analyses/ENCAN128IQH/,"NRF (Non Redundant Fraction) is equal to the result of the division of the number of reads after duplicates removal by the total number of reads. An NRF value in the range 0 - 0.5 is poor complexity, 0.5 - 0.8 is moderate complexity, and > 0.8 high complexity. NRF value > 0.8 is recommended, but > 0.5 is acceptable. ENCODE processed alignments file {ENCFF640GCK|/files/ENCFF640GCK/} processed by ChIP-seq ENCODE4 v1.5.1 GRCh38 pipeline was generated from a library with NRF value of 0.67."
ENCSR000ASN,ENCFF112PES,experiment,WARNING,mild to moderate bottlenecking,/analyses/ENCAN128IQH/,"PBC1 (PCR Bottlenecking Coefficient 1, M1/M_distinct) is the ratio of the number of genomic locations where exactly one read maps uniquely (M1) to the number of genomic locations where some reads map (M_distinct). A PBC1 value in the range 0 - 0.5 is severe bottlenecking, 0.5 - 0.8 is moderate bottlenecking, 0.8 - 0.9 is mild bottlenecking, and > 0.9 is no bottlenecking. PBC1 value > 0.9 is recommended, but > 0.8 is acceptable. ENCODE processed alignments file {ENCFF640GCK|/files/ENCFF640GCK/} processed by ChIP-seq ENCODE4 v1.5.1 GRCh38 pipeline was generated from a library with PBC1 value of 0.66."
ENCSR000ASN,ENCFF112PES,experiment,WARNING,mild to moderate bottlenecking,/analyses/ENCAN128IQH/,"PBC2 (PCR Bottlenecking Coefficient 2, M1/M2) is the ratio of the number of genomic locations where exactly one read maps uniquely (M1) to the number of genomic locations where two reads map uniquely (M2). A PBC2 value in the range 0 - 1 is severe bottlenecking, 1 - 3 is moderate bottlenecking, 3 - 10 is mild bottlenecking, > 10 is no bottlenecking. PBC2 value > 10 is recommended, but > 3 is acceptable. ENCODE processed alignments file {ENCFF640GCK|/files/ENCFF640GCK/} processed by ChIP-seq ENCODE4 v1.5.1 GRCh38 pipeline was generated from a library with PBC2 value of 2.77."
ENCSR000ASN,ENCFF112PES,experiment,WARNING,inconsistent platforms,/experiments/ENCSR000ASN/,"This experiment contains data produced on incompatible platforms [Illumina HiSeq 2000/2500, Illumina Genome Analyzer]."
ENCSR000ASN,ENCFF112PES,experiment,WARNING,low read length,/experiments/ENCSR000ASN/,Fastq file {ENCFF000CDX|/files/ENCFF000CDX/} has read length of 36bp. For mapping accuracy ENCODE standards recommend that sequencing reads should be at least 50bp long. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/} )
ENCSR000ASN,ENCFF112PES,experiment,WARNING,low read length,/experiments/ENCSR000ASN/,Fastq file {ENCFF000CDZ|/files/ENCFF000CDZ/} has read length of 36bp. For mapping accuracy ENCODE standards recommend that sequencing reads should be at least 50bp long. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/} )
ENCSR000ASN,ENCFF112PES,experiment,WARNING,low read length,/experiments/ENCSR000ASN/,Fastq file {ENCFF399MSH|/files/ENCFF399MSH/} has read length of 36bp. For mapping accuracy ENCODE standards recommend that sequencing reads should be at least 50bp long. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/} )
ENCSR000ASN,ENCFF112PES,selected_file,INTERNAL_ACTION,mismatched status,/analyses/ENCAN073SFC/,Archived analysis {ENCAN073SFC|/analyses/ENCAN073SFC/} has in progress subobject quality standard {encode3-histone-chip|/quality-standards/encode3-histone-chip/}
ENCSR000ASN,ENCFF112PES,selected_file,WARNING,low read depth,/analyses/ENCAN073SFC/,"Processed alignments file {ENCFF393WAI|/files/ENCFF393WAI/} processed by ChIP-seq ENCODE3 GRCh38 pipeline has 10365454 usable fragments. The minimum ENCODE standard for each replicate in a ChIP-seq experiment targeting H3K4me3-human and investigated as a narrow histone mark is 10 million usable fragments. The recommended value is > 20 million, but > 10 million is acceptable. (See {ENCODE ChIP-seq data standards|/data-standards/chip-seq/})"
ENCSR000ASN,ENCFF112PES,selected_file,WARNING,moderate library complexity,/analyses/ENCAN073SFC/,"NRF (Non Redundant Fraction) is equal to the result of the division of the number of reads after duplicates removal by the total number of reads. An NRF value in the range 0 - 0.5 is poor complexity, 0.5 - 0.8 is moderate complexity, and > 0.8 high complexity. NRF value > 0.8 is recommended, but > 0.5 is acceptable. ENCODE processed alignments file {ENCFF393WAI|/files/ENCFF393WAI/} processed by ChIP-seq ENCODE3 GRCh38 pipeline was generated from a library with NRF value of 0.69."
