gene_id,gene_name,transcript_id,strand,start0,end0,model_tss_query_coordinate0
ENSG00000011485,PPP5C,ENST00000012443.9,+,46347086,46390975,46347086
ENSG00000011485,PPP5C,ENST00000391919.1,+,46347107,46390852,46347107
ENSG00000011485,PPP5C,ENST00000467502.6,+,46383155,46387935,46383155
ENSG00000011485,PPP5C,ENST00000467902.2,+,46375603,46376703,46375603
ENSG00000011485,PPP5C,ENST00000478046.5,+,46347100,46392981,46347100
ENSG00000011485,PPP5C,ENST00000486994.5,+,46382771,46390746,46382771
ENSG00000011485,PPP5C,ENST00000487483.6,+,46381510,46390846,46381510
ENSG00000011485,PPP5C,ENST00000491003.5,+,46383793,46390286,46383793
ENSG00000011485,PPP5C,ENST00000492109.6,+,46384376,46388595,46384376
ENSG00000011485,PPP5C,ENST00000493347.5,+,46383322,46387164,46383322
ENSG00000011485,PPP5C,ENST00000525507.5,+,46386717,46390675,46386717
ENSG00000011485,PPP5C,ENST00000527193.1,+,46375626,46383711,46375626
ENSG00000011485,PPP5C,ENST00000527623.1,+,46387925,46390610,46387925
ENSG00000011485,PPP5C,ENST00000532058.1,+,46381725,46383998,46381725
ENSG00000011485,PPP5C,ENST00000595055.1,+,46383462,46384943,46383462
ENSG00000042753,AP2S1,ENST00000263270.11,-,46838166,46850846,46850846
ENSG00000042753,AP2S1,ENST00000352203.8,-,46838135,46850777,46850777
ENSG00000042753,AP2S1,ENST00000593442.5,-,46838157,46850834,46850834
ENSG00000042753,AP2S1,ENST00000597020.5,-,46838171,46846148,46846148
ENSG00000042753,AP2S1,ENST00000597421.1,-,46845650,46850825,46850825
ENSG00000042753,AP2S1,ENST00000598027.1,-,46838445,46839656,46839656
ENSG00000042753,AP2S1,ENST00000599990.5,-,46838157,46850769,46850769
ENSG00000042753,AP2S1,ENST00000600964.1,-,46838171,46838820,46838820
ENSG00000042753,AP2S1,ENST00000601498.5,-,46838157,46850316,46850316
ENSG00000042753,AP2S1,ENST00000601649.1,-,46838446,46850766,46850766
ENSG00000090372,STRN4,ENST00000263280.11,-,46719510,46746450,46746450
ENSG00000090372,STRN4,ENST00000391910.7,-,46719510,46746881,46746881
ENSG00000090372,STRN4,ENST00000435164.6,-,46725332,46746863,46746863
ENSG00000090372,STRN4,ENST00000539396.5,-,46720070,46746994,46746994
ENSG00000090372,STRN4,ENST00000593979.6,-,46730835,46746945,46746945
ENSG00000090372,STRN4,ENST00000594287.6,-,46722337,46727959,46727959
ENSG00000090372,STRN4,ENST00000594357.6,-,46722933,46728406,46728406
ENSG00000090372,STRN4,ENST00000594581.5,-,46719512,46726265,46726265
ENSG00000090372,STRN4,ENST00000594704.5,-,46730732,46746405,46746405
ENSG00000090372,STRN4,ENST00000594847.6,-,46727906,46733449,46733449
ENSG00000090372,STRN4,ENST00000595357.5,-,46720698,46730857,46730857
ENSG00000090372,STRN4,ENST00000596012.2,-,46733199,46746945,46746945
ENSG00000090372,STRN4,ENST00000596016.5,-,46728684,46731788,46731788
ENSG00000090372,STRN4,ENST00000597021.6,-,46733109,46739507,46739507
ENSG00000090372,STRN4,ENST00000597063.6,-,46733074,46745830,46745830
ENSG00000090372,STRN4,ENST00000598074.1,-,46722922,46724892,46724892
ENSG00000090372,STRN4,ENST00000599231.5,-,46727452,46730931,46730931
ENSG00000090372,STRN4,ENST00000600358.7,-,46724827,46738172,46738172
ENSG00000090372,STRN4,ENST00000600615.5,-,46720408,46723211,46723211
ENSG00000090372,STRN4,ENST00000600710.1,-,46736204,46746944,46746944
ENSG00000090372,STRN4,ENST00000601631.6,-,46722859,46728315,46728315
ENSG00000090372,STRN4,ENST00000601869.1,-,46719512,46721752,46721752
ENSG00000090372,STRN4,ENST00000602223.5,-,46725480,46728331,46728331
ENSG00000090372,STRN4,ENST00000602397.5,-,46728686,46736349,46736349
ENSG00000105281,SLC1A5,ENST00000412532.6,-,46774923,46787342,46787342
ENSG00000105281,SLC1A5,ENST00000434726.6,-,46774884,46784824,46784824
ENSG00000105281,SLC1A5,ENST00000542575.6,-,46774882,46788594,46788594
ENSG00000105281,SLC1A5,ENST00000593713.2,-,46774882,46784786,46784786
ENSG00000105281,SLC1A5,ENST00000594991.5,-,46774884,46784905,46784905
ENSG00000105281,SLC1A5,ENST00000598022.2,-,46775256,46784803,46784803
ENSG00000105281,SLC1A5,ENST00000713951.1,-,46774882,46784945,46784945
ENSG00000105287,PRKD2,ENST00000291281.9,-,46674315,46717114,46717114
ENSG00000105287,PRKD2,ENST00000433867.5,-,46674316,46717127,46717127
ENSG00000105287,PRKD2,ENST00000593363.1,-,46716164,46717112,46717112
ENSG00000105287,PRKD2,ENST00000593492.1,-,46678528,46686180,46686180
ENSG00000105287,PRKD2,ENST00000595132.5,-,46704486,46714599,46714599
ENSG00000105287,PRKD2,ENST00000595515.5,-,46674507,46717115,46717115
ENSG00000105287,PRKD2,ENST00000597088.1,-,46710353,46714032,46714032
ENSG00000105287,PRKD2,ENST00000597390.5,-,46674313,46691985,46691985
ENSG00000105287,PRKD2,ENST00000597589.5,-,46674345,46697341,46697341
ENSG00000105287,PRKD2,ENST00000597641.1,-,46704336,46716244,46716244
ENSG00000105287,PRKD2,ENST00000598633.1,-,46704633,46717114,46717114
ENSG00000105287,PRKD2,ENST00000599019.5,-,46674338,46697325,46697325
ENSG00000105287,PRKD2,ENST00000599464.1,-,46681682,46691851,46691851
ENSG00000105287,PRKD2,ENST00000600194.5,-,46674319,46714324,46714324
ENSG00000105287,PRKD2,ENST00000601605.5,-,46697839,46714023,46714023
ENSG00000105287,PRKD2,ENST00000601806.5,-,46674274,46717082,46717082
ENSG00000105287,PRKD2,ENST00000602155.5,-,46674318,46689709,46689709
ENSG00000105327,BBC3,ENST00000300880.11,-,47220823,47232766,47232766
ENSG00000105327,BBC3,ENST00000341983.8,-,47220823,47232766,47232766
ENSG00000105327,BBC3,ENST00000439096.3,-,47220823,47231199,47231199
ENSG00000105327,BBC3,ENST00000449228.5,-,47220823,47232766,47232766
ENSG00000105327,BBC3,ENST00000598636.1,-,47221644,47227189,47227189
ENSG00000105327,BBC3,ENST00000601438.2,-,47220821,47222568,47222568
ENSG00000124440,HIF3A,ENST00000244302.8,+,46297045,46331513,46297045
ENSG00000124440,HIF3A,ENST00000244303.10,+,46298389,46339909,46298389
ENSG00000124440,HIF3A,ENST00000291300.8,+,46298457,46331513,46298457
ENSG00000124440,HIF3A,ENST00000300862.7,+,46303598,46340100,46303598
ENSG00000124440,HIF3A,ENST00000377670.9,+,46297041,46343433,46297041
ENSG00000124440,HIF3A,ENST00000472815.5,+,46298425,46338538,46298425
ENSG00000124440,HIF3A,ENST00000475432.6,+,46297045,46313363,46297045
ENSG00000124440,HIF3A,ENST00000524533.1,+,46298297,46304187,46298297
ENSG00000124440,HIF3A,ENST00000525854.5,+,46305041,46312518,46305041
ENSG00000124440,HIF3A,ENST00000526506.5,+,46298432,46308586,46298432
ENSG00000124440,HIF3A,ENST00000528563.5,+,46298393,46325594,46298393
ENSG00000124440,HIF3A,ENST00000529205.1,+,46305085,46309196,46305085
ENSG00000124440,HIF3A,ENST00000529542.1,+,46321779,46331496,46321779
ENSG00000124440,HIF3A,ENST00000531043.1,+,46309220,46312653,46309220
ENSG00000124440,HIF3A,ENST00000533145.5,+,46298421,46308683,46298421
ENSG00000124440,HIF3A,ENST00000533789.5,+,46297045,46309266,46297045
ENSG00000124440,HIF3A,ENST00000600236.1,+,46320391,46321918,46320391
ENSG00000124440,HIF3A,ENST00000600383.1,+,46303848,46338538,46303848
ENSG00000124440,HIF3A,ENST00000600879.5,+,46303848,46308767,46303848
ENSG00000130748,TMEM160,ENST00000253047.7,-,47045908,47048624,47048624
ENSG00000130749,ZC3H4,ENST00000253048.10,-,47064186,47113776,47113776
ENSG00000130749,ZC3H4,ENST00000594019.5,-,47064858,47112229,47112229
ENSG00000130749,ZC3H4,ENST00000595341.1,-,47093748,47094487,47094487
ENSG00000130749,ZC3H4,ENST00000597069.1,-,47090018,47112247,47112247
ENSG00000130749,ZC3H4,ENST00000601973.1,-,47064191,47085355,47085355
ENSG00000130751,NPAS1,ENST00000439365.6,+,47035328,47045758,47035328
ENSG00000130751,NPAS1,ENST00000449844.6,+,47020885,47045759,47020885
ENSG00000130751,NPAS1,ENST00000594257.1,+,47035349,47042877,47035349
ENSG00000130751,NPAS1,ENST00000594670.1,+,47035347,47041125,47035347
ENSG00000130751,NPAS1,ENST00000600352.1,+,47035888,47040733,47035888
ENSG00000130751,NPAS1,ENST00000601169.1,+,47035331,47040758,47035331
ENSG00000130751,NPAS1,ENST00000602189.5,+,47019848,47045727,47019848
ENSG00000130751,NPAS1,ENST00000602212.6,+,47019836,47045775,47019836
ENSG00000142230,SAE1,ENST00000270225.12,+,47130834,47210636,47130834
ENSG00000142230,SAE1,ENST00000392776.3,+,47130894,47210170,47130894
ENSG00000142230,SAE1,ENST00000413379.7,+,47130828,47210636,47130828
ENSG00000142230,SAE1,ENST00000414294.6,+,47130858,47210191,47130858
ENSG00000142230,SAE1,ENST00000594144.5,+,47113273,47169853,47113273
ENSG00000142230,SAE1,ENST00000594526.5,+,47113440,47153000,47113440
ENSG00000142230,SAE1,ENST00000596995.1,+,47130888,47210190,47130888
ENSG00000142230,SAE1,ENST00000597808.5,+,47130781,47155177,47130781
ENSG00000142230,SAE1,ENST00000598840.5,+,47130837,47210191,47130837
ENSG00000142230,SAE1,ENST00000600706.5,+,47130829,47169902,47130829
ENSG00000142230,SAE1,ENST00000600753.1,+,47130860,47153038,47130860
ENSG00000142230,SAE1,ENST00000659110.1,+,47143493,47210623,47143493
ENSG00000142230,SAE1,ENST00000660039.1,+,47130865,47210623,47130865
ENSG00000142230,SAE1,ENST00000664120.1,+,47130888,47210623,47130888
ENSG00000160007,ARHGAP35,ENST00000595822.1,+,46937319,47001425,46937319
