interface,program_id,contrast_id,contrast_role,group_a,group_b,n_a,n_b,mean_a,mean_b,variance_a,variance_b,variance_a_status,variance_b_status,effect,effect_status,score_kind,ci_low,ci_high,confidence,interval_type,standard_error,degrees_of_freedom,t_statistic,p_raw,log_p_raw,q_bh,q_by,welch_status,numeric_inference_failure,p_underflow_to_zero,zero_variance_groups,p_was_substituted,family_id,family_size,discovery_eligible,inferential_role,coverage_component,original_source_members,mapped_unique_members,component_coverage_gate,mapped_unique_total,coverage_gate_basis,parent_gate,score_status,coverage_reasons,target_literal_symbol,target_present_in_original_source,target_excluded
exact_symbol_ensembl_bijection,ets2_g1_dn,PSC_minus_AIH,primary,PSC,AIH,17,30,3.5210289148187286,3.542123206135288,0.025417163683088714,0.08712099751886347,finite_positive,finite_positive,-0.021094291316559488,available,unsigned_equal_gene,-0.15468601146328664,0.11249742883016767,0.95,pointwise_not_multiplicity_adjusted,0.06632616773268744,44.95171112678384,-0.3180387475660472,0.7519283874321454,-0.28511418904544195,0.9593488442261611,1.0,available,,false,[],false,Core_full_panel_three_contrasts,30,true,sole_discovery_family,all,927,848,true,848,original_component_denominators_plus_10_total,,available,[],,,
exact_symbol_ensembl_bijection,ets2_g1_dn,PSC_minus_ASC,secondary,PSC,ASC,17,17,3.5210289148187286,3.502963912546628,0.025417163683088714,0.06238336448003963,finite_positive,finite_positive,0.018065002272100728,available,unsigned_equal_gene,-0.12934595126989867,0.16547595581410013,0.95,pointwise_not_multiplicity_adjusted,0.07186610432444669,27.181717361347633,0.2513702731199186,0.8034185404719884,-0.21887947981267142,0.9593488442261611,1.0,available,,false,[],false,Core_full_panel_three_contrasts,30,true,sole_discovery_family,all,927,848,true,848,original_component_denominators_plus_10_total,,available,[],,,
exact_symbol_ensembl_bijection,ets2_g1_dn,ASC_minus_AIH,secondary,ASC,AIH,17,30,3.502963912546628,3.542123206135288,0.06238336448003963,0.08712099751886347,finite_positive,finite_positive,-0.039159293588660216,available,unsigned_equal_gene,-0.20327065086817342,0.12495206369085299,0.95,pointwise_not_multiplicity_adjusted,0.0810780051920694,38.159191357456635,-0.4829829433505915,0.6318674194296724,-0.459075686225482,0.9593488442261611,1.0,available,,false,[],false,Core_full_panel_three_contrasts,30,true,sole_discovery_family,all,927,848,true,848,original_component_denominators_plus_10_total,,available,[],,,
exact_symbol_ensembl_bijection,ets2_g1_up,PSC_minus_AIH,primary,PSC,AIH,17,30,3.764502465851809,3.7807472195685445,0.013293940546404455,0.026503742953336188,finite_positive,finite_positive,-0.016244753716735616,available,unsigned_equal_gene,-0.09856910586097382,0.06607959842750259,0.95,pointwise_not_multiplicity_adjusted,0.04080998163653365,42.58535292093887,-0.39805834419178204,0.6925757938003329,-0.3673375973786398,0.9593488442261611,1.0,available,,false,[],false,Core_full_panel_three_contrasts,30,true,sole_discovery_family,all,668,612,true,612,original_component_denominators_plus_10_total,,available,[],,,
exact_symbol_ensembl_bijection,ets2_g1_up,PSC_minus_ASC,secondary,PSC,ASC,17,17,3.764502465851809,3.7757380698148104,0.013293940546404455,0.03210865917577207,finite_positive,finite_positive,-0.011235603963001495,available,unsigned_equal_gene,-0.11721627289377513,0.09474506496777214,0.95,pointwise_not_multiplicity_adjusted,0.05167921400454956,27.310157862444758,-0.21741050399900377,0.8295045926298338,-0.18692663274269272,0.9593488442261611,1.0,available,,false,[],false,Core_full_panel_three_contrasts,30,true,sole_discovery_family,all,668,612,true,612,original_component_denominators_plus_10_total,,available,[],,,
exact_symbol_ensembl_bijection,ets2_g1_up,ASC_minus_AIH,secondary,ASC,AIH,17,30,3.7757380698148104,3.7807472195685445,0.03210865917577207,0.026503742953336188,finite_positive,finite_positive,-0.005009149753734121,available,unsigned_equal_gene,-0.11242756450131564,0.1024092649938474,0.95,pointwise_not_multiplicity_adjusted,0.0526517118035387,30.755994366348457,-0.09513745293647714,0.9248228117880668,-0.07815311464239194,0.9593488442261611,1.0,available,,false,[],false,Core_full_panel_three_contrasts,30,true,sole_discovery_family,all,668,612,true,612,original_component_denominators_plus_10_total,,available,[],,,
exact_symbol_ensembl_bijection,ets2_g2_dn,PSC_minus_AIH,primary,PSC,AIH,17,30,3.607942034693111,3.6290919446806567,0.026241256435622695,0.08849987349464038,finite_positive,finite_positive,-0.021149909987545623,available,unsigned_equal_gene,-0.15616630585524913,0.11386648588015788,0.95,pointwise_not_multiplicity_adjusted,0.06703431287704224,44.971530189862925,-0.31550871605620645,0.753834967152728,-0.28258181138639604,0.9593488442261611,1.0,available,,false,[],false,Core_full_panel_three_contrasts,30,true,sole_discovery_family,all,875,809,true,809,original_component_denominators_plus_10_total,,available,[],,,
exact_symbol_ensembl_bijection,ets2_g2_dn,PSC_minus_ASC,secondary,PSC,ASC,17,17,3.607942034693111,3.583752594217168,0.026241256435622695,0.06018578038862504,finite_positive,finite_positive,0.02418944047594307,available,unsigned_equal_gene,-0.12193128129997516,0.1703101622518613,0.95,pointwise_not_multiplicity_adjusted,0.07130177657395927,27.72350188219906,0.33925438661198104,0.7369746071929978,-0.305201841669948,0.9593488442261611,1.0,available,,false,[],false,Core_full_panel_three_contrasts,30,true,sole_discovery_family,all,875,809,true,809,original_component_denominators_plus_10_total,,available,[],,,
exact_symbol_ensembl_bijection,ets2_g2_dn,ASC_minus_AIH,secondary,ASC,AIH,17,30,3.583752594217168,3.6290919446806567,0.06018578038862504,0.08849987349464038,finite_positive,finite_positive,-0.04533935046348869,available,unsigned_equal_gene,-0.2083087749461044,0.117630074019127,0.95,pointwise_not_multiplicity_adjusted,0.08056262040186489,38.879540671872604,-0.5627839590783614,0.576813081662102,-0.5502370135492617,0.9593488442261611,1.0,available,,false,[],false,Core_full_panel_three_contrasts,30,true,sole_discovery_family,all,875,809,true,809,original_component_denominators_plus_10_total,,available,[],,,
exact_symbol_ensembl_bijection,chr21_dn,PSC_minus_AIH,primary,PSC,AIH,17,30,3.488042128789791,3.542057071802705,0.06971691550372587,0.16948468275394296,finite_positive,finite_positive,-0.054014943012913985,available,unsigned_equal_gene,-0.25299804359560985,0.14496815756978185,0.95,pointwise_not_multiplicity_adjusted,0.09874454139223275,44.184328508977764,-0.5470170021688187,0.5871193922688466,-0.5325270858513863,0.9593488442261611,1.0,available,,false,[],false,Core_full_panel_three_contrasts,30,true,sole_discovery_family,all,141,126,true,126,original_component_denominators_plus_10_total,,available,[],,,
