dataset_key,program_id,bin,bin_feature_count,target_count,control_pool_count,required_controls_sufficient,underflow,program_mapping_gate_pass,matching_available,replicates,seed,target_reference_mean,bin_reference_mean,control_pool_reference_mean,reason,intended_unique_source_genes,mapped_unique_genes,mapping_fraction
sc,ets2_g1_dn,0,1630,1,1570,True,False,True,True,1000,11108313818137017318,0.0,0.0,0.0,available,927,906,0.9773462783171522
sc,ets2_g1_dn,1,1630,0,1627,True,False,True,True,1000,11108313818137017318,,0.0,0.0,available,927,906,0.9773462783171522
sc,ets2_g1_dn,2,1630,0,1629,True,False,True,True,1000,11108313818137017318,,0.0,0.0,available,927,906,0.9773462783171522
sc,ets2_g1_dn,3,1630,0,1627,True,False,True,True,1000,11108313818137017318,,0.0,0.0,available,927,906,0.9773462783171522
sc,ets2_g1_dn,4,1630,2,1627,True,False,True,True,1000,11108313818137017318,0.0,0.0,0.0,available,927,906,0.9773462783171522
sc,ets2_g1_dn,5,1630,0,1616,True,False,True,True,1000,11108313818137017318,,0.0023810285700489615,0.0023737316801680656,available,927,906,0.9773462783171522
sc,ets2_g1_dn,6,1630,0,1603,True,False,True,True,1000,11108313818137017318,,0.009926213459080875,0.009920418546338001,available,927,906,0.9773462783171522
sc,ets2_g1_dn,7,1630,2,1595,True,False,True,True,1000,11108313818137017318,0.023202742134747933,0.024014248367740524,0.024025671027657677,available,927,906,0.9773462783171522
sc,ets2_g1_dn,8,1630,2,1580,True,False,True,True,1000,11108313818137017318,0.037556458401117744,0.05493515984168826,0.05500926623783899,available,927,906,0.9773462783171522
sc,ets2_g1_dn,9,1630,3,1571,True,False,True,True,1000,11108313818137017318,0.12850845651657725,0.11539213697268587,0.11520595048862331,available,927,906,0.9773462783171522
sc,ets2_g1_dn,10,1630,8,1558,True,False,True,True,1000,11108313818137017318,0.2666993592753658,0.22968461007600863,0.2294974087651722,available,927,906,0.9773462783171522
sc,ets2_g1_dn,11,1630,4,1529,True,False,True,True,1000,11108313818137017318,0.4151643722366115,0.4484713287345,0.4483953566474491,available,927,906,0.9773462783171522
sc,ets2_g1_dn,12,1630,28,1471,True,False,True,True,1000,11108313818137017318,0.8930102398104721,0.8706167727366309,0.8706450924194805,available,927,906,0.9773462783171522
sc,ets2_g1_dn,13,1630,59,1430,True,False,True,True,1000,11108313818137017318,1.7023483902211873,1.6201276085087817,1.6166463270302085,available,927,906,0.9773462783171522
sc,ets2_g1_dn,14,1630,90,1372,True,False,True,True,1000,11108313818137017318,2.573836300843451,2.541052623471498,2.540997086934204,available,927,906,0.9773462783171522
sc,ets2_g1_dn,15,1630,95,1331,True,False,True,True,1000,11108313818137017318,3.3821244763426126,3.3858324059171654,3.3888363975871947,available,927,906,0.9773462783171522
sc,ets2_g1_dn,16,1629,115,1306,True,False,True,True,1000,11108313818137017318,4.1142493098957855,4.118657023768697,4.120292052528254,available,927,906,0.9773462783171522
sc,ets2_g1_dn,17,1629,124,1279,True,False,True,True,1000,11108313818137017318,4.822894763590301,4.806751094742843,4.80353742892103,available,927,906,0.9773462783171522
sc,ets2_g1_dn,18,1629,155,1220,True,False,True,True,1000,11108313818137017318,5.618015465920606,5.611965115351811,5.60854960123451,available,927,906,0.9773462783171522
sc,ets2_g1_dn,19,1629,218,1042,True,False,True,True,1000,11108313818137017318,7.348480133181573,7.499159459140097,7.365945206780901,available,927,906,0.9773462783171522
sc,ets2_g1_up,0,1630,2,1570,True,False,True,True,1000,13956488691922126985,0.0,0.0,0.0,available,668,583,0.8727544910179641
sc,ets2_g1_up,1,1630,0,1627,True,False,True,True,1000,13956488691922126985,,0.0,0.0,available,668,583,0.8727544910179641
sc,ets2_g1_up,2,1630,0,1629,True,False,True,True,1000,13956488691922126985,,0.0,0.0,available,668,583,0.8727544910179641
sc,ets2_g1_up,3,1630,0,1627,True,False,True,True,1000,13956488691922126985,,0.0,0.0,available,668,583,0.8727544910179641
sc,ets2_g1_up,4,1630,1,1627,True,False,True,True,1000,13956488691922126985,0.0,0.0,0.0,available,668,583,0.8727544910179641
sc,ets2_g1_up,5,1630,1,1616,True,False,True,True,1000,13956488691922126985,0.0,0.0023810285700489615,0.0023737316801680656,available,668,583,0.8727544910179641
sc,ets2_g1_up,6,1630,2,1603,True,False,True,True,1000,13956488691922126985,0.014938911372706087,0.009926213459080875,0.009920418546338001,available,668,583,0.8727544910179641
sc,ets2_g1_up,7,1630,1,1595,True,False,True,True,1000,13956488691922126985,0.022271408893447593,0.024014248367740524,0.024025671027657677,available,668,583,0.8727544910179641
sc,ets2_g1_up,8,1630,4,1580,True,False,True,True,1000,13956488691922126985,0.04629144546597785,0.05493515984168826,0.05500926623783899,available,668,583,0.8727544910179641
sc,ets2_g1_up,9,1630,7,1571,True,False,True,True,1000,13956488691922126985,0.12261466907155467,0.11539213697268587,0.11520595048862331,available,668,583,0.8727544910179641
sc,ets2_g1_up,10,1630,9,1558,True,False,True,True,1000,13956488691922126985,0.24383289377179024,0.22968461007600863,0.2294974087651722,available,668,583,0.8727544910179641
sc,ets2_g1_up,11,1630,20,1529,True,False,True,True,1000,13956488691922126985,0.4626769157484308,0.4484713287345,0.4483953566474491,available,668,583,0.8727544910179641
sc,ets2_g1_up,12,1630,34,1471,True,False,True,True,1000,13956488691922126985,0.8529959948996576,0.8706167727366309,0.8706450924194805,available,668,583,0.8727544910179641
sc,ets2_g1_up,13,1630,30,1430,True,False,True,True,1000,13956488691922126985,1.6134282714997086,1.6201276085087817,1.6166463270302085,available,668,583,0.8727544910179641
sc,ets2_g1_up,14,1630,37,1372,True,False,True,True,1000,13956488691922126985,2.4964930590581895,2.541052623471498,2.540997086934204,available,668,583,0.8727544910179641
sc,ets2_g1_up,15,1630,67,1331,True,False,True,True,1000,13956488691922126985,3.334525976578416,3.3858324059171654,3.3888363975871947,available,668,583,0.8727544910179641
sc,ets2_g1_up,16,1629,70,1306,True,False,True,True,1000,13956488691922126985,4.115268917369594,4.118657023768697,4.120292052528254,available,668,583,0.8727544910179641
sc,ets2_g1_up,17,1629,79,1279,True,False,True,True,1000,13956488691922126985,4.837521586271478,4.806751094742843,4.80353742892103,available,668,583,0.8727544910179641
sc,ets2_g1_up,18,1629,80,1220,True,False,True,True,1000,13956488691922126985,5.613712153962846,5.611965115351811,5.60854960123451,available,668,583,0.8727544910179641
sc,ets2_g1_up,19,1629,139,1042,True,False,True,True,1000,13956488691922126985,8.367741964723905,7.499159459140097,7.365945206780901,available,668,583,0.8727544910179641
sc,ets2_g2_dn,0,1630,0,1570,True,False,True,True,1000,564275276130980225,,0.0,0.0,available,875,859,0.9817142857142858
sc,ets2_g2_dn,1,1630,0,1627,True,False,True,True,1000,564275276130980225,,0.0,0.0,available,875,859,0.9817142857142858
sc,ets2_g2_dn,2,1630,0,1629,True,False,True,True,1000,564275276130980225,,0.0,0.0,available,875,859,0.9817142857142858
sc,ets2_g2_dn,3,1630,0,1627,True,False,True,True,1000,564275276130980225,,0.0,0.0,available,875,859,0.9817142857142858
sc,ets2_g2_dn,4,1630,1,1627,True,False,True,True,1000,564275276130980225,0.0,0.0,0.0,available,875,859,0.9817142857142858
sc,ets2_g2_dn,5,1630,0,1616,True,False,True,True,1000,564275276130980225,,0.0023810285700489615,0.0023737316801680656,available,875,859,0.9817142857142858
sc,ets2_g2_dn,6,1630,0,1603,True,False,True,True,1000,564275276130980225,,0.009926213459080875,0.009920418546338001,available,875,859,0.9817142857142858
sc,ets2_g2_dn,7,1630,2,1595,True,False,True,True,1000,564275276130980225,0.023202742134747933,0.024014248367740524,0.024025671027657677,available,875,859,0.9817142857142858
sc,ets2_g2_dn,8,1630,2,1580,True,False,True,True,1000,564275276130980225,0.037556458401117744,0.05493515984168826,0.05500926623783899,available,875,859,0.9817142857142858
sc,ets2_g2_dn,9,1630,2,1571,True,False,True,True,1000,564275276130980225,0.14691392720130936,0.11539213697268587,0.11520595048862331,available,875,859,0.9817142857142858
sc,ets2_g2_dn,10,1630,8,1558,True,False,True,True,1000,564275276130980225,0.2627647466046719,0.22968461007600863,0.2294974087651722,available,875,859,0.9817142857142858
