exon_number,exon_id,genomic_start_1based,genomic_end_1based,cdna_start_0based,cdna_end_0based_exclusive
1,T29_exon_1,42403917,42404058,0,142
2,T29_exon_2,42406308,42406361,142,196
3,T29_exon_3,42409422,42409608,196,383
4,T29_exon_4,42413024,42413222,383,582
5,T29_exon_5,42416442,42416611,582,752
6,T29_exon_6,42418401,42418609,752,961
7,T29_exon_7,42426697,42426820,961,1085
8,T29_exon_8,42432103,42432202,1085,1185
9,T29_exon_9,42434832,42434983,1185,1337
10,T29_exon_10,42437488,42437580,1337,1430
11,T29_exon_11,42437855,42440816,1430,4392
