label,exact_base_overlap,experiment,file_accession,group,source_line,chromosome,start0,end0,source_fields_json
rs313839,True,ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41288,chr19,46716541,46718678,"[""chr19"",""46716541"",""46718678"",""Peak_11642"",""114"",""."",""20.23819"",""89.52219"",""86.89999"",""870""]"
PRKD2_fixed_QTL_TSS,True,ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41288,chr19,46716541,46718678,"[""chr19"",""46716541"",""46718678"",""Peak_11642"",""114"",""."",""20.23819"",""89.52219"",""86.89999"",""870""]"
rs313839,True,ENCSR000ASM,ENCFF493TKQ,H3K4me1,45073,chr19,46717328,46720858,"[""chr19"",""46717328"",""46720858"",""Peak_7166"",""266"",""."",""16.74525"",""71.88446"",""68.91759"",""746""]"
PRKD2_fixed_QTL_TSS,False,ENCSR000ASM,ENCFF493TKQ,H3K4me1,45072,chr19,46713868,46716880,"[""chr19"",""46713868"",""46716880"",""Peak_12280"",""210"",""."",""17.51344"",""56.64067"",""53.97480"",""2015""]"
PRKD2_fixed_QTL_TSS,False,ENCSR000ASM,ENCFF493TKQ,H3K4me1,45073,chr19,46717328,46720858,"[""chr19"",""46717328"",""46720858"",""Peak_7166"",""266"",""."",""16.74525"",""71.88446"",""68.91759"",""746""]"
rs313839,True,ENCSR000ASN,ENCFF112PES,H3K4me3,25623,chr19,46713828,46718795,"[""chr19"",""46713828"",""46718795"",""Peak_8201"",""339"",""."",""24.08145"",""243.48311"",""240.64481"",""2999""]"
PRKD2_fixed_QTL_TSS,True,ENCSR000ASN,ENCFF112PES,H3K4me3,25623,chr19,46713828,46718795,"[""chr19"",""46713828"",""46718795"",""Peak_8201"",""339"",""."",""24.08145"",""243.48311"",""240.64481"",""2999""]"
PRKD2_fixed_QTL_TSS,True,ENCSR000DWL,ENCFF651GXK,H3K4me3,7031,chr19,46716030,46717906,"[""chr19"",""46716030"",""46717906"",""Peak_7031"",""307"",""."",""21.39385"",""128.27228"",""125.18880"",""1341""]"
rs313839,True,ENCSR000EPK,ENCFF037QHE,DNase-seq,53387,chr19,46718211,46718380,"[""chr19"",""46718211"",""46718380"",""."",""0"",""."",""0.762561"",""-1"",""-1"",""75""]"
PRKD2_fixed_QTL_TSS,True,ENCSR000EPK,ENCFF037QHE,DNase-seq,53386,chr19,46717060,46717240,"[""chr19"",""46717060"",""46717240"",""."",""0"",""."",""2.61637"",""-1"",""-1"",""75""]"
rs313839,True,ENCSR012PII,ENCFF933WTT,H3K27ac,19239,chr19,46717968,46719630,"[""chr19"",""46717968"",""46719630"",""Peak_19239"",""47"",""."",""11.69999"",""29.96773"",""27.59815"",""417""]"
PRKD2_fixed_QTL_TSS,False,ENCSR012PII,ENCFF933WTT,H3K27ac,18372,chr19,46717157,46717793,"[""chr19"",""46717157"",""46717793"",""Peak_18372"",""51"",""."",""13.68335"",""32.76669"",""30.37378"",""212""]"
PRKD2_fixed_QTL_TSS,False,ENCSR012PII,ENCFF933WTT,H3K27ac,57188,chr19,46716783,46717010,"[""chr19"",""46716783"",""46717010"",""Peak_57188"",""12"",""."",""2.89955"",""3.53412"",""1.63448"",""128""]"
rs313839,True,ENCSR400VWA,ENCFF366GZW,H3K4me1,7481,chr19,46717434,46720217,"[""chr19"",""46717434"",""46720217"",""Peak_7481"",""311"",""."",""18.91311"",""58.84727"",""55.79959"",""515""]"
