target_label,source_model,role,evidence_level,assembly,chromosome,strand,event,exons_1based_inclusive,junction_chain_exon_end_next_start,reference_coding_start_1based,reference_biotype,lab_validation_status,new_experiment_donor_count,interpretation
U0,ENST00000291535.12,secondary_upstream_matched,reference_annotation,GRCh38,21,+,normal,"[[42403820,42404058],[42406308,42406361],[42409422,42409608],[42413024,42413222],[42416442,42416611],[42418401,42418609],[42426697,42426820],[42432103,42432202],[42434832,42434954],[42437488,42437580],[42442452,42442596],[42443312,42443418],[42444534,42444643],[42447057,42447684]]","[[42404058,42406308],[42406361,42409422],[42409608,42413024],[42413222,42416442],[42416611,42418401],[42418609,42426697],[42426820,42432103],[42432202,42434832],[42434954,42437488],[42437580,42442452],[42442596,42443312],[42443418,42444534],[42444643,42447057]]",42403946,protein_coding,not_performed,,Full original-molecule linkage required; local +29 alone is insufficient; not a validated primer or observed donor genotype.
U29,ENST00000291535.12,secondary_upstream_matched,conditional_plus29_reference,GRCh38,21,+,plus29,"[[42403820,42404058],[42406308,42406361],[42409422,42409608],[42413024,42413222],[42416442,42416611],[42418401,42418609],[42426697,42426820],[42432103,42432202],[42434832,42434983],[42437488,42437580],[42442452,42442596],[42443312,42443418],[42444534,42444643],[42447057,42447684]]","[[42404058,42406308],[42406361,42409422],[42409608,42413024],[42413222,42416442],[42416611,42418401],[42418609,42426697],[42426820,42432103],[42432202,42434832],[42434983,42437488],[42437580,42442452],[42442596,42443312],[42443418,42444534],[42444643,42447057]]",42403946,protein_coding,not_performed,,Full original-molecule linkage required; local +29 alone is insufficient; not a validated primer or observed donor genotype.
C0,ENST00000319294.11,primary_canonical,reference_annotation,GRCh38,21,+,normal,"[[42403902,42404058],[42406308,42406361],[42409422,42409608],[42413024,42413222],[42413410,42413523],[42416442,42416611],[42418401,42418609],[42426697,42426820],[42432103,42432202],[42434832,42434954],[42437488,42437580],[42442452,42442596],[42443312,42443418],[42444534,42444643],[42447057,42447684]]","[[42404058,42406308],[42406361,42409422],[42409608,42413024],[42413222,42413410],[42413523,42416442],[42416611,42418401],[42418609,42426697],[42426820,42432103],[42432202,42434832],[42434954,42437488],[42437580,42442452],[42442596,42443312],[42443418,42444534],[42444643,42447057]]",42403946,protein_coding,not_performed,,Full original-molecule linkage required; local +29 alone is insufficient; not a validated primer or observed donor genotype.
C29,ENST00000319294.11,primary_canonical,conditional_plus29_reference,GRCh38,21,+,plus29,"[[42403902,42404058],[42406308,42406361],[42409422,42409608],[42413024,42413222],[42413410,42413523],[42416442,42416611],[42418401,42418609],[42426697,42426820],[42432103,42432202],[42434832,42434983],[42437488,42437580],[42442452,42442596],[42443312,42443418],[42444534,42444643],[42447057,42447684]]","[[42404058,42406308],[42406361,42409422],[42409608,42413024],[42413222,42413410],[42413523,42416442],[42416611,42418401],[42418609,42426697],[42426820,42432103],[42432202,42434832],[42434983,42437488],[42437580,42442452],[42442596,42443312],[42443418,42444534],[42444643,42447057]]",42403946,protein_coding,not_performed,,Full original-molecule linkage required; local +29 alone is insufficient; not a validated primer or observed donor genotype.
B0,ENST00000398367.2,primary_boundary,reference_annotation,GRCh38,21,+,normal,"[[42403820,42404058],[42406308,42406361],[42409422,42409608],[42413024,42413222],[42416442,42416611],[42418401,42418609],[42426697,42426820],[42432103,42432202],[42434832,42434954],[42437488,42437580],[42442452,42442596],[42447057,42447684]]","[[42404058,42406308],[42406361,42409422],[42409608,42413024],[42413222,42416442],[42416611,42418401],[42418609,42426697],[42426820,42432103],[42432202,42434832],[42434954,42437488],[42437580,42442452],[42442596,42447057]]",42403946,protein_coding,not_performed,,Full original-molecule linkage required; local +29 alone is insufficient; not a validated primer or observed donor genotype.
B29,ENST00000398367.2,primary_boundary,conditional_plus29_reference,GRCh38,21,+,plus29,"[[42403820,42404058],[42406308,42406361],[42409422,42409608],[42413024,42413222],[42416442,42416611],[42418401,42418609],[42426697,42426820],[42432103,42432202],[42434832,42434983],[42437488,42437580],[42442452,42442596],[42447057,42447684]]","[[42404058,42406308],[42406361,42409422],[42409608,42413024],[42413222,42416442],[42416611,42418401],[42418609,42426697],[42426820,42432103],[42432202,42434832],[42434983,42437488],[42437580,42442452],[42442596,42447057]]",42403946,protein_coding,not_performed,,Full original-molecule linkage required; local +29 alone is insufficient; not a validated primer or observed donor genotype.
R0,ENST00000635325.1,exploratory_preexisting_NMD_annotation,reference_annotation,GRCh38,21,+,normal,"[[42403881,42404058],[42406308,42406361],[42409422,42409608],[42413024,42413222],[42416442,42416611],[42418401,42418609],[42426697,42426820],[42432103,42432202],[42434832,42434954],[42437488,42437580],[42442452,42442596],[42443154,42443418],[42444534,42444643],[42447057,42447194]]","[[42404058,42406308],[42406361,42409422],[42409608,42413024],[42413222,42416442],[42416611,42418401],[42418609,42426697],[42426820,42432103],[42432202,42434832],[42434954,42437488],[42437580,42442452],[42442596,42443154],[42443418,42444534],[42444643,42447057]]",42403946,nonsense_mediated_decay,not_performed,,Full original-molecule linkage required; local +29 alone is insufficient; not a validated primer or observed donor genotype.
R29,ENST00000635325.1,exploratory_preexisting_NMD_annotation,conditional_plus29_reference,GRCh38,21,+,plus29,"[[42403881,42404058],[42406308,42406361],[42409422,42409608],[42413024,42413222],[42416442,42416611],[42418401,42418609],[42426697,42426820],[42432103,42432202],[42434832,42434983],[42437488,42437580],[42442452,42442596],[42443154,42443418],[42444534,42444643],[42447057,42447194]]","[[42404058,42406308],[42406361,42409422],[42409608,42413024],[42413222,42416442],[42416611,42418401],[42418609,42426697],[42426820,42432103],[42432202,42434832],[42434983,42437488],[42437580,42442452],[42442596,42443154],[42443418,42444534],[42444643,42447057]]",42403946,nonsense_mediated_decay,not_performed,,Full original-molecule linkage required; local +29 alone is insufficient; not a validated primer or observed donor genotype.
C20,ENST00001131803.1,exploratory_other_reference,reference_annotation,GRCh38,21,+,normal,"[[42403820,42404058],[42406308,42406361],[42409422,42409608],[42413024,42413222],[42413410,42413523],[42416442,42416611],[42418401,42418609],[42426697,42426820],[42432103,42432202],[42434832,42434954],[42437488,42437580],[42442452,42442596],[42443312,42443418],[42444534,42444643],[42447057,42447684]]","[[42404058,42406308],[42406361,42409422],[42409608,42413024],[42413222,42413410],[42413523,42416442],[42416611,42418401],[42418609,42426697],[42426820,42432103],[42432202,42434832],[42434954,42437488],[42437580,42442452],[42442596,42443312],[42443418,42444534],[42444643,42447057]]",42403946,protein_coding,not_performed,,Full original-molecule linkage required; local +29 alone is insufficient; not a validated primer or observed donor genotype.
C229,ENST00001131803.1,exploratory_other_reference,conditional_plus29_reference,GRCh38,21,+,plus29,"[[42403820,42404058],[42406308,42406361],[42409422,42409608],[42413024,42413222],[42413410,42413523],[42416442,42416611],[42418401,42418609],[42426697,42426820],[42432103,42432202],[42434832,42434983],[42437488,42437580],[42442452,42442596],[42443312,42443418],[42444534,42444643],[42447057,42447684]]","[[42404058,42406308],[42406361,42409422],[42409608,42413024],[42413222,42413410],[42413523,42416442],[42416611,42418401],[42418609,42426697],[42426820,42432103],[42432202,42434832],[42434983,42437488],[42437580,42442452],[42442596,42443312],[42443418,42444534],[42444643,42447057]]",42403946,protein_coding,not_performed,,Full original-molecule linkage required; local +29 alone is insufficient; not a validated primer or observed donor genotype.
T29,e09f04f5-c617-4bb3-b69c-519ccb16d0f1,exploratory_alternative_ending,published_catalog_model_prior_audit_no_new_molecules,GRCh38,21,+,plus29,"[[42403917,42404058],[42406308,42406361],[42409422,42409608],[42413024,42413222],[42416442,42416611],[42418401,42418609],[42426697,42426820],[42432103,42432202],[42434832,42434983],[42437488,42437580],[42437855,42440816]]","[[42404058,42406308],[42406361,42409422],[42409608,42413024],[42413222,42416442],[42416611,42418401],[42418609,42426697],[42426820,42432103],[42432202,42434832],[42434983,42437488],[42437580,42437855]]",,,not_performed,,Exploratory catalog candidate; full coding identity and ends require experimental confirmation. Cannot replace B29.
