study_id,dataset_id,study_label,sample_group,tissue_id,tissue_label,condition_label,sample_size,quant_method,pmid,study_type,release,cohort_family,context_scope,prior_analysis,query_status,query_scope,primary_variant_status,primary_variant_gene_rows,maximum_PSC_marginal_weight_if_primary_absent
QTS000002,QTD000021,BLUEPRINT,monocyte,CL_0002057,monocyte,naive,191,ge,27863251,bulk,r7,BLUEPRINT,blood-monocyte,True,prior-complete-region; missing-required-PSC-variant,complete prior PRKD2 regional rows,no-exact-target-gene-row,0.0,0.796391448353907
QTS000007,QTD000069,CEDAR,monocyte_CD14,CL_0002057,monocyte,naive,286,microarray,29930244,bulk,r7,CEDAR,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000010,QTD000081,Fairfax_2014,monocyte_naive,CL_0002057,monocyte,naive,420,microarray,24604202,bulk,r7,Fairfax_2014,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000010,QTD000082,Fairfax_2014,monocyte_IFN24,CL_0002057,monocyte,IFNg_24h,370,microarray,24604202,bulk,r7,Fairfax_2014,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000010,QTD000083,Fairfax_2014,monocyte_LPS2,CL_0002057,monocyte,LPS_2h,256,microarray,24604202,bulk,r7,Fairfax_2014,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000010,QTD000084,Fairfax_2014,monocyte_LPS24,CL_0002057,monocyte,LPS_24h,325,microarray,24604202,bulk,r7,Fairfax_2014,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000024,QTD000409,Quach_2016,monocyte_naive,CL_0002057,monocyte,naive,200,ge,27768888,bulk,r7,Quach_2016,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000024,QTD000414,Quach_2016,monocyte_LPS,CL_0002057,monocyte,LPS_6h,184,ge,27768888,bulk,r7,Quach_2016,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000024,QTD000419,Quach_2016,monocyte_Pam3CSK4,CL_0002057,monocyte,Pam3CSK4_6h,196,ge,27768888,bulk,r7,Quach_2016,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000024,QTD000424,Quach_2016,monocyte_R848,CL_0002057,monocyte,R848_6h,191,ge,27768888,bulk,r7,Quach_2016,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000024,QTD000429,Quach_2016,monocyte_IAV,CL_0002057,monocyte,Influenza_6h,198,ge,27768888,bulk,r7,Quach_2016,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
QTS000026,QTD000499,Schmiedel_2018,monocyte_CD16_naive,CL_0002396,CD16+ monocyte,naive,90,ge,30449622,bulk,r7,Schmiedel_2018,blood-monocyte,False,missing-required-PSC-variant,five exact missing-evidence points plus separately verified rs313839 control; indel aliases outside queried positions not excluded,no-exact-target-gene-row,0.0,0.796391448353907
