interface,program_id,group,n,mean,sample_variance_ddof1,variance_status,score_status,units
exact_symbol_ensembl_bijection,ets2_g1_dn,PSC,17,3.5210289148187286,0.025417163683088714,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,ets2_g1_dn,ASC,17,3.502963912546628,0.06238336448003963,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,ets2_g1_dn,AIH,30,3.542123206135288,0.08712099751886347,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,ets2_g1_up,PSC,17,3.764502465851809,0.013293940546404455,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,ets2_g1_up,ASC,17,3.7757380698148104,0.03210865917577207,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,ets2_g1_up,AIH,30,3.7807472195685445,0.026503742953336188,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,ets2_g2_dn,PSC,17,3.607942034693111,0.026241256435622695,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,ets2_g2_dn,ASC,17,3.583752594217168,0.06018578038862504,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,ets2_g2_dn,AIH,30,3.6290919446806567,0.08849987349464038,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,chr21_dn,PSC,17,3.488042128789791,0.06971691550372587,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,chr21_dn,ASC,17,3.4411831647537783,0.1257923801890523,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,chr21_dn,AIH,30,3.542057071802705,0.16948468275394296,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,inflammation,PSC,17,2.903048820488765,0.017369297562907005,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,inflammation,ASC,17,2.8944072978652677,0.03155065550579844,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,inflammation,AIH,30,2.9302351502039823,0.04488566267061804,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,interferon_gamma,PSC,17,3.7915941114287044,0.032069647748143595,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,interferon_gamma,ASC,17,3.7867786808468273,0.041644524372414934,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,interferon_gamma,AIH,30,3.842406950863058,0.07623769634493173,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,oxidative_stress,PSC,17,3.973222772406991,0.009501663217365243,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,oxidative_stress,ASC,17,3.990722896210837,0.028374874717071202,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,oxidative_stress,AIH,30,3.987120059236268,0.029105505519975972,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,apoptotic_signaling,PSC,17,3.8496944763808507,0.015060204490938766,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,apoptotic_signaling,ASC,17,3.866769837097769,0.03451995454978225,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,apoptotic_signaling,AIH,30,3.8696850110741265,0.035772200590555074,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,ets2_g1_dn_without_comparators,PSC,17,3.542121568833118,0.021448642905402146,finite_positive,available,mean_of_member_log2_1_plus_CPM
exact_symbol_ensembl_bijection,ets2_g1_dn_without_comparators,ASC,17,3.5272988835211394,0.05544287830844332,finite_positive,available,mean_of_member_log2_1_plus_CPM
