gene_id,gene_name,gene_version,biotype,strand,tss_grch38_1based,gene_start_grch38_1based,gene_end_grch38_1based,in_model_transcript_tss_universe
ENSG00000011485,PPP5C,17,protein_coding,1,46346994,46346994,46393000,True
ENSG00000042753,AP2S1,14,protein_coding,-1,46850962,46838136,46850962,True
ENSG00000090372,STRN4,16,protein_coding,-1,46746994,46719507,46746994,True
ENSG00000105281,SLC1A5,15,protein_coding,-1,46788617,46758394,46788617,True
ENSG00000105287,PRKD2,15,protein_coding,-1,46717144,46673661,46717144,True
ENSG00000105327,BBC3,20,protein_coding,-1,47233019,47220822,47233019,True
ENSG00000124440,HIF3A,17,protein_coding,1,46297026,46297026,46343433,True
ENSG00000130748,TMEM160,8,protein_coding,-1,47048650,47045909,47048650,True
ENSG00000130749,ZC3H4,10,protein_coding,-1,47113776,47064187,47113776,True
ENSG00000130751,NPAS1,12,protein_coding,1,47019474,47019474,47047242,True
ENSG00000142230,SAE1,15,protein_coding,1,47113274,47113274,47210636,True
ENSG00000160007,ARHGAP35,22,protein_coding,1,46860433,46860433,47005077,True
ENSG00000160013,PTGIR,12,protein_coding,-1,46625534,46618550,46625534,True
ENSG00000160014,CALM3,19,protein_coding,1,46601074,46601074,46610795,True
ENSG00000167414,GNG8,7,protein_coding,-1,46639623,46633947,46639623,True
ENSG00000169515,CCDC8,9,protein_coding,-1,46413564,46410329,46413564,True
ENSG00000181027,FKRP,13,protein_coding,1,46746046,46746046,46776988,True
ENSG00000182013,PNMA8A,20,protein_coding,-1,46471572,46466491,46471572,True
ENSG00000188293,IGFL1,8,protein_coding,1,46229732,46229732,46231243,True
ENSG00000197380,DACT3,12,protein_coding,-1,46661199,46646872,46661199,True
ENSG00000199796,RNU6-924P,1,snRNA,-1,46306577,46306470,46306577,True
ENSG00000204850,ENSG00000204850,4,lncRNA,1,46494508,46494508,46496502,True
ENSG00000204851,PNMA8B,7,protein_coding,-1,46495879,46486906,46495879,True
ENSG00000211513,MIR320E,5,miRNA,-1,46709345,46709293,46709345,True
ENSG00000222614,Y_RNA,1,misc_RNA,1,46736312,46736312,46736419,True
ENSG00000230510,PPP5D1P,10,transcribed_unprocessed_pseudogene,-1,46527072,46525663,46527072,True
ENSG00000243560,RN7SL364P,3,misc_RNA,-1,46689068,46688797,46689068,True
ENSG00000245598,DACT3-AS1,8,lncRNA,1,46660308,46660308,46678991,True
ENSG00000249210,GAPDHP38,1,processed_pseudogene,1,46558641,46558641,46559642,True
ENSG00000265134,MIR3190,1,miRNA,1,47226942,47226942,47227021,True
ENSG00000268238,IGFL1P2,1,unprocessed_pseudogene,-1,46260858,46260420,46260858,True
ENSG00000268460,ENSG00000268460,2,lncRNA,1,46201552,46201552,46214838,True
ENSG00000268621,IGFL2-AS1,7,lncRNA,-1,46203163,46189029,46203163,True
ENSG00000268879,IGFL1P1,1,unprocessed_pseudogene,1,46196238,46196238,46197323,True
ENSG00000269014,ENSG00000269014,1,processed_pseudogene,-1,46828440,46826895,46828440,True
ENSG00000269124,ENSG00000269124,1,lncRNA,-1,46340004,46320197,46340004,True
ENSG00000269151,PPP5C-AS1,5,lncRNA,-1,46408826,46366243,46408826,True
ENSG00000269292,ENSG00000269292,1,lncRNA,-1,46610779,46609277,46610779,True
ENSG00000269487,ENSG00000269487,1,lncRNA,1,46728603,46728603,46732700,True
ENSG00000269576,HNRNPMP2,1,processed_pseudogene,1,46809585,46809585,46810183,True
ENSG00000269637,RPL12P41,1,processed_pseudogene,1,46219423,46219423,46219920,True
ENSG00000269745,ENSG00000269745,1,lncRNA,-1,46230388,46228964,46230388,True
ENSG00000275719,ENSG00000275719,1,lncRNA,1,46787815,46787815,46789043,True
ENSG00000275862,ENSG00000275862,1,processed_pseudogene,1,46809583,46809583,46810182,True
ENSG00000277531,PNMA8C,3,protein_coding,-1,46428936,46424697,46428936,True
ENSG00000277748,ENSG00000277748,1,transcribed_unprocessed_pseudogene,-1,46250163,46249394,46250163,True
ENSG00000278797,ENSG00000278797,1,unprocessed_pseudogene,1,46533669,46533669,46534351,True
ENSG00000279161,ENSG00000279161,1,TEC,-1,46639161,46636810,46639161,True
ENSG00000284411,MIR3191,1,miRNA,-1,47227019,47226944,47227019,True
ENSG00000291145,ENSG00000291145,2,lncRNA,-1,46601200,46480786,46601200,True
ENSG00000297792,ENSG00000297792,1,lncRNA,-1,46631642,46630495,46631642,False
ENSG00000300899,ENSG00000300899,1,lncRNA,-1,46639172,46637741,46639172,False
ENSG00000302712,ENSG00000302712,1,lncRNA,1,46611050,46611050,46622099,False
ENSG00000305038,ENSG00000305038,1,lncRNA,1,46408422,46408422,46410633,False
ENSG00000305735,ENSG00000305735,1,lncRNA,-1,46250208,46233552,46250208,False
ENSG00000305748,ENSG00000305748,1,lncRNA,1,46240406,46240406,46255836,False
ENSG00000306538,ENSG00000306538,1,lncRNA,-1,46861889,46859023,46861889,False
ENSG00000307653,ENSG00000307653,1,lncRNA,1,46413749,46413749,46414374,False
ENSG00000307953,ENSG00000307953,1,lncRNA,-1,47021491,47013339,47021491,False
ENSG00000308160,ENSG00000308160,1,lncRNA,-1,47100353,47100090,47100353,False
ENSG00000309679,ENSG00000309679,1,lncRNA,1,46822199,46822199,46822468,False
