database_id,set_id,source_group,source_record_id,source_header,sequence_sha256,protein_length
P_66021c9cb2037fee58fabaca,uniprot_2026_03_all_human_isoforms,human_reference,sp|P57075|UBS3A_HUMAN,sp|P57075|UBS3A_HUMAN Ubiquitin-associated and SH3 domain-containing protein A OS=Homo sapiens OX=9606 GN=UBASH3A PE=1 SV=1,66021c9cb2037fee58fabacac260fd27f7a13ddeb61df5ea34c1f1c22a179c20,661
P_4725f4eae7b9cb4ae9423fd1,uniprot_2026_03_all_human_isoforms,human_reference,sp|P57075-2|UBS3A_HUMAN,sp|P57075-2|UBS3A_HUMAN Isoform 2 of Ubiquitin-associated and SH3 domain-containing protein A OS=Homo sapiens OX=9606 GN=UBASH3A,4725f4eae7b9cb4ae9423fd18952a2534012c9353279b78181d8f54efd0450e3,623
P_c44e917f5b472291489e91ff,uniprot_2026_03_all_human_isoforms,human_reference,sp|P57075-3|UBS3A_HUMAN,sp|P57075-3|UBS3A_HUMAN Isoform 3 of Ubiquitin-associated and SH3 domain-containing protein A OS=Homo sapiens OX=9606 GN=UBASH3A,c44e917f5b472291489e91ff0ed0c9ff30151907c95fb0fc2cd966d857f4e9ce,526
P_c4bacc2667c082706ce605a8,uniprot_2026_03_all_human_isoforms,human_reference,tr|A0A0U1RQL4|A0A0U1RQL4_HUMAN,tr|A0A0U1RQL4|A0A0U1RQL4_HUMAN Ubiquitin associated and SH3 domain containing A (Fragment) OS=Homo sapiens OX=9606 GN=UBASH3A PE=1 SV=1,c4bacc2667c082706ce605a8c18b413fe28a8b172f2a3ca5e3840d934eb87d0d,169
P_a26e5c8c2cc6ee661d267ad8,uniprot_2026_03_all_human_isoforms,human_reference,tr|A0A0U1RQY9|A0A0U1RQY9_HUMAN,tr|A0A0U1RQY9|A0A0U1RQY9_HUMAN Ubiquitin associated and SH3 domain containing A OS=Homo sapiens OX=9606 GN=UBASH3A PE=1 SV=1,a26e5c8c2cc6ee661d267ad878807751bf8d34a2bf5385ed41b7c8b919e213db,451
P_65aa5f961b3bbb0a378b4898,uniprot_2026_03_all_human_isoforms,human_reference,tr|A0A0U1RR03|A0A0U1RR03_HUMAN,tr|A0A0U1RR03|A0A0U1RR03_HUMAN Ubiquitin associated and SH3 domain containing A OS=Homo sapiens OX=9606 GN=UBASH3A PE=1 SV=1,65aa5f961b3bbb0a378b489823512b18a62f4c2161b8aaa5e75d4cc6b1aafdd2,55
P_98e08903f05d8251a6693644,uniprot_2026_03_all_human_isoforms,human_reference,tr|A0A0U1RR38|A0A0U1RR38_HUMAN,tr|A0A0U1RR38|A0A0U1RR38_HUMAN Ubiquitin associated and SH3 domain containing A OS=Homo sapiens OX=9606 GN=UBASH3A PE=1 SV=1,98e08903f05d8251a6693644bb966f2e21414eba2d8f3081706ed2aab5121d3e,38
P_8f0975cc852f62113aad5f68,uniprot_2026_03_all_human_isoforms,human_reference,tr|A0A0U1RRC9|A0A0U1RRC9_HUMAN,tr|A0A0U1RRC9|A0A0U1RRC9_HUMAN Ubiquitin associated and SH3 domain containing A OS=Homo sapiens OX=9606 GN=UBASH3A PE=1 SV=1,8f0975cc852f62113aad5f68e4343728e63ad80e2fb7d939155dd7aa34090f6d,521
P_c4bacc2667c082706ce605a8,gencode_v50_comprehensive_translations,human_reference,ENSP00000489058.1|ENST00000635189.1|ENSG00000160185.16|OTTHUMG00000086805.3|OTTHUMT00000488680.1|UBASH3A-208|UBASH3A|169,ENSP00000489058.1|ENST00000635189.1|ENSG00000160185.16|OTTHUMG00000086805.3|OTTHUMT00000488680.1|UBASH3A-208|UBASH3A|169,c4bacc2667c082706ce605a8c18b413fe28a8b172f2a3ca5e3840d934eb87d0d,169
P_4725f4eae7b9cb4ae9423fd1,gencode_v50_comprehensive_translations,human_reference,ENSP00000291535.6|ENST00000291535.12|ENSG00000160185.16|OTTHUMG00000086805.3|OTTHUMT00000195383.2|UBASH3A-201|UBASH3A|623,ENSP00000291535.6|ENST00000291535.12|ENSG00000160185.16|OTTHUMG00000086805.3|OTTHUMT00000195383.2|UBASH3A-201|UBASH3A|623,4725f4eae7b9cb4ae9423fd18952a2534012c9353279b78181d8f54efd0450e3,623
P_c44e917f5b472291489e91ff,gencode_v50_comprehensive_translations,human_reference,ENSP00000381408.1|ENST00000398367.2|ENSG00000160185.16|OTTHUMG00000086805.3|OTTHUMT00000195384.1|UBASH3A-203|UBASH3A|526,ENSP00000381408.1|ENST00000398367.2|ENSG00000160185.16|OTTHUMG00000086805.3|OTTHUMT00000195384.1|UBASH3A-203|UBASH3A|526,c44e917f5b472291489e91ff0ed0c9ff30151907c95fb0fc2cd966d857f4e9ce,526
P_66021c9cb2037fee58fabaca,gencode_v50_comprehensive_translations,human_reference,ENSP00000806534.1|ENST00001131803.1|ENSG00000160185.16|OTTHUMG00000086805.3|-|UBASH3A-210|UBASH3A|661,ENSP00000806534.1|ENST00001131803.1|ENSG00000160185.16|OTTHUMG00000086805.3|-|UBASH3A-210|UBASH3A|661,66021c9cb2037fee58fabacac260fd27f7a13ddeb61df5ea34c1f1c22a179c20,661
P_65aa5f961b3bbb0a378b4898,gencode_v50_comprehensive_translations,human_reference,ENSP00000489263.1|ENST00000635108.1|ENSG00000160185.16|OTTHUMG00000086805.3|OTTHUMT00000488681.1|UBASH3A-207|UBASH3A|55,ENSP00000489263.1|ENST00000635108.1|ENSG00000160185.16|OTTHUMG00000086805.3|OTTHUMT00000488681.1|UBASH3A-207|UBASH3A|55,65aa5f961b3bbb0a378b489823512b18a62f4c2161b8aaa5e75d4cc6b1aafdd2,55
P_8f0975cc852f62113aad5f68,gencode_v50_comprehensive_translations,human_reference,ENSP00000489463.1|ENST00000635325.1|ENSG00000160185.16|OTTHUMG00000086805.3|OTTHUMT00000488682.1|UBASH3A-209|UBASH3A|521,ENSP00000489463.1|ENST00000635325.1|ENSG00000160185.16|OTTHUMG00000086805.3|OTTHUMT00000488682.1|UBASH3A-209|UBASH3A|521,8f0975cc852f62113aad5f68e4343728e63ad80e2fb7d939155dd7aa34090f6d,521
P_66021c9cb2037fee58fabaca,gencode_v50_comprehensive_translations,human_reference,ENSP00000317327.6|ENST00000319294.11|ENSG00000160185.16|OTTHUMG00000086805.3|OTTHUMT00000195382.2|UBASH3A-202|UBASH3A|661,ENSP00000317327.6|ENST00000319294.11|ENSG00000160185.16|OTTHUMG00000086805.3|OTTHUMT00000195382.2|UBASH3A-202|UBASH3A|661,66021c9cb2037fee58fabacac260fd27f7a13ddeb61df5ea34c1f1c22a179c20,661
P_98e08903f05d8251a6693644,gencode_v50_comprehensive_translations,human_reference,ENSP00000489323.1|ENST00000634718.1|ENSG00000160185.16|OTTHUMG00000086805.3|OTTHUMT00000488684.1|UBASH3A-206|UBASH3A|38,ENSP00000489323.1|ENST00000634718.1|ENSG00000160185.16|OTTHUMG00000086805.3|OTTHUMT00000488684.1|UBASH3A-206|UBASH3A|38,98e08903f05d8251a6693644bb966f2e21414eba2d8f3081706ed2aab5121d3e,38
P_a26e5c8c2cc6ee661d267ad8,gencode_v50_comprehensive_translations,human_reference,ENSP00000489235.1|ENST00000473381.1|ENSG00000160185.16|OTTHUMG00000086805.3|OTTHUMT00000195385.2|UBASH3A-204|UBASH3A|451,ENSP00000489235.1|ENST00000473381.1|ENSG00000160185.16|OTTHUMG00000086805.3|OTTHUMT00000195385.2|UBASH3A-204|UBASH3A|451,a26e5c8c2cc6ee661d267ad878807751bf8d34a2bf5385ed41b7c8b919e213db,451
P_4725f4eae7b9cb4ae9423fd1,previous_twenty_models,previous_models,ENST00000291535.12__normal_A,ENST00000291535.12__normal_A terminal_stop_omitted splice=normal allele=A conditional_sequence_only,4725f4eae7b9cb4ae9423fd18952a2534012c9353279b78181d8f54efd0450e3,623
P_4725f4eae7b9cb4ae9423fd1,previous_twenty_models,previous_models,ENST00000291535.12__normal_C,ENST00000291535.12__normal_C terminal_stop_omitted splice=normal allele=C conditional_sequence_only,4725f4eae7b9cb4ae9423fd18952a2534012c9353279b78181d8f54efd0450e3,623
