dataset_id,phenotype_id,quant_id,group_id,gene_id,chromosome,gene_start,gene_end,strand,gene_name,gene_type,gene_version,phenotype_pos,gene_gc_content,intron_start,intron_end,group_start,group_end,gene_count,gene_pos
QTD000377,21:42404058:42406308:clu_31401_-,clu_31401_-,clu_31401_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42405183,49.32,42404058,42406308,42404058,42406308,1,42403447
QTD000377,21:42404184:42406308:clu_31401_-,clu_31401_-,clu_31401_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42405183,49.32,42404184,42406308,42404058,42406308,1,42403447
QTD000377,21:42409608:42410116:clu_31402_-,clu_31402_-,clu_31402_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42411316,49.32,42409608,42410116,42409608,42413024,1,42403447
QTD000377,21:42409608:42413024:clu_31402_-,clu_31402_-,clu_31402_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42411316,49.32,42409608,42413024,42409608,42413024,1,42403447
QTD000377,21:42410635:42413024:clu_31402_-,clu_31402_-,clu_31402_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42411316,49.32,42410635,42413024,42409608,42413024,1,42403447
QTD000377,21:42413222:42413410:clu_31403_-,clu_31403_-,clu_31403_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42415812,49.32,42413222,42413410,42413222,42418401,1,42403447
QTD000377,21:42413222:42413441:clu_31403_-,clu_31403_-,clu_31403_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42415812,49.32,42413222,42413441,42413222,42418401,1,42403447
QTD000377,21:42413222:42416442:clu_31403_-,clu_31403_-,clu_31403_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42415812,49.32,42413222,42416442,42413222,42418401,1,42403447
QTD000377,21:42413222:42418401:clu_31403_-,clu_31403_-,clu_31403_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42415812,49.32,42413222,42418401,42413222,42418401,1,42403447
QTD000377,21:42413523:42416442:clu_31403_-,clu_31403_-,clu_31403_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42415812,49.32,42413523,42416442,42413222,42418401,1,42403447
QTD000377,21:42416308:42416442:clu_31403_-,clu_31403_-,clu_31403_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42415812,49.32,42416308,42416442,42413222,42418401,1,42403447
QTD000377,21:42416611:42418401:clu_31403_-,clu_31403_-,clu_31403_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42415812,49.32,42416611,42418401,42413222,42418401,1,42403447
QTD000377,21:42432202:42434832:clu_31404_-,clu_31404_-,clu_31404_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42434872,49.32,42432202,42434832,42432202,42437542,1,42403447
QTD000377,21:42432202:42437488:clu_31404_-,clu_31404_-,clu_31404_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42434872,49.32,42432202,42437488,42432202,42437542,1,42403447
QTD000377,21:42434954:42437488:clu_31404_-,clu_31404_-,clu_31404_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42434872,49.32,42434954,42437488,42432202,42437542,1,42403447
QTD000377,21:42434954:42437542:clu_31404_-,clu_31404_-,clu_31404_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42434872,49.32,42434954,42437542,42432202,42437542,1,42403447
QTD000377,21:42434983:42437488:clu_31404_-,clu_31404_-,clu_31404_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42434872,49.32,42434983,42437488,42432202,42437542,1,42403447
QTD000377,21:42435509:42437488:clu_31404_-,clu_31404_-,clu_31404_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42434872,49.32,42435509,42437488,42432202,42437542,1,42403447
QTD000377,21:42436437:42437488:clu_31404_-,clu_31404_-,clu_31404_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42434872,49.32,42436437,42437488,42432202,42437542,1,42403447
QTD000377,21:42437580:42442452:clu_31405_-,clu_31405_-,clu_31405_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42440016,49.32,42437580,42442452,42437580,42442452,1,42403447
QTD000377,21:42437596:42442452:clu_31405_-,clu_31405_-,clu_31405_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42440016,49.32,42437596,42442452,42437580,42442452,1,42403447
QTD000377,21:42442596:42443154:clu_31406_-,clu_31406_-,clu_31406_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42444827,49.32,42442596,42443154,42442596,42447057,1,42403447
QTD000377,21:42442596:42443312:clu_31406_-,clu_31406_-,clu_31406_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42444827,49.32,42442596,42443312,42442596,42447057,1,42403447
QTD000377,21:42442596:42447057:clu_31406_-,clu_31406_-,clu_31406_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42444827,49.32,42442596,42447057,42442596,42447057,1,42403447
QTD000377,21:42444643:42447057:clu_31406_-,clu_31406_-,clu_31406_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42444827,49.32,42444643,42447057,42442596,42447057,1,42403447
QTD000377,21:42444833:42447057:clu_31406_-,clu_31406_-,clu_31406_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42444827,49.32,42444833,42447057,42442596,42447057,1,42403447
QTD000377,21:42445819:42447057:clu_31406_-,clu_31406_-,clu_31406_-,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42444827,49.32,42445819,42447057,42442596,42447057,1,42403447
QTD000553,21:42413222:42413410:clu_10999_+,clu_10999_+,clu_10999_+,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42414832,49.32,42413222,42413410,42413222,42416442,1,42403447
QTD000553,21:42413222:42416442:clu_10999_+,clu_10999_+,clu_10999_+,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42414832,49.32,42413222,42416442,42413222,42416442,1,42403447
QTD000553,21:42413523:42416442:clu_10999_+,clu_10999_+,clu_10999_+,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42414832,49.32,42413523,42416442,42413222,42416442,1,42403447
QTD000553,21:42416308:42416442:clu_10999_+,clu_10999_+,clu_10999_+,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42414832,49.32,42416308,42416442,42413222,42416442,1,42403447
QTD000553,21:42432202:42434832:clu_11000_+,clu_11000_+,clu_11000_+,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42434845,49.32,42432202,42434832,42432202,42437488,1,42403447
QTD000553,21:42432202:42437488:clu_11000_+,clu_11000_+,clu_11000_+,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42434845,49.32,42432202,42437488,42432202,42437488,1,42403447
QTD000553,21:42434954:42437488:clu_11000_+,clu_11000_+,clu_11000_+,ENSG00000160185,21,42403447,42447684,1,UBASH3A,protein_coding,15,42434845,49.32,42434954,42437488,42432202,42437488,1,42403447
