experiment,biosample_ids,donor_ids,unresolved_replicates,status
ENCSR000ASI,ENCBS188BKX;ENCBS865RXK,ENCDO265AAA,0,resolved
ENCSR000ASO,ENCBS188BKX;ENCBS865RXK,ENCDO265AAA,0,resolved
ENCSR000ASQ,ENCBS188BKX;ENCBS865RXK,ENCDO265AAA,0,resolved
ENCSR000ATE,ENCBS188BKX;ENCBS865RXK,ENCDO265AAA,0,resolved
ENCSR000ATF,ENCBS188BKX;ENCBS865RXK,ENCDO265AAA,0,resolved
ENCSR012PII,ENCBS945EIT,ENCDO190HXC,0,resolved
ENCSR080XUB,ENCBS945EIT,ENCDO190HXC,0,resolved
ENCSR236JVK,ENCBS945EIT,ENCDO190HXC,0,resolved
ENCSR244XWL,ENCBS945EIT,ENCDO190HXC,0,resolved
ENCSR264LON,ENCBS080GJD,ENCDO187BUH,0,resolved
ENCSR400VWA,ENCBS945EIT,ENCDO190HXC,0,resolved
ENCSR452DCM,ENCBS945EIT,ENCDO190HXC,0,resolved
ENCSR464ETX,ENCBS087UPP,ENCDO733YAB,0,resolved
ENCSR796FCS,ENCBS375RID,ENCDO028NGF,0,resolved
ENCSR905LVO,ENCBS375RID,ENCDO028NGF,0,resolved
ENCSR968ACN,ENCBS929PLQ,ENCDO553CCA,0,resolved
