sample,query_name,event,qualified_anchor20,qualified_anchor10,sensitivity_same_event_qualified,sensitivity_primary_events,dp_status,dp_normal_score,dp_plus29_score,dp_plus29_minus_normal
NCD4,DRR465268.132722,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,172.0,139.0,-33.0
NCD4,DRR465268.193177,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,163.0,130.0,-33.0
NCD4,DRR465268.223580,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,202.0,169.0,-33.0
NCD4,DRR465268.276749,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,185.0,152.0,-33.0
NCD4,DRR465268.357692,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,152.0,123.0,-29.0
NCD4,DRR465268.400575,normal,False,True,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,191.0,158.0,-33.0
NCD4,DRR465268.509633,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,202.0,169.0,-33.0
NCD4,DRR465268.555054,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,185.0,152.0,-33.0
NCD4,DRR465268.648570,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,192.0,159.0,-33.0
NCD4,DRR465268.659893,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,202.0,169.0,-33.0
NCD4,DRR465268.692991,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,162.0,129.0,-33.0
NCD4,DRR465268.699907,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,195.0,162.0,-33.0
NCD4,DRR465268.772528,normal,False,True,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,170.0,137.0,-33.0
NCD4,DRR465268.847344,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,167.0,134.0,-33.0
NCD4,DRR465268.940557,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,190.0,157.0,-33.0
NCD4,DRR465268.959771,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,190.0,157.0,-33.0
NCD4,DRR465268.988820,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,202.0,169.0,-33.0
NCD4,DRR465268.1049430,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,197.0,164.0,-33.0
NCD4,DRR465268.1120947,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,188.0,159.0,-29.0
NCD4,DRR465268.1130724,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,192.0,159.0,-33.0
NCD4,DRR465268.1197967,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,190.0,157.0,-33.0
NCD4,DRR465268.1293283,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,195.0,162.0,-33.0
NCD4,DRR465268.1311962,normal,False,False,False,normal,descriptive_global_affine_gap_scores_reference_A_templates,187.0,162.0,-25.0
NCD4,DRR465268.1388163,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,190.0,157.0,-33.0
NCD4,DRR465268.1415610,normal,True,True,True,normal,descriptive_global_affine_gap_scores_reference_A_templates,178.0,145.0,-33.0
