sample,setting,donor_exon_end_1based,acceptor_exon_start_1based,primary_alignment_count,quality_filter
NCD4,primary,42432202,42437488,3,none_beyond_primary_mapped_alignment
NCD4,primary,42434950,42437488,1,none_beyond_primary_mapped_alignment
NCD4,primary,42434954,42437488,85,none_beyond_primary_mapped_alignment
NCD4,primary,42435509,42437488,3,none_beyond_primary_mapped_alignment
NCD4,primary,42437355,42437488,1,none_beyond_primary_mapped_alignment
NCD4,primary,42437580,42442452,89,none_beyond_primary_mapped_alignment
NCD4,splice_flank_no,42432202,42437488,3,none_beyond_primary_mapped_alignment
NCD4,splice_flank_no,42434950,42437488,1,none_beyond_primary_mapped_alignment
NCD4,splice_flank_no,42434954,42437488,85,none_beyond_primary_mapped_alignment
NCD4,splice_flank_no,42435509,42437488,3,none_beyond_primary_mapped_alignment
NCD4,splice_flank_no,42437355,42437488,1,none_beyond_primary_mapped_alignment
NCD4,splice_flank_no,42437580,42442452,89,none_beyond_primary_mapped_alignment
MemCD4,primary,42432202,42437488,5,none_beyond_primary_mapped_alignment
MemCD4,primary,42434950,42437488,1,none_beyond_primary_mapped_alignment
MemCD4,primary,42434954,42437488,49,none_beyond_primary_mapped_alignment
MemCD4,primary,42436437,42437488,2,none_beyond_primary_mapped_alignment
MemCD4,primary,42437580,42441748,2,none_beyond_primary_mapped_alignment
MemCD4,primary,42437580,42442452,58,none_beyond_primary_mapped_alignment
MemCD4,splice_flank_no,42432202,42437488,5,none_beyond_primary_mapped_alignment
MemCD4,splice_flank_no,42434950,42437488,1,none_beyond_primary_mapped_alignment
MemCD4,splice_flank_no,42434954,42437488,49,none_beyond_primary_mapped_alignment
MemCD4,splice_flank_no,42436437,42437488,2,none_beyond_primary_mapped_alignment
MemCD4,splice_flank_no,42437580,42441748,2,none_beyond_primary_mapped_alignment
MemCD4,splice_flank_no,42437580,42442452,58,none_beyond_primary_mapped_alignment
