scenario_id,exon_number,exon_id,genomic_start_1based,genomic_end_1based,cdna_start_0based,cdna_end_0based_exclusive
ENST00000291535.12__normal_A,1,ENSE00004779414,42403820,42404058,0,239
ENST00000291535.12__normal_A,2,ENSE00003583784,42406308,42406361,239,293
ENST00000291535.12__normal_A,3,ENSE00003588403,42409422,42409608,293,480
ENST00000291535.12__normal_A,4,ENSE00003658789,42413024,42413222,480,679
ENST00000291535.12__normal_A,5,ENSE00003563179,42416442,42416611,679,849
ENST00000291535.12__normal_A,6,ENSE00003689328,42418401,42418609,849,1058
ENST00000291535.12__normal_A,7,ENSE00003601029,42426697,42426820,1058,1182
ENST00000291535.12__normal_A,8,ENSE00003568239,42432103,42432202,1182,1282
ENST00000291535.12__normal_A,9,ENSE00001259628,42434832,42434954,1282,1405
ENST00000291535.12__normal_A,10,ENSE00001050381,42437488,42437580,1405,1498
ENST00000291535.12__normal_A,11,ENSE00003471164,42442452,42442596,1498,1643
ENST00000291535.12__normal_A,12,ENSE00003593464,42443312,42443418,1643,1750
ENST00000291535.12__normal_A,13,ENSE00003665179,42444534,42444643,1750,1860
ENST00000291535.12__normal_A,14,ENSE00004779413,42447057,42447684,1860,2488
ENST00000291535.12__normal_C,1,ENSE00004779414,42403820,42404058,0,239
ENST00000291535.12__normal_C,2,ENSE00003583784,42406308,42406361,239,293
ENST00000291535.12__normal_C,3,ENSE00003588403,42409422,42409608,293,480
ENST00000291535.12__normal_C,4,ENSE00003658789,42413024,42413222,480,679
ENST00000291535.12__normal_C,5,ENSE00003563179,42416442,42416611,679,849
ENST00000291535.12__normal_C,6,ENSE00003689328,42418401,42418609,849,1058
ENST00000291535.12__normal_C,7,ENSE00003601029,42426697,42426820,1058,1182
ENST00000291535.12__normal_C,8,ENSE00003568239,42432103,42432202,1182,1282
ENST00000291535.12__normal_C,9,ENSE00001259628,42434832,42434954,1282,1405
ENST00000291535.12__normal_C,10,ENSE00001050381,42437488,42437580,1405,1498
ENST00000291535.12__normal_C,11,ENSE00003471164,42442452,42442596,1498,1643
ENST00000291535.12__normal_C,12,ENSE00003593464,42443312,42443418,1643,1750
ENST00000291535.12__normal_C,13,ENSE00003665179,42444534,42444643,1750,1860
ENST00000291535.12__normal_C,14,ENSE00004779413,42447057,42447684,1860,2488
ENST00000291535.12__plus29_A,1,ENSE00004779414,42403820,42404058,0,239
ENST00000291535.12__plus29_A,2,ENSE00003583784,42406308,42406361,239,293
ENST00000291535.12__plus29_A,3,ENSE00003588403,42409422,42409608,293,480
ENST00000291535.12__plus29_A,4,ENSE00003658789,42413024,42413222,480,679
ENST00000291535.12__plus29_A,5,ENSE00003563179,42416442,42416611,679,849
ENST00000291535.12__plus29_A,6,ENSE00003689328,42418401,42418609,849,1058
ENST00000291535.12__plus29_A,7,ENSE00003601029,42426697,42426820,1058,1182
ENST00000291535.12__plus29_A,8,ENSE00003568239,42432103,42432202,1182,1282
ENST00000291535.12__plus29_A,9,ENSE00001259628,42434832,42434983,1282,1434
ENST00000291535.12__plus29_A,10,ENSE00001050381,42437488,42437580,1434,1527
ENST00000291535.12__plus29_A,11,ENSE00003471164,42442452,42442596,1527,1672
ENST00000291535.12__plus29_A,12,ENSE00003593464,42443312,42443418,1672,1779
ENST00000291535.12__plus29_A,13,ENSE00003665179,42444534,42444643,1779,1889
ENST00000291535.12__plus29_A,14,ENSE00004779413,42447057,42447684,1889,2517
ENST00000291535.12__plus29_C,1,ENSE00004779414,42403820,42404058,0,239
ENST00000291535.12__plus29_C,2,ENSE00003583784,42406308,42406361,239,293
ENST00000291535.12__plus29_C,3,ENSE00003588403,42409422,42409608,293,480
ENST00000291535.12__plus29_C,4,ENSE00003658789,42413024,42413222,480,679
ENST00000291535.12__plus29_C,5,ENSE00003563179,42416442,42416611,679,849
