experiment,run,sample,source_library_name,source_sample_name,initial_audit_selected,selection_reason,donor_unit,sequencing_unit,platform,layout
DRX449504,DRR465268,DRS304572,NCD4,Nai_ve CD4,True,Broad naive/memory CD4 classes fixed before raw-read inspection,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449505,DRR465269,DRS304571,MemCD4,Mem CD4,True,Broad naive/memory CD4 classes fixed before raw-read inspection,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449506,DRR465270,DRS304570,Fra1Treg,FraI nTreg,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449507,DRR465271,DRS304569,Fra2Treg,FraII aTreg,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449508,DRR465272,DRS304568,Fra3Treg,FraIII non-Treg,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449509,DRR465273,DRS304567,LAG3Treg,LAG3 Treg,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449510,DRR465274,DRS304566,Th1,Th1,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449511,DRR465275,DRS304565,Th2,Th2,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449512,DRR465276,DRS304564,Th17,Th17,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449513,DRR465277,DRS304563,X3lowR6negT,X3lowR6negT,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449514,DRR465278,DRS304562,Tfh,Tfh,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449515,DRR465279,DRS304561,EffCD8,Eff CD8,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449516,DRR465280,DRS304560,CMCD8,CM CD8,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449517,DRR465281,DRS304559,EMCD8,EM CD8,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449518,DRR465282,DRS304558,NaiveB,Nai_ve B,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449519,DRR465283,DRS304557,SMB,SM B,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449520,DRR465284,DRS304556,USMB,USM B,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449521,DRR465285,DRS304555,DNB,DN B,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449522,DRR465286,DRS304554,Plasmablast,Plasmablast,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449523,DRR465287,DRS304553,NK,NK,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449524,DRR465288,DRS304552,CLMono,CL Mono,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449525,DRR465289,DRS304551,NCMono,NC Mono,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449526,DRR465290,DRS304550,IntMono,Int Mono,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449527,DRR465291,DRS304549,CD16pMono,CD16p Mono,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449528,DRR465292,DRS304548,mDC,mDC,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449529,DRR465293,DRS304547,pDC,pDC,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449530,DRR465294,DRS304546,Neutrophil,Neu,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449531,DRR465295,DRS304545,NCD8,Nai_ve CD8,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
DRX449532,DRR465296,DRS304544,PBMC,PBMC,False,Outside initial two-subset audit,TRAILS_original_single_donor,amplified_cDNA_read_not_unique_original_RNA,MinION,SINGLE
