experiment,file_accession,group,source_line,chromosome,start0,end0,source_fields_json
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41263,chr19,46191616,46194693,"[""chr19"",""46191616"",""46194693"",""Peak_8320"",""156"",""."",""15.95085"",""124.53274"",""121.68734"",""1993""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41264,chr19,46208904,46209589,"[""chr19"",""46208904"",""46209589"",""Peak_128636"",""12"",""."",""2.71272"",""4.10195"",""2.56955"",""465""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41265,chr19,46257010,46257720,"[""chr19"",""46257010"",""46257720"",""Peak_41788"",""23"",""."",""5.62331"",""13.57944"",""11.70550"",""221""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41267,chr19,46346421,46347659,"[""chr19"",""46346421"",""46347659"",""Peak_13652"",""96"",""."",""17.08622"",""74.33306"",""71.81896"",""886""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41268,chr19,46349387,46352463,"[""chr19"",""46349387"",""46352463"",""Peak_23539"",""46"",""."",""10.58561"",""32.56419"",""30.41052"",""1520""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41269,chr19,46356291,46356751,"[""chr19"",""46356291"",""46356751"",""Peak_83851"",""15"",""."",""3.75477"",""6.43161"",""4.76922"",""315""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41273,chr19,46489802,46490454,"[""chr19"",""46489802"",""46490454"",""Peak_52802"",""19"",""."",""5.04077"",""10.16106"",""8.36854"",""488""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41274,chr19,46529039,46531008,"[""chr19"",""46529039"",""46531008"",""Peak_9302"",""142"",""."",""12.13143"",""112.75179"",""109.97898"",""1491""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41275,chr19,46550545,46551919,"[""chr19"",""46550545"",""46551919"",""Peak_20767"",""55"",""."",""8.12395"",""40.02904"",""37.79916"",""1016""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41276,chr19,46555524,46556505,"[""chr19"",""46555524"",""46556505"",""Peak_32188"",""31"",""."",""7.02714"",""19.75860"",""17.77300"",""296""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41277,chr19,46600098,46602558,"[""chr19"",""46600098"",""46602558"",""Peak_82"",""678"",""."",""67.81794"",""560.03009"",""554.62524"",""738""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41278,chr19,46602901,46603829,"[""chr19"",""46602901"",""46603829"",""Peak_100104"",""14"",""."",""3.49970"",""5.46771"",""3.85237"",""136""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41279,chr19,46618433,46620987,"[""chr19"",""46618433"",""46620987"",""Peak_11087"",""120"",""."",""18.08478"",""94.31210"",""91.65752"",""588""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41280,chr19,46624129,46625982,"[""chr19"",""46624129"",""46625982"",""Peak_24188"",""45"",""."",""9.51638"",""31.35971"",""29.22167"",""829""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41281,chr19,46626060,46626977,"[""chr19"",""46626060"",""46626977"",""Peak_92027"",""14"",""."",""3.25526"",""5.84828"",""4.20968"",""205""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41282,chr19,46633798,46634119,"[""chr19"",""46633798"",""46634119"",""Peak_34952"",""28"",""."",""5.59405"",""17.39407"",""15.44619"",""141""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41283,chr19,46638803,46639906,"[""chr19"",""46638803"",""46639906"",""Peak_41410"",""23"",""."",""6.04892"",""13.68905"",""11.81145"",""701""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41284,chr19,46661433,46662506,"[""chr19"",""46661433"",""46662506"",""Peak_16788"",""73"",""."",""10.62480"",""55.20171"",""52.83422"",""246""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41288,chr19,46716541,46718678,"[""chr19"",""46716541"",""46718678"",""Peak_11642"",""114"",""."",""20.23819"",""89.52219"",""86.89999"",""870""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41289,chr19,46730453,46735739,"[""chr19"",""46730453"",""46735739"",""Peak_5401"",""215"",""."",""23.27148"",""173.63522"",""170.50240"",""1086""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41290,chr19,46736490,46737530,"[""chr19"",""46736490"",""46737530"",""Peak_35395"",""28"",""."",""6.48844"",""17.16938"",""15.22724"",""182""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41291,chr19,46737774,46738494,"[""chr19"",""46737774"",""46738494"",""Peak_105536"",""13"",""."",""3.24422"",""5.19361"",""3.59237"",""473""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41292,chr19,46738980,46739371,"[""chr19"",""46738980"",""46739371"",""Peak_69598"",""16"",""."",""4.28465"",""7.73150"",""6.01836"",""160""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41293,chr19,46739423,46739968,"[""chr19"",""46739423"",""46739968"",""Peak_49253"",""20"",""."",""5.29281"",""11.01403"",""9.19840"",""232""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41294,chr19,46740813,46741867,"[""chr19"",""46740813"",""46741867"",""Peak_59340"",""18"",""."",""4.46562"",""8.99074"",""7.23498"",""235""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41295,chr19,46742861,46743603,"[""chr19"",""46742861"",""46743603"",""Peak_83627"",""15"",""."",""2.78357"",""6.46028"",""4.79757"",""238""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41296,chr19,46744873,46746387,"[""chr19"",""46744873"",""46746387"",""Peak_19705"",""59"",""."",""10.67002"",""43.36808"",""41.10392"",""894""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41297,chr19,46746521,46747153,"[""chr19"",""46746521"",""46747153"",""Peak_25749"",""41"",""."",""8.86753"",""28.13425"",""26.03219"",""224""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41298,chr19,46755001,46755642,"[""chr19"",""46755001"",""46755642"",""Peak_77130"",""15"",""."",""4.03261"",""6.96856"",""5.28248"",""494""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41299,chr19,46759140,46759411,"[""chr19"",""46759140"",""46759411"",""Peak_92028"",""14"",""."",""3.25526"",""5.84828"",""4.20968"",""130""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41300,chr19,46776651,46777179,"[""chr19"",""46776651"",""46777179"",""Peak_71699"",""16"",""."",""3.73949"",""7.40865"",""5.70455"",""358""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41301,chr19,46778610,46779190,"[""chr19"",""46778610"",""46779190"",""Peak_80465"",""15"",""."",""3.13295"",""6.58522"",""4.91180"",""400""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41302,chr19,46782541,46783076,"[""chr19"",""46782541"",""46783076"",""Peak_92029"",""14"",""."",""3.25526"",""5.84828"",""4.20968"",""406""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41303,chr19,46783715,46788686,"[""chr19"",""46783715"",""46788686"",""Peak_9495"",""140"",""."",""20.25496"",""110.76708"",""108.00642"",""2572""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41304,chr19,46821194,46822639,"[""chr19"",""46821194"",""46822639"",""Peak_43550"",""22"",""."",""5.79688"",""12.77885"",""10.92087"",""843""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41305,chr19,46823696,46825988,"[""chr19"",""46823696"",""46825988"",""Peak_9351"",""141"",""."",""20.43580"",""112.16426"",""109.39474"",""1507""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41306,chr19,46845846,46846877,"[""chr19"",""46845846"",""46846877"",""Peak_37920"",""26"",""."",""5.60628"",""15.47864"",""13.56544"",""613""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41307,chr19,46849105,46850964,"[""chr19"",""46849105"",""46850964"",""Peak_17626"",""68"",""."",""12.15333"",""51.28424"",""48.94961"",""1348""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41308,chr19,46856268,46857071,"[""chr19"",""46856268"",""46857071"",""Peak_20582"",""56"",""."",""8.71778"",""40.47342"",""38.23809"",""305""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41309,chr19,46860162,46860879,"[""chr19"",""46860162"",""46860879"",""Peak_15213"",""83"",""."",""15.35597"",""63.78192"",""61.34559"",""439""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41310,chr19,46861566,46862332,"[""chr19"",""46861566"",""46862332"",""Peak_53864"",""19"",""."",""4.34035"",""9.92859"",""8.14236"",""177""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41311,chr19,46867392,46867765,"[""chr19"",""46867392"",""46867765"",""Peak_112641"",""13"",""."",""3.15658"",""4.81826"",""3.23824"",""186""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41313,chr19,46913826,46914183,"[""chr19"",""46913826"",""46914183"",""Peak_89053"",""14"",""."",""3.45986"",""6.07226"",""4.42493"",""190""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41314,chr19,46925173,46925728,"[""chr19"",""46925173"",""46925728"",""Peak_81307"",""15"",""."",""3.67678"",""6.52313"",""4.85170"",""227""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41315,chr19,46930940,46931684,"[""chr19"",""46930940"",""46931684"",""Peak_82145"",""15"",""."",""3.26319"",""6.50770"",""4.83897"",""306""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41316,chr19,46955162,46955826,"[""chr19"",""46955162"",""46955826"",""Peak_13325"",""99"",""."",""15.21659"",""76.50668"",""73.97665"",""310""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41317,chr19,46967635,46968209,"[""chr19"",""46967635"",""46968209"",""Peak_46115"",""21"",""."",""5.54484"",""11.88691"",""10.04970"",""236""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41318,chr19,46980681,46982076,"[""chr19"",""46980681"",""46982076"",""Peak_15417"",""82"",""."",""15.13969"",""62.48949"",""60.06289"",""923""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41319,chr19,47047635,47048760,"[""chr19"",""47047635"",""47048760"",""Peak_22108"",""50"",""."",""11.34173"",""36.07916"",""33.88802"",""808""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41320,chr19,47073742,47076601,"[""chr19"",""47073742"",""47076601"",""Peak_33490"",""29"",""."",""5.44862"",""18.50584"",""16.53909"",""1764""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41321,chr19,47079603,47080262,"[""chr19"",""47079603"",""47080262"",""Peak_99659"",""14"",""."",""2.86052"",""5.47177"",""3.85436"",""501""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41322,chr19,47089373,47089935,"[""chr19"",""47089373"",""47089935"",""Peak_56824"",""18"",""."",""4.78873"",""9.32894"",""7.55860"",""331""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41323,chr19,47089974,47090480,"[""chr19"",""47089974"",""47090480"",""Peak_72844"",""16"",""."",""3.89306"",""7.22476"",""5.52439"",""170""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41324,chr19,47093396,47094199,"[""chr19"",""47093396"",""47094199"",""Peak_72845"",""16"",""."",""3.89306"",""7.22476"",""5.52439"",""413""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41325,chr19,47094580,47097188,"[""chr19"",""47094580"",""47097188"",""Peak_42567"",""23"",""."",""4.49511"",""13.13175"",""11.26555"",""651""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41326,chr19,47097915,47098429,"[""chr19"",""47097915"",""47098429"",""Peak_46669"",""21"",""."",""5.49952"",""11.79572"",""9.96313"",""276""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41327,chr19,47098664,47099045,"[""chr19"",""47098664"",""47099045"",""Peak_74913"",""16"",""."",""3.41858"",""7.12077"",""5.42819"",""219""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41328,chr19,47101970,47102398,"[""chr19"",""47101970"",""47102398"",""Peak_81308"",""15"",""."",""3.67678"",""6.52313"",""4.85170"",""199""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41329,chr19,47104384,47105071,"[""chr19"",""47104384"",""47105071"",""Peak_41411"",""23"",""."",""6.04892"",""13.68905"",""11.81145"",""383""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41330,chr19,47105197,47105549,"[""chr19"",""47105197"",""47105549"",""Peak_77133"",""15"",""."",""4.03261"",""6.96856"",""5.28248"",""112""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41331,chr19,47105721,47106925,"[""chr19"",""47105721"",""47106925"",""Peak_46116"",""21"",""."",""5.54484"",""11.88691"",""10.04970"",""196""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41332,chr19,47106974,47108917,"[""chr19"",""47106974"",""47108917"",""Peak_43145"",""23"",""."",""5.03077"",""12.92678"",""11.06618"",""572""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41333,chr19,47108995,47114303,"[""chr19"",""47108995"",""47114303"",""Peak_2235"",""330"",""."",""29.46448"",""269.87329"",""266.21881"",""4517""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41335,chr19,47130197,47131607,"[""chr19"",""47130197"",""47131607"",""Peak_10361"",""129"",""."",""23.43957"",""101.40377"",""98.70261"",""938""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41336,chr19,47145945,47146348,"[""chr19"",""47145945"",""47146348"",""Peak_69600"",""16"",""."",""4.28465"",""7.73150"",""6.01836"",""123""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41337,chr19,47146396,47146815,"[""chr19"",""47146396"",""47146815"",""Peak_69601"",""16"",""."",""4.28465"",""7.73150"",""6.01836"",""227""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41339,chr19,47156704,47157535,"[""chr19"",""47156704"",""47157535"",""Peak_27972"",""37"",""."",""8.09185"",""24.70641"",""22.64919"",""525""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41340,chr19,47157655,47158640,"[""chr19"",""47157655"",""47158640"",""Peak_49707"",""20"",""."",""3.88010"",""10.93540"",""9.12375"",""599""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41342,chr19,47176616,47177567,"[""chr19"",""47176616"",""47177567"",""Peak_42650"",""23"",""."",""5.26222"",""13.12888"",""11.26369"",""173""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41344,chr19,47210855,47211248,"[""chr19"",""47210855"",""47211248"",""Peak_34557"",""28"",""."",""5.83277"",""17.65560"",""15.70371"",""153""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41346,chr19,47225759,47226159,"[""chr19"",""47225759"",""47226159"",""Peak_74914"",""16"",""."",""3.41858"",""7.12077"",""5.42819"",""207""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41347,chr19,47226257,47230308,"[""chr19"",""47226257"",""47230308"",""Peak_5019"",""226"",""."",""32.36742"",""182.41545"",""179.23305"",""1551""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41348,chr19,47230587,47231214,"[""chr19"",""47230587"",""47231214"",""Peak_19018"",""62"",""."",""13.35803"",""45.85736"",""43.57045"",""286""]"
ENCSR000ASJ,ENCFF560PQQ,H3K27ac,41349,chr19,47231328,47231832,"[""chr19"",""47231328"",""47231832"",""Peak_17346"",""70"",""."",""14.08038"",""52.50964"",""50.16462"",""271""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45019,chr19,46191585,46193075,"[""chr19"",""46191585"",""46193075"",""Peak_27119"",""131"",""."",""11.76396"",""35.01838"",""32.80880"",""513""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45020,chr19,46193269,46194815,"[""chr19"",""46193269"",""46194815"",""Peak_16551"",""180"",""."",""11.81271"",""48.36158"",""45.86856"",""712""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45021,chr19,46208647,46210568,"[""chr19"",""46208647"",""46210568"",""Peak_27120"",""131"",""."",""11.76396"",""35.01838"",""32.80880"",""778""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45022,chr19,46254818,46255499,"[""chr19"",""46254818"",""46255499"",""Peak_88414"",""30"",""."",""4.66712"",""7.53382"",""6.02186"",""249""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45023,chr19,46256607,46257803,"[""chr19"",""46256607"",""46257803"",""Peak_42028"",""90"",""."",""9.81617"",""23.89506"",""21.94411"",""476""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45025,chr19,46262813,46263772,"[""chr19"",""46262813"",""46263772"",""Peak_73827"",""41"",""."",""5.14167"",""10.71050"",""9.10183"",""283""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45026,chr19,46298714,46299676,"[""chr19"",""46298714"",""46299676"",""Peak_39471"",""95"",""."",""10.00768"",""25.40268"",""23.41300"",""472""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45028,chr19,46346194,46346976,"[""chr19"",""46346194"",""46346976"",""Peak_35720"",""104"",""."",""10.08339"",""27.89659"",""25.84735"",""478""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45029,chr19,46347276,46348323,"[""chr19"",""46347276"",""46348323"",""Peak_21490"",""153"",""."",""12.46801"",""41.15347"",""38.81226"",""519""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45030,chr19,46348875,46352360,"[""chr19"",""46348875"",""46352360"",""Peak_7080"",""268"",""."",""19.60659"",""72.48061"",""69.50675"",""1579""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45034,chr19,46403685,46405237,"[""chr19"",""46403685"",""46405237"",""Peak_25304"",""137"",""."",""13.33463"",""36.71976"",""34.47065"",""308""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45035,chr19,46416362,46416848,"[""chr19"",""46416362"",""46416848"",""Peak_94342"",""26"",""."",""4.33376"",""6.68401"",""5.20354"",""278""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45036,chr19,46426498,46427280,"[""chr19"",""46426498"",""46427280"",""Peak_58250"",""61"",""."",""7.00236"",""16.01258"",""14.25974"",""273""]"
ENCSR000ASM,ENCFF493TKQ,H3K4me1,45037,chr19,46428423,46429323,"[""chr19"",""46428423"",""46429323"",""Peak_66380"",""50"",""."",""6.54411"",""12.97336"",""11.30124"",""562""]"
